anomaly_id,date,kpi,tier,severity,votes,methods_flagged,direction,actual_value,expected_value,deviation_pct,z_score,method_b_score,yhat,yhat_lower,yhat_upper,flag_a1,flag_a2,flag_a3,method_a_flag,method_b_flag,method_c_flag,anomaly_flag,anomaly_event,anomaly_kpi
ANO-20241214-ROAS,2024-12-14,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,27.02,33.8357,-20.14,-0.3499,0.00294,29.8458,-23.9065,81.4577,False,False,True,True,True,False,0,,
ANO-20241216-ROAS,2024-12-16,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,14.899,32.2624,-53.82,-0.9653,0.00255,29.7207,-19.7506,80.4838,False,False,True,True,True,False,0,,
ANO-20250127-ROAS,2025-01-27,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,43.521,46.9579,-7.32,-0.0689,0.07348,36.87,-16.9267,89.1809,False,False,True,True,True,False,0,,
ANO-20250128-ROAS,2025-01-28,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,9.424,26.6751,-64.67,-0.8378,0.04627,35.572,-10.5045,89.5502,False,False,True,True,True,False,0,,
ANO-20250201-ROAS,2025-02-01,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,22.099,37.1427,-40.5,-0.7371,0.07972,37.1712,-15.7409,88.1726,False,False,True,True,True,False,0,,
ANO-20250204-ROAS,2025-02-04,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,13.255,39.475,-66.42,-1.2275,0.00109,36.7721,-12.1312,87.9724,False,False,True,True,True,False,0,,
ANO-20250917-ROAS,2025-09-17,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,11.552,29.7051,-61.11,-0.7594,0.02889,31.874,-18.5386,78.4652,False,False,True,True,True,False,1,bot_traffic_surge,sessions
ANO-20251128-ROAS,2025-11-28,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,11.796,28.6249,-58.79,-0.9295,0.07208,35.6476,-13.7478,86.3842,False,False,True,True,True,False,1,black_friday_spike,revenue
ANO-20240620-RET,2024-06-20,return_rate,2,MEDIUM,2,"statistical, isolation_forest",DOWN,0.0756,0.0771,-1.95,-1.0424,0.07949,,,,False,True,False,True,True,False,0,,
ANO-20250114-RET,2025-01-14,return_rate,2,MEDIUM,2,"statistical, isolation_forest",DOWN,0.0754,0.0771,-2.2,-0.8545,0.02695,,,,False,True,False,True,True,False,0,,
ANO-20240417-STK,2024-04-17,n_stockouts,2,MEDIUM,2,"statistical, isolation_forest",,0.0,0.0,,,0.01839,,,,False,True,False,True,True,False,0,,
ANO-20240626-STK,2024-06-26,n_stockouts,2,MEDIUM,2,"statistical, isolation_forest",DOWN,0.0,0.2857,-100.0,-0.5855,0.00036,,,,False,False,True,True,True,False,0,,
ANO-20241105-STK,2024-11-05,n_stockouts,2,MEDIUM,2,"statistical, isolation_forest",,0.0,0.0,,,0.08794,,,,False,True,False,True,True,False,1,bot_traffic_surge,sessions
ANO-20241216-STK,2024-12-16,n_stockouts,2,MEDIUM,2,"statistical, isolation_forest",,0.0,0.0,,,0.00255,,,,False,True,False,True,True,False,0,,
ANO-20240710-BNC,2024-07-10,bounce_rate,2,MEDIUM,2,"statistical, isolation_forest",DOWN,0.364,0.4069,-10.54,-1.197,0.09053,,,,False,True,True,True,True,False,1,marketing_tracking_outage,roas
ANO-20240620-CLK,2024-06-20,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,50563.0,60099.1429,-15.87,-0.37,0.07949,,,,False,False,True,True,True,False,0,,
ANO-20240621-CLK,2024-06-21,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,25713.0,52854.4286,-51.35,-0.9873,0.00341,,,,False,False,True,True,True,False,0,,
ANO-20240622-CLK,2024-06-22,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,33901.0,55355.8571,-38.76,-0.8858,0.02479,,,,False,False,True,True,True,False,0,,
ANO-20240626-CLK,2024-06-26,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,16286.0,49012.4286,-66.77,-0.9567,0.00036,,,,False,False,True,True,True,False,0,,
ANO-20240723-CLK,2024-07-23,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,18244.0,59434.0,-69.3,-1.0362,0.0198,,,,False,False,True,True,True,False,0,,
ANO-20241105-CLK,2024-11-05,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,28260.0,44354.7143,-36.29,-0.6737,0.08794,,,,False,False,True,True,True,False,1,bot_traffic_surge,sessions
ANO-20250126-CLK,2025-01-26,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,29028.0,48023.4286,-39.55,-0.8499,0.01447,,,,False,False,True,True,True,False,0,,
ANO-20250128-CLK,2025-01-28,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,31700.0,52425.4286,-39.53,-0.6677,0.04627,,,,False,False,True,True,True,False,0,,
ANO-20250130-CLK,2025-01-30,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,43083.0,48825.2857,-11.76,-0.1887,0.10698,,,,False,False,True,True,True,False,0,,
ANO-20250204-CLK,2025-02-04,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,60780.0,62088.1429,-2.11,-0.064,0.00109,,,,False,False,True,True,True,False,0,,
ANO-20251128-CLK,2025-11-28,total_clicks,3,LOW,2,"statistical, isolation_forest",DOWN,22968.0,63503.5714,-63.83,-1.8655,0.07208,,,,False,False,True,True,True,False,1,black_friday_spike,revenue
ANO-20240618-SES,2024-06-18,sessions,3,LOW,2,"statistical, isolation_forest",DOWN,3053.0,7758.1429,-60.65,-2.2609,0.03432,,,,False,True,True,True,True,False,1,website_outage,sessions
ANO-20240618-INV,2024-06-18,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.1283,-0.0752,70.57,-0.9915,0.03432,,,,False,False,True,True,True,False,1,website_outage,sessions
ANO-20240619-INV,2024-06-19,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.1993,-0.1039,91.82,-1.6148,0.06364,,,,False,False,True,True,True,False,0,,
ANO-20240620-INV,2024-06-20,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.1841,-0.1244,47.99,-1.0235,0.07949,,,,False,False,True,True,True,False,0,,
ANO-20240710-INV,2024-07-10,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.176,-0.0696,152.83,-1.4533,0.09053,,,,False,False,True,True,True,False,1,marketing_tracking_outage,roas
ANO-20240711-INV,2024-07-11,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.1342,-0.0908,47.83,-0.6578,0.04265,,,,False,False,True,True,True,False,0,,
ANO-20241129-INV,2024-11-29,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,0.0042,0.1138,-96.34,-1.8103,0.11493,,,,False,False,True,True,True,False,1,black_friday_spike,revenue
ANO-20241202-INV,2024-12-02,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,0.0268,0.0551,-51.32,-0.5261,0.03904,,,,False,False,True,True,True,False,1,cyber_monday_halo,revenue
ANO-20241216-INV,2024-12-16,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,0.0684,0.0762,-10.2,-0.16,0.00255,,,,False,False,True,True,True,False,0,,
ANO-20250126-INV,2025-01-26,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.2348,-0.153,53.45,-0.9349,0.01447,,,,False,False,True,True,True,False,0,,
ANO-20250127-INV,2025-01-27,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.3442,-0.1908,80.39,-1.4505,0.07348,,,,False,True,True,True,True,False,0,,
ANO-20250128-INV,2025-01-28,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.286,-0.2242,27.54,-0.6826,0.04627,,,,False,False,True,True,True,False,0,,
ANO-20250525-INV,2025-05-25,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.0779,-0.0377,106.66,-0.8351,0.04099,,,,False,False,True,True,True,False,0,,
ANO-20250924-INV,2025-09-24,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.1042,-0.0945,10.32,-0.1929,0.01999,,,,False,False,True,True,True,False,0,,
ANO-20250925-INV,2025-09-25,inventory_health,3,LOW,2,"statistical, isolation_forest",DOWN,-0.1232,-0.1078,14.29,-0.3645,0.0067,,,,False,False,True,True,True,False,0,,
