date,kpi,tier,actual_value,rolling_mean,z_score,stl_residual_z,wow_change,mom_change,deviation_pct,direction,flag_a1,flag_a2,flag_a3,method_a_flag,anomaly_flag,anomaly_event,anomaly_kpi,method_b_flag,method_b_score,top_5_features,method_c_flag,yhat,yhat_lower,yhat_upper,votes,confirmed,severity,methods_flagged,anomaly_id,expected_value,direction_suppressed,direction_suppression_reason
2024-01-11,total_revenue_usd,1,9269.46,9709.0171,-0.9726,-0.6157,-0.0921,,-4.53,DOWN,False,False,False,False,0,,,True,0.02326,"avg_roas, total_attributed_revenue_usd, total_conversions_marketing, total_clicks, n_unique_customers",False,9456.8794,3955.3944,14998.9826,1,False,NONE,isolation_forest,,9709.0171,False,
2024-01-12,total_revenue_usd,1,10078.08,9685.7229,0.9271,1.0288,-0.0159,,4.05,UP,False,False,False,False,0,,,False,-0.08674,"n_unique_customers, seasonal_index, n_orders, marketing_pressure, conversion_rate",False,11402.7153,5749.7288,16997.6949,0,False,NONE,,,9685.7229,False,
2024-01-13,total_revenue_usd,1,9892.86,9638.8414,0.6889,0.5937,-0.0321,,2.64,UP,False,False,False,False,0,,,False,-0.08761,"total_units_sold, pages_per_session, total_spend_usd, seasonal_index, n_reorders",False,10131.4581,4833.6877,15755.8676,0,False,NONE,,,9638.8414,False,
2024-01-14,total_revenue_usd,1,9778.16,9723.7329,0.1754,1.2383,0.0647,,0.56,UP,False,False,False,False,0,,,False,-0.09503,"avg_session_duration_sec, seasonal_index, total_clicks, total_impressions, economic_index",False,10007.813,4570.8155,15436.9644,0,False,NONE,,,9723.7329,False,
2024-01-15,total_revenue_usd,1,9442.51,9636.1771,-0.6755,-0.0846,-0.061,,-2.01,DOWN,False,False,False,False,0,,,False,-0.08091,"pages_per_session, avg_session_duration_sec, seasonal_index, n_orders, total_units_sold",False,9906.995,4109.1724,15231.7236,0,False,NONE,,,9636.1771,False,
2024-01-16,total_revenue_usd,1,10078.39,9716.9414,1.1173,1.2682,0.0594,,3.72,UP,False,False,False,False,0,,,False,-0.0913,"total_units_sold, pages_per_session, n_unique_customers, seasonal_index, total_clicks",False,10329.8994,5089.0789,15770.7697,0,False,NONE,,,9716.9414,False,
2024-01-17,total_revenue_usd,1,9522.13,9723.0843,-0.6308,-0.5143,0.0045,,-2.07,DOWN,False,False,False,False,0,,,False,-0.09156,"n_reorders, total_impressions, seasonal_index, n_orders, total_clicks",False,9529.6323,4361.3738,15322.5901,0,False,NONE,,,9723.0843,False,
2024-01-18,total_revenue_usd,1,9550.13,9763.18,-0.8035,0.2835,0.0303,,-2.18,DOWN,False,False,False,False,0,,,False,-0.09898,"total_units_sold, seasonal_index, economic_index, n_orders, total_impressions",False,9434.5962,3890.4571,15392.0693,0,False,NONE,,,9763.18,False,
2024-01-19,total_revenue_usd,1,9526.69,9684.41,-0.6673,-1.1255,-0.0547,,-1.63,DOWN,False,False,False,False,0,,,False,-0.0777,"total_conversions_marketing, economic_index, pages_per_session, avg_roas, total_attributed_revenue_usd",False,10256.9392,4608.8562,15751.0033,0,False,NONE,,,9684.41,False,
2024-01-20,total_revenue_usd,1,9400.56,9614.0814,-0.9,-0.8953,-0.0498,,-2.22,DOWN,False,False,False,False,0,,,False,-0.09078,"total_spend_usd, economic_index, seasonal_index, n_orders, pages_per_session",False,9091.4444,3810.634,14700.7126,0,False,NONE,,,9614.0814,False,
2024-01-21,total_revenue_usd,1,9703.48,9603.4129,0.4347,0.6369,-0.0076,,1.04,UP,False,False,False,False,0,,,False,-0.09025,"pages_per_session, total_clicks, seasonal_index, economic_index, avg_roas",False,9354.8484,3836.6831,15345.5953,0,False,NONE,,,9603.4129,False,
2024-01-22,total_revenue_usd,1,9114.84,9556.6029,-1.5072,-0.9102,-0.0347,,-4.62,DOWN,False,False,False,False,0,,,False,-0.07997,"n_unique_customers, economic_index, n_orders, total_spend_usd, seasonal_index",False,8931.8515,3407.8521,14483.9305,0,False,NONE,,,9556.6029,False,
2024-01-23,total_revenue_usd,1,9590.39,9486.8886,0.5528,-0.2019,-0.0484,,1.09,UP,False,False,False,False,0,,,False,-0.09857,"total_spend_usd, total_units_sold, seasonal_index, n_orders, economic_index",False,9161.0825,3890.9888,14412.4088,0,False,NONE,,,9486.8886,False,
2024-01-24,total_revenue_usd,1,10069.11,9565.0286,1.737,1.2056,0.0574,,5.27,UP,False,False,False,False,0,,,False,-0.09354,"total_units_sold, total_spend_usd, total_clicks, seasonal_index, total_impressions",False,9572.7151,4289.7427,14806.3662,0,False,NONE,,,9565.0286,False,
2024-01-25,total_revenue_usd,1,10079.38,9640.6357,1.2581,1.1926,0.0554,,4.55,UP,False,False,False,False,0,,,False,-0.07072,"total_conversions_marketing, bounce_rate, total_units_sold, total_clicks, seasonal_index",False,9533.9056,4507.3097,15359.1801,0,False,NONE,,,9640.6357,False,
2024-01-26,total_revenue_usd,1,10393.4,9764.4514,1.4206,0.9439,0.091,,6.44,UP,False,False,False,False,0,,,False,-0.09875,"n_reorders, total_spend_usd, seasonal_index, total_clicks, n_orders",False,10838.0548,5541.1453,16773.3063,0,False,NONE,,,9764.4514,False,
2024-01-27,total_revenue_usd,1,10127.23,9868.2614,0.6049,1.0524,0.0773,,2.62,UP,False,False,False,False,0,,,False,-0.09181,"seasonal_index, total_conversions_marketing, n_orders, total_clicks, total_attributed_revenue_usd",False,9501.402,3816.1179,14948.9462,0,False,NONE,,,9868.2614,False,
2024-01-28,total_revenue_usd,1,9992.18,9909.5043,0.1952,0.7177,0.0298,,0.83,UP,False,False,False,False,0,,,False,-0.09379,"n_reorders, seasonal_index, n_orders, total_stock_on_hand, inventory_health",False,9306.7311,3409.2587,14721.4233,0,False,NONE,,,9909.5043,False,
2024-01-29,total_revenue_usd,1,9414.43,9952.3029,-1.6014,0.33,0.0329,,-5.4,DOWN,False,False,False,False,0,,,False,-0.09366,"n_orders, total_clicks, total_impressions, marketing_pressure, conversion_rate",False,8971.5872,3734.5016,14231.0399,0,False,NONE,,,9952.3029,False,
2024-01-30,total_revenue_usd,1,9099.75,9882.2114,-1.7224,-1.0418,-0.0512,,-7.92,DOWN,False,False,False,False,0,,,False,-0.01331,"avg_roas, total_attributed_revenue_usd, n_orders, total_conversions_marketing, pages_per_session",False,8285.7729,2836.9293,13780.5383,0,False,NONE,,,9882.2114,False,
2024-01-31,total_revenue_usd,1,9379.45,9783.6886,-0.8404,0.0769,-0.0685,-0.121,-4.13,DOWN,False,False,False,False,0,,,True,0.0098,"total_attributed_revenue_usd, avg_roas, total_conversions_marketing, n_unique_customers, bounce_rate",False,8566.4377,3349.2577,14022.7645,1,False,NONE,isolation_forest,,9783.6886,False,
2024-02-01,total_revenue_usd,1,9187.64,9656.2971,-0.9243,-0.0894,-0.0885,-0.1811,-4.85,DOWN,False,False,False,False,0,,,False,-0.08397,"n_unique_customers, n_orders, marketing_pressure, conversion_rate, seasonal_index",False,8306.866,2902.1508,13844.1359,0,False,NONE,,,9656.2971,False,
2024-02-02,total_revenue_usd,1,9641.98,9548.9514,0.2377,0.8226,-0.0723,-0.1195,0.97,UP,False,False,False,False,0,,,False,-0.08549,"total_attributed_revenue_usd, avg_roas, total_clicks, total_conversions_marketing, economic_index",False,9817.0593,3874.6546,15236.8083,0,False,NONE,,,9548.9514,False,
2024-02-03,total_revenue_usd,1,8880.57,9370.8571,-1.3352,-0.9575,-0.1231,-0.1302,-5.23,DOWN,False,False,False,False,0,,,False,-0.07349,"n_orders, pages_per_session, n_reorders, economic_index, n_returns",False,8006.4173,2479.9586,13839.6582,0,False,NONE,,,9370.8571,False,
2024-02-04,total_revenue_usd,1,8722.86,9189.5257,-1.4604,-1.4988,-0.127,-0.1483,-5.08,DOWN,False,False,False,False,0,,,False,-0.05066,"avg_session_duration_sec, n_orders, economic_index, n_returns, total_conversions_marketing",False,7817.4053,2358.0448,13265.0996,0,False,NONE,,,9189.5257,False,
2024-02-05,total_revenue_usd,1,8655.91,9081.1657,-1.1912,-0.4286,-0.0806,-0.1531,-4.68,DOWN,False,False,False,False,0,,,False,-0.01951,"economic_index, n_orders, total_stock_on_hand, inventory_health, total_spend_usd",False,8156.804,2951.8229,13897.4939,0,False,NONE,,,9081.1657,False,
2024-02-06,total_revenue_usd,1,9030.57,9071.2829,-0.1139,0.2759,-0.0076,-0.0167,-0.45,DOWN,False,False,False,False,0,,,False,-0.05469,"pages_per_session, economic_index, n_orders, consumer_sentiment, total_units_sold",False,8405.1928,3107.3966,14270.1959,0,False,NONE,,,9071.2829,False,
2024-02-07,total_revenue_usd,1,8815.01,8990.6486,-0.5174,-1.3955,-0.0602,-0.1234,-1.95,DOWN,False,False,False,False,0,,,False,-0.02032,"economic_index, bounce_rate, total_units_sold, n_unique_customers, total_clicks",False,8056.1701,2981.0209,13929.2337,0,False,NONE,,,8990.6486,False,
2024-02-08,total_revenue_usd,1,8796.86,8934.8229,-0.4134,-1.8106,-0.0425,-0.0753,-1.54,DOWN,False,False,False,False,1,economic_sentiment_drop,aov,False,-0.06238,"avg_session_duration_sec, economic_index, consumer_sentiment, n_orders, total_revenue_usd",False,8093.7343,2904.1709,13485.2275,0,False,NONE,,,8934.8229,False,
2024-02-09,total_revenue_usd,1,9488.65,8912.9186,2.0536,0.1016,-0.0159,0.001,6.46,UP,False,False,False,False,0,,,False,-0.0855,"total_clicks, economic_index, consumer_sentiment, n_unique_customers, n_orders",False,10011.1544,4794.9523,15275.1431,0,False,NONE,,,8912.9186,False,
2024-02-10,total_revenue_usd,1,9933.07,9063.2757,1.8317,1.8198,0.1185,0.0716,9.6,UP,False,False,False,False,0,,,False,-0.07442,"total_impressions, total_spend_usd, total_conversions_marketing, consumer_sentiment, total_clicks",False,9691.5156,4339.5895,15356.7018,0,False,NONE,,,9063.2757,False,
2024-02-11,total_revenue_usd,1,9849.33,9224.2,1.1836,0.3444,0.1291,-0.0227,6.78,UP,False,False,False,False,0,,,False,-0.07957,"pages_per_session, consumer_sentiment, total_impressions, total_clicks, economic_index",False,9613.7635,4195.5435,14799.1659,0,False,NONE,,,9224.2,False,
2024-02-12,total_revenue_usd,1,9714.89,9375.4829,0.6949,0.0356,0.1223,-0.018,3.62,UP,False,False,False,False,0,,,False,-0.09659,"economic_index, consumer_sentiment, total_impressions, total_units_sold, n_unique_customers",False,9857.4423,4819.0906,15330.5629,0,False,NONE,,,9375.4829,False,
2024-02-13,total_revenue_usd,1,9056.3,9379.1586,-0.665,-3.1001,0.0028,-0.0738,-3.44,DOWN,False,True,False,True,0,,,False,-0.07836,"economic_index, consumer_sentiment, n_orders, pages_per_session, total_clicks",False,8794.8921,3375.943,14522.6311,1,False,NONE,statistical,,9379.1586,False,
2024-02-14,total_revenue_usd,1,10182.28,9574.4829,1.2263,-0.1618,0.1551,0.0783,6.35,UP,False,False,False,False,0,,,False,-0.0762,"consumer_sentiment, total_clicks, total_impressions, avg_session_duration_sec, pages_per_session",False,10110.0657,4136.5145,15138.5347,0,False,NONE,,,9574.4829,False,
2024-02-15,total_revenue_usd,1,10524.24,9821.2514,1.4848,0.5442,0.1964,0.0442,7.16,UP,False,False,False,False,0,,,False,-0.09571,"consumer_sentiment, total_clicks, total_spend_usd, total_impressions, economic_index",False,10560.9576,4982.0257,15837.8756,0,False,NONE,,,9821.2514,False,
2024-02-16,total_revenue_usd,1,10174.08,9919.17,0.5494,-0.6638,0.0722,0.0685,2.57,UP,False,False,False,False,0,,,False,-0.09926,"consumer_sentiment, economic_index, return_rate, pages_per_session, total_impressions",False,11110.308,5195.3576,16462.3223,0,False,NONE,,,9919.17,False,
2024-02-17,total_revenue_usd,1,10391.66,9984.6829,0.8181,-0.1781,0.0462,0.0881,4.08,UP,False,False,False,False,0,,,False,-0.06539,"pages_per_session, consumer_sentiment, avg_session_duration_sec, bounce_rate, economic_index",False,10416.845,5216.2716,15947.8584,0,False,NONE,,,9984.6829,False,
2024-02-18,total_revenue_usd,1,11288.82,10190.3243,1.588,1.448,0.1462,0.185,10.78,UP,False,False,False,False,0,,,False,-0.06843,"consumer_sentiment, bounce_rate, avg_session_duration_sec, total_impressions, return_rate",False,11424.9327,5790.4827,17373.9694,0,False,NONE,,,10190.3243,False,
2024-02-19,total_revenue_usd,1,11094.28,10387.38,0.9694,0.695,0.142,0.1802,6.81,UP,False,False,False,False,0,,,False,-0.09137,"consumer_sentiment, return_rate, avg_session_duration_sec, total_conversions_marketing, total_clicks",False,11577.5601,5812.6724,16765.0684,0,False,NONE,,,10387.38,False,
2024-02-20,total_revenue_usd,1,11351.98,10715.3343,1.2343,0.823,0.2535,0.1699,5.94,UP,False,False,True,True,0,,,False,-0.07991,"consumer_sentiment, return_rate, total_spend_usd, avg_roas, total_conversions_marketing",False,11561.8227,5929.2057,16935.2135,1,False,NONE,statistical,,10715.3343,False,
2024-02-21,total_revenue_usd,1,11700.09,10932.1643,1.3461,1.4051,0.1491,0.2836,7.02,UP,False,False,False,False,0,,,False,-0.08477,"consumer_sentiment, return_rate, pages_per_session, n_returns, total_spend_usd",False,11817.0612,6526.977,17470.3395,0,False,NONE,,,10932.1643,False,
2024-02-22,total_revenue_usd,1,11434.98,11062.27,0.6588,0.5333,0.0865,0.1923,3.37,UP,False,False,False,False,0,,,False,-0.10435,"consumer_sentiment, n_unique_customers, total_spend_usd, total_conversions_marketing, total_impressions",False,11444.0004,6061.2031,16776.7698,0,False,NONE,,,11062.27,False,
2024-02-23,total_revenue_usd,1,10820.93,11154.6771,-0.769,-0.4955,0.0636,0.0747,-2.99,DOWN,False,False,False,False,0,,,False,-0.11271,"consumer_sentiment, total_units_sold, total_impressions, n_unique_customers, total_clicks",False,11657.8274,6088.7969,16882.4688,0,False,NONE,,,11154.6771,False,
2024-02-24,total_revenue_usd,1,10685.76,11196.6914,-1.4398,-0.5884,0.0283,0.0602,-4.56,DOWN,False,False,False,False,0,,,False,-0.10064,"avg_session_duration_sec, n_unique_customers, total_spend_usd, consumer_sentiment, total_impressions",False,10457.1948,4969.6504,16075.8006,0,False,NONE,,,11196.6914,False,
2024-02-25,total_revenue_usd,1,10694.87,11111.8414,-1.0487,-1.6044,-0.0526,0.029,-3.75,DOWN,False,False,False,False,0,,,False,-0.10069,"total_conversions_marketing, total_units_sold, total_clicks, bounce_rate, economic_index",False,10415.6841,4997.1351,16004.5491,0,False,NONE,,,11111.8414,False,
2024-02-26,total_revenue_usd,1,11223.34,11130.2786,0.2329,-0.365,0.0116,0.1082,0.84,UP,False,False,False,False,0,,,False,-0.08927,"bounce_rate, total_impressions, n_reorders, marketing_pressure, conversion_rate",False,11343.7005,5987.0427,16899.8307,0,False,NONE,,,11130.2786,False,
2024-02-27,total_revenue_usd,1,11375.52,11133.6414,0.6018,-0.1228,0.0021,0.1384,2.17,UP,False,False,False,False,0,,,False,-0.02942,"n_stockouts, total_clicks, total_attributed_revenue_usd, avg_roas, total_conversions_marketing",False,11188.6519,5733.0771,16746.444,0,False,NONE,,,11133.6414,False,
2024-02-28,total_revenue_usd,1,11883.07,11159.7814,1.6139,0.9401,0.0156,0.2622,6.48,UP,False,False,False,False,0,,,False,-0.08072,"avg_session_duration_sec, bounce_rate, n_reorders, consumer_sentiment, total_conversions_marketing",False,11592.9613,6596.5005,17380.9744,0,False,NONE,,,11159.7814,False,
2024-02-29,total_revenue_usd,1,12000.2,11240.5271,1.3908,1.0915,0.0494,0.3187,6.76,UP,False,False,False,False,0,,,False,-0.09168,"bounce_rate, n_reorders, total_impressions, consumer_sentiment, marketing_pressure",False,11674.0071,5922.1066,17318.6713,0,False,NONE,,,11240.5271,False,
2024-03-01,total_revenue_usd,1,11860.9,11389.0943,0.851,0.9498,0.0961,0.2646,4.14,UP,False,False,False,False,0,,,False,-0.11054,"consumer_sentiment, avg_session_duration_sec, bounce_rate, total_units_sold, total_conversions_marketing",False,12455.4133,6910.5148,17839.0763,0,False,NONE,,,11389.0943,False,
2024-03-02,total_revenue_usd,1,11428.42,11495.1886,-0.145,-0.3235,0.0695,0.2439,-0.58,DOWN,False,False,False,False,0,,,False,-0.09869,"avg_session_duration_sec, consumer_sentiment, total_units_sold, total_impressions, bounce_rate",False,10964.9298,5504.4077,16477.4028,0,False,NONE,,,11495.1886,False,
2024-03-03,total_revenue_usd,1,11950.58,11674.5757,0.8628,0.6361,0.1174,0.2394,2.36,UP,False,False,False,False,0,,,False,-0.0823,"total_clicks, n_reorders, total_impressions, total_units_sold, inventory_health",False,11502.9291,6212.6186,16921.0306,0,False,NONE,,,11674.5757,False,
2024-03-04,total_revenue_usd,1,12113.32,11801.7157,1.0906,-0.1914,0.0793,0.364,2.64,UP,False,False,False,False,0,,,False,-0.11379,"avg_session_duration_sec, bounce_rate, total_units_sold, avg_roas, total_attributed_revenue_usd",False,12070.011,6526.4193,17427.7915,0,False,NONE,,,11801.7157,False,
2024-03-05,total_revenue_usd,1,12073.45,11901.42,0.7539,0.5593,0.0614,0.3841,1.45,UP,False,False,False,False,0,,,False,-0.10694,"total_spend_usd, total_impressions, total_conversions_marketing, total_attributed_revenue_usd, avg_roas",False,11677.2887,6262.8622,17073.7687,0,False,NONE,,,11901.42,False,
2024-03-06,total_revenue_usd,1,11758.3,11883.5957,-0.534,-0.8601,-0.0105,0.3584,-1.05,DOWN,False,False,False,False,0,,,False,-0.10429,"bounce_rate, pages_per_session, n_reorders, marketing_pressure, conversion_rate",False,11251.4959,5922.2392,16577.3057,0,False,NONE,,,11883.5957,False,
2024-03-07,total_revenue_usd,1,11774.73,11851.3857,-0.3313,-0.8831,-0.0188,0.3039,-0.65,DOWN,False,False,False,False,0,,,False,-0.12171,"avg_session_duration_sec, total_clicks, total_units_sold, n_unique_customers, marketing_pressure",False,11240.1283,6018.3051,17102.2818,0,False,NONE,,,11851.3857,False,
2024-03-08,total_revenue_usd,1,12083.19,11883.1414,0.8079,0.1306,0.0187,0.3708,1.68,UP,False,False,False,False,0,,,False,-0.0958,"total_clicks, total_impressions, avg_session_duration_sec, total_conversions_marketing, avg_roas",False,12580.3597,7107.6055,18344.6105,0,False,NONE,,,11883.1414,False,
2024-03-09,total_revenue_usd,1,12418.93,12024.6429,1.7402,1.0007,0.0867,0.4117,3.28,UP,False,False,False,False,0,,,False,-0.09089,"n_unique_customers, bounce_rate, marketing_pressure, conversion_rate, economic_index",False,12010.5401,6763.2786,17663.5225,0,False,NONE,,,12024.6429,False,
2024-03-10,total_revenue_usd,1,13547.22,12252.7343,2.1108,3.335,0.1336,0.4277,10.56,UP,False,True,False,True,0,,,False,-0.08069,"pages_per_session, economic_index, total_clicks, total_impressions, n_reorders",False,13247.3873,7227.7252,18747.9216,1,False,NONE,statistical,,12252.7343,False,
2024-03-11,total_revenue_usd,1,13073.11,12389.8471,1.004,0.7289,0.0792,0.3161,5.51,UP,False,False,False,False,0,,,False,-0.05815,"avg_roas, total_conversions_marketing, total_attributed_revenue_usd, total_units_sold, total_spend_usd",False,13129.4619,7429.5879,18528.7391,0,False,NONE,,,12389.8471,False,
2024-03-12,total_revenue_usd,1,12241.38,12413.8371,-0.2573,-0.3048,0.0139,0.2429,-1.39,DOWN,False,False,False,False,0,,,False,-0.09535,"bounce_rate, total_spend_usd, inventory_health, total_stock_on_hand, total_conversions_marketing",False,11961.6445,6600.2755,17689.3571,0,False,NONE,,,12413.8371,False,
2024-03-13,total_revenue_usd,1,12264.81,12486.1957,-0.3613,-0.2381,0.0431,0.2625,-1.77,DOWN,False,False,False,False,0,,,False,-0.12209,"inventory_health, total_stock_on_hand, total_clicks, total_conversions_marketing, total_attributed_revenue_usd",False,11882.855,6387.2241,17459.1418,0,False,NONE,,,12486.1957,False,
2024-03-14,total_revenue_usd,1,12216.74,12549.34,-0.6088,-0.068,0.0375,0.349,-2.65,DOWN,False,False,False,False,0,,,False,-0.11705,"inventory_health, total_stock_on_hand, total_clicks, n_unique_customers, bounce_rate",False,11873.4682,6213.9278,17627.807,0,False,NONE,,,12549.34,False,
2024-03-15,total_revenue_usd,1,7563.43,11903.66,-2.1924,-4.7443,-0.3741,-0.2572,-36.46,DOWN,False,True,True,True,1,inventory_stockout,sales_volume,False,-0.02119,"n_orders, n_returns, bounce_rate, n_unique_customers, total_units_sold",True,13288.9043,7778.6662,18512.1011,2,True,MEDIUM,"statistical, prophet",ANO-20240315-REV,11903.66,False,
2024-03-16,total_revenue_usd,1,12447.8,11907.7843,0.2726,0.412,0.0023,0.1828,4.53,UP,False,False,False,False,0,,,False,-0.10073,"inventory_health, total_stock_on_hand, pages_per_session, bounce_rate, economic_index",False,12207.4897,6675.1005,17516.042,0,False,NONE,,,11907.7843,False,
2024-03-17,total_revenue_usd,1,11973.27,11682.9343,0.157,0.024,-0.1162,0.1768,2.49,UP,False,False,False,False,0,,,False,-0.10515,"avg_session_duration_sec, total_stock_on_hand, inventory_health, total_impressions, total_spend_usd",False,11671.184,6320.5949,17410.7044,0,False,NONE,,,11682.9343,False,
2024-03-18,total_revenue_usd,1,11186.34,11413.3957,-0.13,-1.2233,-0.1443,0.0765,-1.99,DOWN,False,False,False,False,0,,,False,-0.10094,"pages_per_session, marketing_pressure, conversion_rate, bounce_rate, total_clicks",False,11205.2997,5921.5308,16560.3151,0,False,NONE,,,11413.3957,False,
2024-03-19,total_revenue_usd,1,11539.33,11313.1029,0.1322,-0.2611,-0.0574,0.0222,2.0,UP,False,False,False,False,0,,,False,-0.09128,"avg_session_duration_sec, total_units_sold, bounce_rate, n_unique_customers, total_impressions",False,11367.9133,6057.7924,16985.3427,0,False,NONE,,,11313.1029,False,
2024-03-20,total_revenue_usd,1,11866.32,11256.1757,0.363,0.2574,-0.0325,0.0696,5.42,UP,False,False,False,False,0,,,False,-0.06794,"avg_session_duration_sec, pages_per_session, n_reorders, avg_roas, total_spend_usd",False,11629.1329,6127.067,17200.2539,0,False,NONE,,,11256.1757,False,
2024-03-21,total_revenue_usd,1,11671.06,11178.2214,0.3003,0.1713,-0.0447,0.0281,4.41,UP,False,False,False,False,0,,,False,-0.08501,"avg_session_duration_sec, total_spend_usd, marketing_pressure, total_impressions, conversion_rate",False,11485.1576,5784.8938,16819.1793,0,False,NONE,,,11178.2214,False,
2024-03-22,total_revenue_usd,1,11592.04,11753.7371,-0.4078,0.078,0.5326,-0.0092,-1.38,DOWN,False,False,False,False,0,,,False,-0.11868,"bounce_rate, marketing_pressure, conversion_rate, n_reorders, total_impressions",False,12335.3709,6944.6663,17973.0081,0,False,NONE,,,11753.7371,False,
2024-03-23,total_revenue_usd,1,11520.46,11621.26,-0.3937,-0.1004,-0.0745,0.0075,-0.87,DOWN,False,False,False,False,0,,,False,-0.08708,"bounce_rate, n_reorders, pages_per_session, total_impressions, marketing_pressure",False,11317.1833,5544.7429,16653.1635,0,False,NONE,,,11621.26,False,
2024-03-24,total_revenue_usd,1,11836.57,11601.7314,1.028,0.1195,-0.0114,0.0939,2.02,UP,False,False,False,False,0,,,False,-0.0886,"total_stock_on_hand, inventory_health, total_impressions, avg_session_duration_sec, pages_per_session",False,11666.6831,6169.2456,16976.0631,0,False,NONE,,,11601.7314,False,
2024-03-25,total_revenue_usd,1,12386.13,11773.13,2.0243,0.0667,0.1073,0.1591,5.21,UP,False,False,False,False,0,,,False,-0.09571,"inventory_health, total_stock_on_hand, total_clicks, total_conversions_marketing, total_impressions",False,12570.0283,6916.7646,18044.8652,0,False,NONE,,,11773.13,False,
2024-03-26,total_revenue_usd,1,12349.76,11888.9057,1.3174,0.2925,0.0702,0.1547,3.88,UP,False,False,False,False,0,,,False,-0.08939,"inventory_health, total_stock_on_hand, total_impressions, bounce_rate, total_clicks",False,12225.6732,6411.1396,17799.1927,0,False,NONE,,,11888.9057,False,
2024-03-27,total_revenue_usd,1,11995.86,11907.4114,0.2514,-0.0252,0.0109,0.0688,0.74,UP,False,False,False,False,0,,,False,-0.10737,"n_reorders, pages_per_session, total_spend_usd, total_units_sold, total_attributed_revenue_usd",False,11792.417,6552.1713,17076.3998,0,False,NONE,,,11907.4114,False,
2024-03-28,total_revenue_usd,1,12098.96,11968.54,0.3825,-0.0142,0.0367,0.0636,1.09,UP,False,False,False,False,0,,,False,-0.09475,"total_units_sold, avg_session_duration_sec, total_stock_on_hand, inventory_health, bounce_rate",False,11813.9287,6269.7775,16953.4349,0,False,NONE,,,11968.54,False,
