date,n_orders,total_revenue_usd,avg_order_value_usd,avg_discount_pct,n_unique_customers,n_returns,return_rate,total_spend_usd,total_impressions,total_clicks,total_conversions_marketing,total_attributed_revenue_usd,avg_roas,sessions,unique_visitors,bounce_rate,pages_per_session,avg_session_duration_sec,conversion_rate,conversions_web,total_stock_on_hand,total_units_sold,n_stockouts,n_reorders,economic_index,marketing_pressure,consumer_sentiment,seasonal_index,inventory_health,anomaly_flag,anomaly_event,anomaly_kpi,n_orders_rolling_mean,n_orders_rolling_std,n_orders_z_score,n_orders_wow_change,n_orders_mom_change,n_orders_lag_1,total_revenue_usd_rolling_mean,total_revenue_usd_rolling_std,total_revenue_usd_z_score,total_revenue_usd_wow_change,total_revenue_usd_mom_change,total_revenue_usd_lag_1,avg_order_value_usd_rolling_mean,avg_order_value_usd_rolling_std,avg_order_value_usd_z_score,avg_order_value_usd_wow_change,avg_order_value_usd_mom_change,avg_order_value_usd_lag_1,avg_discount_pct_rolling_mean,avg_discount_pct_rolling_std,avg_discount_pct_z_score,avg_discount_pct_wow_change,avg_discount_pct_mom_change,avg_discount_pct_lag_1,n_unique_customers_rolling_mean,n_unique_customers_rolling_std,n_unique_customers_z_score,n_unique_customers_wow_change,n_unique_customers_mom_change,n_unique_customers_lag_1,n_returns_rolling_mean,n_returns_rolling_std,n_returns_z_score,n_returns_wow_change,n_returns_mom_change,n_returns_lag_1,return_rate_rolling_mean,return_rate_rolling_std,return_rate_z_score,return_rate_wow_change,return_rate_mom_change,return_rate_lag_1,total_spend_usd_rolling_mean,total_spend_usd_rolling_std,total_spend_usd_z_score,total_spend_usd_wow_change,total_spend_usd_mom_change,total_spend_usd_lag_1,total_impressions_rolling_mean,total_impressions_rolling_std,total_impressions_z_score,total_impressions_wow_change,total_impressions_mom_change,total_impressions_lag_1,total_clicks_rolling_mean,total_clicks_rolling_std,total_clicks_z_score,total_clicks_wow_change,total_clicks_mom_change,total_clicks_lag_1,total_conversions_marketing_rolling_mean,total_conversions_marketing_rolling_std,total_conversions_marketing_z_score,total_conversions_marketing_wow_change,total_conversions_marketing_mom_change,total_conversions_marketing_lag_1,total_attributed_revenue_usd_rolling_mean,total_attributed_revenue_usd_rolling_std,total_attributed_revenue_usd_z_score,total_attributed_revenue_usd_wow_change,total_attributed_revenue_usd_mom_change,total_attributed_revenue_usd_lag_1,avg_roas_rolling_mean,avg_roas_rolling_std,avg_roas_z_score,avg_roas_wow_change,avg_roas_mom_change,avg_roas_lag_1,sessions_rolling_mean,sessions_rolling_std,sessions_z_score,sessions_wow_change,sessions_mom_change,sessions_lag_1,unique_visitors_rolling_mean,unique_visitors_rolling_std,unique_visitors_z_score,unique_visitors_wow_change,unique_visitors_mom_change,unique_visitors_lag_1,bounce_rate_rolling_mean,bounce_rate_rolling_std,bounce_rate_z_score,bounce_rate_wow_change,bounce_rate_mom_change,bounce_rate_lag_1,pages_per_session_rolling_mean,pages_per_session_rolling_std,pages_per_session_z_score,pages_per_session_wow_change,pages_per_session_mom_change,pages_per_session_lag_1,avg_session_duration_sec_rolling_mean,avg_session_duration_sec_rolling_std,avg_session_duration_sec_z_score,avg_session_duration_sec_wow_change,avg_session_duration_sec_mom_change,avg_session_duration_sec_lag_1,conversion_rate_rolling_mean,conversion_rate_rolling_std,conversion_rate_z_score,conversion_rate_wow_change,conversion_rate_mom_change,conversion_rate_lag_1,conversions_web_rolling_mean,conversions_web_rolling_std,conversions_web_z_score,conversions_web_wow_change,conversions_web_mom_change,conversions_web_lag_1,total_stock_on_hand_rolling_mean,total_stock_on_hand_rolling_std,total_stock_on_hand_z_score,total_stock_on_hand_wow_change,total_stock_on_hand_mom_change,total_stock_on_hand_lag_1,total_units_sold_rolling_mean,total_units_sold_rolling_std,total_units_sold_z_score,total_units_sold_wow_change,total_units_sold_mom_change,total_units_sold_lag_1,n_stockouts_rolling_mean,n_stockouts_rolling_std,n_stockouts_z_score,n_stockouts_wow_change,n_stockouts_mom_change,n_stockouts_lag_1,n_reorders_rolling_mean,n_reorders_rolling_std,n_reorders_z_score,n_reorders_wow_change,n_reorders_mom_change,n_reorders_lag_1,inventory_health_rolling_mean,inventory_health_rolling_std,inventory_health_z_score,inventory_health_wow_change,inventory_health_mom_change,inventory_health_lag_1
2024-03-31,216,12975.42,60.07,0.073,150,17,0.0787,13211.2,1645919,28891,1142,120604.11,9.129,8336,6641,0.376,3.23,170.5,0.0255,212,48669,535,0,3,0.16905,0.03007,-0.07501,0.02823,-0.08871,0,,,209.4286,4.504,1.459,0.0746,0.0588,211.0,12391.9386,316.9929,1.8407,0.0962,0.094,12413.32,59.1671,0.5287,1.7076,0.02,0.0332,58.83,0.0711,0.0017,1.108,0.0429,0.0429,0.071,148.0,15.1658,0.1319,-0.0196,0.0,177.0,16.0,0.8165,1.2247,0.1333,0.0,17.0,0.0764,0.0027,0.8495,0.055,-0.0552,0.0806,12432.0471,770.9788,1.0106,0.0352,0.0763,11847.11,1429136.4286,198995.6519,1.0894,-0.3395,-0.1397,1559018.0,32753.2857,12125.2476,-0.3185,-0.5332,-0.3537,42562.0,2152.2857,1052.5293,-0.9599,-0.7048,-0.4247,1928.0,302163.1457,219153.7364,-0.8285,-0.8165,-0.6734,316436.03,24.3719,17.5238,-0.8698,-0.8228,-0.6965,26.71,8206.0,95.6556,1.359,0.0261,0.0437,8182.0,6781.2857,376.3229,-0.3728,0.0208,-0.0418,6901.0,0.402,0.0189,-1.3735,-0.0334,-0.0433,0.419,3.2643,0.2983,-0.115,0.1294,-0.0444,2.83,170.8714,15.6123,-0.0238,0.0979,0.0771,158.6,0.0245,0.001,0.9739,0.1184,0.0366,0.0251,200.4286,10.2933,1.1242,0.1459,0.0816,205.0,48276.2857,784.2403,0.5008,0.0114,-0.0257,48667.0,421.2857,105.4699,1.0782,0.2299,0.1969,254.0,0.0,0.0,,,,0.0,2.5714,1.2724,0.3368,-0.25,0.5,3.0,-0.1149,0.0523,0.5006,0.2916,-26.2117,-0.0889
2024-04-01,221,13560.1,61.36,0.075,143,18,0.0814,11942.41,1620099,34957,3481,644739.62,53.987,8489,7202,0.426,3.23,185.5,0.0258,219,48872,303,0,2,0.21193,0.05379,-0.08899,0.03077,-0.07515,0,,,211.1429,6.2564,1.5755,0.0574,0.105,216.0,12559.6486,543.2292,1.8417,0.0948,0.1865,12975.42,59.4671,0.9872,1.9174,0.0354,0.0739,60.07,0.0719,0.0021,1.4855,0.0714,0.0714,0.073,149.7143,13.5119,-0.4969,0.0916,-0.0403,150.0,16.2857,1.1127,1.5407,0.125,0.0588,17.0,0.0771,0.0033,1.3018,0.0627,-0.0424,0.0787,12213.2771,630.598,-0.4295,-0.1137,-0.0113,13211.2,1470924.4286,204746.0065,0.7286,0.2203,0.2622,1645919.0,34351.1429,11463.3518,0.0529,0.4705,-0.3613,28891.0,2482.8571,1054.8822,0.9462,1.9829,-0.4002,1142.0,373479.0986,239927.9271,1.1306,3.4303,0.6622,120604.11,30.5413,19.4463,1.2057,3.9983,0.6811,9.129,8256.0,137.2346,1.6978,0.043,0.0658,8336.0,6808.8571,401.9823,0.978,0.0275,0.2538,6641.0,0.4011,0.0174,1.4269,-0.0139,0.0895,0.376,3.2257,0.2796,0.0153,-0.0771,-0.0415,3.23,173.3571,16.4596,0.7377,0.1035,-0.1209,170.5,0.0247,0.0011,0.9599,0.0617,0.0661,0.0255,203.5714,12.2455,1.2599,0.1117,0.1406,212.0,48429.4286,780.3905,0.5671,0.0224,-0.0635,48669.0,415.0,111.7587,-1.0022,-0.1268,0.1018,535.0,0.0,0.0,,,,0.0,2.5714,1.2724,-0.4491,0.0,-0.3333,3.0,-0.1047,0.052,0.5673,0.4876,-1.5157,-0.0887
2024-04-02,223,13689.83,61.39,0.079,142,18,0.0807,13325.41,2317936,42736,4775,841161.8,63.125,8659,7409,0.463,3.42,207.9,0.0263,227,49177,356,0,9,0.21298,0.08805,-0.10003,0.03329,-0.05481,0,,,213.2857,7.4546,1.3031,0.0721,0.0931,221.0,12751.0871,676.6712,1.3873,0.1085,0.1455,13560.1,59.7557,1.2215,1.3379,0.034,0.048,61.36,0.0731,0.0032,1.8096,0.1286,0.1286,0.075,148.1429,13.7044,-0.4482,-0.0719,-0.007,143.0,16.5714,1.2724,1.1227,0.125,0.0588,18.0,0.0776,0.0036,0.8591,0.0494,-0.0312,0.0814,12279.2243,726.7697,1.4395,0.0359,0.058,11942.41,1639622.1429,331227.7502,2.0479,1.0385,-0.0412,1620099.0,35706.0,11865.2072,0.5925,0.2852,-0.6409,34957.0,2698.4286,1353.512,1.5342,0.462,0.488,3481.0,419143.6814,296538.285,1.4231,0.6129,3.2224,644739.62,33.7676,22.9412,1.2797,0.5571,2.9907,53.987,8329.1429,194.1129,1.6993,0.0628,0.0813,8489.0,6877.5714,462.3245,1.1495,0.0694,0.0931,7202.0,0.4119,0.0279,1.833,0.1933,0.0894,0.426,3.2714,0.2817,0.5273,0.1032,0.0395,3.23,178.5,20.9422,1.4039,0.2094,0.1853,185.5,0.025,0.0012,1.0271,0.0958,0.0913,0.0258,208.1429,14.3112,1.3177,0.1641,0.1823,219.0,48726.7143,550.1872,0.8184,0.0442,-0.0586,48872.0,416.2857,110.8944,-0.5436,0.0259,0.2993,303.0,0.0,0.0,,,,0.0,3.4286,2.7603,2.0184,2.0,0.2857,2.0,-0.0848,0.0367,0.8188,0.7169,-1.3669,-0.0752
2024-04-03,222,13485.91,60.75,0.079,139,18,0.0811,12326.68,1729987,52264,4090,422154.64,34.247,8673,7336,0.4,3.68,196.5,0.0264,228,49464,462,0,9,0.19158,0.09354,-0.12383,0.0358,-0.03568,0,,,216.1429,6.1218,0.9568,0.099,0.0829,223.0,12963.9514,632.4189,0.8253,0.1242,0.1133,13689.83,59.95,1.2612,0.6343,0.0229,0.0281,61.39,0.0744,0.0036,1.2869,0.1286,0.1286,0.079,148.8571,12.9541,-0.7609,0.0373,-0.1312,142.0,17.0,1.1547,0.866,0.2,0.0588,18.0,0.0786,0.0035,0.726,0.0915,-0.0217,0.0807,12403.9486,629.9319,-0.1227,0.0762,-0.0851,13325.41,1669703.2857,328038.062,0.1838,0.1386,0.0864,2317936.0,38371.2857,13321.2498,1.0429,0.5552,0.1537,42736.0,3009.4286,1392.5093,0.776,1.138,0.4452,4775.0,458200.91,271977.3166,-0.1325,1.8379,2.0931,841161.8,36.8046,21.0621,-0.1214,1.6368,2.3808,63.125,8403.4286,213.9555,1.2599,0.0638,0.0805,8659.0,6944.8571,493.4185,0.7927,0.0686,0.1045,7409.0,0.411,0.0282,-0.39,-0.0148,0.0256,0.463,3.2729,0.2841,1.433,0.0027,0.0575,3.42,181.1286,22.0111,0.6983,0.1033,0.2516,207.9,0.0256,0.0007,1.1501,0.1681,0.0909,0.0263,214.4286,11.2821,1.2029,0.2391,0.1753,227.0,48755.2857,586.719,1.2079,0.0041,-0.0494,49177.0,415.1429,110.2882,0.4249,-0.017,-0.0043,356.0,0.0,0.0,,,,0.0,4.7143,2.9841,1.4362,,1.25,9.0,-0.0829,0.0391,1.2081,0.272,-1.2633,-0.0548
2024-04-04,225,13456.9,59.81,0.088,158,18,0.08,14583.49,1663774,69066,4025,792106.18,54.315,9081,7822,0.424,3.21,152.5,0.0277,251,49192,447,0,3,0.16028,0.18266,-0.10632,0.0383,-0.05386,0,,,218.7143,5.3763,1.1691,0.087,0.0922,222.0,13157.9429,521.3894,0.5734,0.1122,0.1146,13485.91,60.1443,1.0838,-0.3084,0.0233,0.0205,60.75,0.077,0.0057,1.9345,0.2571,0.2571,0.079,150.2857,13.388,0.5762,0.0676,-0.0595,139.0,17.4286,0.7868,0.7263,0.2,0.125,18.0,0.0797,0.0022,0.1562,0.1034,0.0296,0.0811,12721.3171,1034.7672,1.7996,0.1797,0.2898,12326.68,1679778.7143,326377.2512,-0.049,0.0443,0.4951,1729987.0,40789.1429,17206.4542,1.6434,0.3246,0.9795,52264.0,3024.2857,1404.3606,0.7126,0.0265,3.314,4090.0,473973.57,289721.2752,1.0981,0.162,16.5233,422154.64,36.686,20.9436,0.8417,-0.0151,12.5855,34.247,8538.8571,297.8386,1.8203,0.1166,0.1324,8673.0,7205.5714,377.6934,1.6321,0.3043,0.3547,7336.0,0.4153,0.0275,0.3174,0.0761,0.0627,0.4,3.2343,0.2692,-0.0902,-0.0776,0.0063,3.68,181.5286,21.3606,-1.359,0.0187,-0.1523,196.5,0.0261,0.0009,1.9234,0.1399,0.126,0.0264,222.1429,15.1705,1.9022,0.2741,0.2741,228.0,48805.0,609.7792,0.6347,0.0071,-0.0379,49464.0,405.2857,102.5861,0.4066,-0.1337,0.0618,462.0,0.0,0.0,,,,0.0,4.5714,3.0472,-0.5157,-0.25,-0.25,9.0,-0.0796,0.0407,0.634,0.3007,-1.7152,-0.0357
2024-04-05,217,13057.41,60.17,0.074,133,18,0.0829,12327.55,2265951,25459,1518,290277.62,23.547,8424,6133,0.371,2.87,174.5,0.0256,215,50148,321,0,1,0.17241,0.04273,-0.11824,0.04079,0.00988,0,,,219.2857,4.855,-0.4708,0.0188,0.0905,225.0,13234.1271,446.9952,-0.3953,0.0426,0.1105,13456.9,60.34,0.9105,-0.1867,0.0233,0.0183,59.81,0.077,0.0057,-0.5276,0.0,0.0571,0.088,148.8571,14.7584,-1.0745,-0.0699,-0.0432,158.0,17.7143,0.488,0.5855,0.125,0.125,18.0,0.0808,0.0013,1.6526,0.1039,0.0311,0.08,12794.8357,976.0884,-0.4787,0.0436,-0.0433,14583.49,1828954.8571,320711.7969,1.3626,0.8547,0.5858,1663774.0,42276.4286,14906.9062,-1.1282,0.6919,-0.5556,69066.0,2994.1429,1438.6419,-1.0261,-0.122,-0.6237,4025.0,489640.0,273738.316,-0.7283,0.6072,-0.5504,792106.18,37.8657,19.7352,-0.7255,0.5401,-0.5301,54.315,8549.1429,291.4855,-0.4293,0.0086,0.0482,9081.0,7063.4286,556.6078,-1.6716,-0.1396,-0.0393,7822.0,0.4113,0.0319,-1.2627,-0.0702,0.0334,0.424,3.21,0.296,-1.1485,-0.0559,0.0749,3.21,178.0,19.9483,-0.1755,-0.124,0.0075,152.5,0.0261,0.0009,-0.5352,0.0,0.1378,0.0277,222.4286,14.9873,-0.4957,0.0094,0.1944,251.0,49169.8571,522.2175,1.8731,0.0537,-0.0217,49192.0,382.5714,100.8743,-0.6104,-0.3312,-0.2587,447.0,0.0,0.0,,,,0.0,4.2857,3.3022,-0.995,-0.6667,0.0,3.0,-0.0553,0.0348,1.8726,1.0616,-0.8825,-0.0539
2024-04-06,222,13344.43,60.11,0.081,186,18,0.0811,13696.38,2140295,85097,6225,723229.29,52.804,8757,6934,0.422,3.59,181.8,0.0267,233,50601,500,0,4,0.17033,0.11132,-0.11562,0.04327,0.04009,0,,,220.8571,3.2367,0.3531,0.0521,0.11,217.0,13367.1429,262.494,-0.0865,0.075,0.1333,13057.41,60.5229,0.6471,-0.638,0.0218,0.0211,60.17,0.0784,0.0052,0.4984,0.1408,0.1571,0.074,150.1429,17.7147,2.0241,0.0508,0.4531,133.0,17.8571,0.378,0.378,0.0588,0.125,18.0,0.0808,0.0013,0.1992,0.0062,0.0138,0.0829,13059.0171,925.7922,0.6885,0.1561,0.0459,12327.55,1911994.4286,314360.2299,0.7262,0.3728,0.2787,2265951.0,48352.8571,22016.4863,1.6689,0.9994,0.0247,25459.0,3608.0,1783.3571,1.4675,2.2287,1.2232,1518.0,547753.3229,274019.533,0.6404,1.2855,0.7867,290277.62,41.5934,19.7413,0.5679,0.9769,0.7082,23.547,8631.2857,248.6502,0.5056,0.0703,0.0897,8424.0,7068.1429,555.1407,-0.2416,0.0048,0.0899,6133.0,0.4117,0.032,0.321,0.0072,-0.0209,0.371,3.3186,0.2718,0.9986,0.2686,0.1012,2.87,181.3143,18.0222,0.027,0.1463,-0.1477,174.5,0.0263,0.0008,0.5418,0.0637,0.1711,0.0256,226.4286,13.1891,0.4982,0.1366,0.2732,215.0,49446.1429,694.8903,1.6619,0.0397,0.0071,50148.0,417.7143,90.983,0.9044,0.9685,0.073,321.0,0.0,0.0,,,,0.0,4.4286,3.2587,-0.1315,0.3333,0.0,1.0,-0.0369,0.0463,1.662,1.4512,1.4595,0.0099
2024-04-07,221,13159.25,59.54,0.083,144,18,0.0814,12162.32,1148284,14757,1755,90995.4,7.482,8821,6538,0.385,3.12,186.0,0.0269,237,50082,446,0,2,0.15147,0.12682,-0.08946,0.04574,0.00553,0,,,221.5714,2.4398,-0.2342,0.0231,0.0995,222.0,13393.4043,222.9961,-1.05,0.0142,0.0891,13344.43,60.4471,0.7341,-1.2357,-0.0088,-0.0096,60.11,0.0799,0.0048,0.6581,0.137,0.1857,0.081,149.2857,17.8672,-0.2958,-0.04,-0.1111,186.0,18.0,0.0,,0.0588,0.125,18.0,0.0812,0.0009,0.1942,0.0343,0.0226,0.0811,12909.1771,980.3306,-0.7618,-0.0794,-0.0511,13696.38,1840903.7143,422298.1534,-1.6401,-0.3023,0.0769,2140295.0,46333.7143,24595.8438,-1.2838,-0.4892,0.1554,85097.0,3695.5714,1652.319,-1.1745,0.5368,0.7155,6225.0,543523.5071,281829.2443,-1.6057,-0.2455,-0.2449,723229.29,41.3581,20.1972,-1.6773,-0.1804,-0.2041,52.804,8700.5714,218.3864,0.5514,0.0582,0.0925,8757.0,7053.4286,569.5278,-0.905,-0.0155,0.0633,6934.0,0.413,0.0305,-0.9175,0.0239,-0.0351,0.422,3.3029,0.2808,-0.6512,-0.0341,-0.0429,3.59,183.5286,17.414,0.1419,0.0909,0.2149,181.8,0.0265,0.0007,0.587,0.0549,0.2063,0.0267,230.0,11.9583,0.5854,0.1179,0.3167,233.0,49648.0,634.0839,0.6845,0.029,-0.0249,50601.0,405.0,77.0065,0.5324,-0.1664,0.1525,500.0,0.0,0.0,,,,0.0,4.2857,3.3523,-0.6818,-0.3333,-0.5,4.0,-0.0234,0.0423,0.6851,1.0623,-0.939,0.0401
2024-04-08,219,13021.76,59.46,0.08,175,18,0.0822,12459.99,1226359,24348,2537,235515.31,18.902,8690,7210,0.392,3.1,190.7,0.0265,230,49918,350,0,4,0.14867,0.09894,-0.11065,0.04819,-0.00542,0,,,221.2857,2.6277,-0.8699,-0.009,0.0896,221.0,13316.4986,247.418,-1.1913,-0.0397,0.0485,13159.25,60.1757,0.6903,-1.0369,-0.031,-0.0377,59.54,0.0806,0.0043,-0.1336,0.0667,0.1429,0.083,153.8571,19.9619,1.0592,0.2238,0.4583,144.0,18.0,0.0,,0.0,0.125,18.0,0.0813,0.001,0.8955,0.0098,0.0327,0.0814,12983.1171,912.428,-0.5733,0.0433,0.0749,12162.32,1784655.1429,479022.8863,-1.1655,-0.243,-0.4353,1148284.0,44818.1429,25715.0944,-0.796,-0.3035,-0.6873,14757.0,3560.7143,1710.2577,-0.5986,-0.2712,-0.124,1755.0,485062.8914,299239.9206,-0.8339,-0.6347,-0.5542,90995.4,36.346,20.8826,-0.8353,-0.6499,-0.5853,7.482,8729.2857,198.2143,-0.1982,0.0237,0.0697,8821.0,7054.5714,569.8836,0.2727,0.0011,0.1161,6538.0,0.4081,0.0308,-0.524,-0.0798,-0.1533,0.385,3.2843,0.2906,-0.6342,-0.0402,-0.0432,3.12,184.2714,17.6218,0.3648,0.028,-0.055,186.0,0.0266,0.0006,-0.1342,0.0271,0.2559,0.0269,231.5714,10.9523,-0.1435,0.0502,0.345,237.0,49797.4286,536.4693,0.2247,0.0214,-0.0137,50082.0,411.7143,68.1731,-0.9053,0.1551,0.1785,446.0,0.0,0.0,,,,0.0,4.5714,3.2071,-0.1782,1.0,1.0,2.0,-0.0135,0.0358,0.225,0.9279,-1.1325,0.0055
2024-04-09,221,12946.69,58.58,0.087,167,18,0.0814,12551.47,2048711,75781,6688,346781.42,27.629,9018,7137,0.407,2.89,200.4,0.0276,248,49078,391,0,6,0.11941,0.17119,-0.11413,0.05063,-0.06143,0,,,221.0,2.5166,0.0,-0.009,0.0474,219.0,13210.3357,218.2439,-1.208,-0.0543,-0.0443,13021.76,59.7743,0.6834,-1.7475,-0.0458,-0.0875,59.46,0.0817,0.0048,1.0965,0.1013,0.2429,0.08,157.4286,19.7219,0.4853,0.1761,0.219,175.0,18.0,0.0,,0.0,0.0588,18.0,0.0814,0.0009,-0.0469,0.0087,0.0099,0.0822,12872.5543,910.9277,-0.3525,-0.0581,0.0365,12459.99,1746194.4286,438132.3984,0.6905,-0.1161,0.6727,1226359.0,49538.8571,28183.8124,0.9311,0.7732,3.0211,24348.0,3834.0,2054.7717,1.389,0.4006,2.3473,2537.0,414437.1229,256471.7394,-0.2638,-0.5877,0.9018,235515.31,31.2751,17.2983,-0.2108,-0.5623,0.835,18.902,8780.5714,222.0127,1.0694,0.0415,0.1006,8690.0,7015.7143,550.6374,0.2203,-0.0367,0.1201,7210.0,0.4001,0.0193,0.355,-0.121,0.0074,0.392,3.2086,0.3171,-1.0045,-0.155,-0.2847,3.1,183.2,16.1088,1.0677,-0.0361,0.0266,190.7,0.0268,0.0007,1.1428,0.0494,0.2545,0.0265,234.5714,12.2863,1.093,0.0925,0.3778,230.0,49783.2857,556.4832,-1.2674,-0.002,-0.0316,49918.0,416.7143,64.5954,-0.3981,0.0983,-0.069,350.0,0.0,0.0,,,,0.0,4.1429,2.6726,0.6949,-0.3333,5.0,4.0,-0.0144,0.0371,-1.2673,-0.1208,-2.3498,-0.0054
2024-04-10,213,12633.56,59.31,0.07,159,17,0.0798,13089.35,1160004,35528,2421,453863.9,34.674,8221,6568,0.457,3.6,152.5,0.0249,204,49441,305,0,0,0.14375,-0.00998,-0.04368,0.05305,-0.03721,0,,,219.7143,3.8607,-1.7392,-0.0405,0.0143,221.0,13088.5714,270.4088,-1.6827,-0.0632,-0.0336,12946.69,59.5686,0.5431,-0.4761,-0.0237,-0.0472,58.58,0.0804,0.0066,-1.5912,-0.1139,0.0,0.087,160.2857,17.9788,-0.0715,0.1439,0.0063,167.0,17.8571,0.378,-2.2678,-0.0556,0.0625,18.0,0.0813,0.0011,-1.3159,-0.016,0.0472,0.0814,12981.5071,879.8354,0.1226,0.0619,0.1512,12551.47,1664768.2857,491376.47,-1.0272,-0.3295,-0.4403,2048711.0,47148.0,28620.587,-0.406,-0.3202,-0.5733,75781.0,3595.5714,2116.0346,-0.5551,-0.4081,-0.7148,6688.0,418967.0171,256910.4221,0.1358,0.0751,-0.5695,346781.42,31.3361,17.3113,0.1928,0.0125,-0.626,27.629,8716.0,307.7066,-1.6087,-0.0521,0.0091,9018.0,6906.0,552.6925,-0.6116,-0.1047,-0.0833,7137.0,0.4083,0.0289,1.6863,0.1425,0.1454,0.407,3.1971,0.2982,1.351,-0.0217,0.0345,2.89,176.9143,18.4661,-1.3221,-0.2239,-0.2443,200.4,0.0266,0.001,-1.6306,-0.0568,0.0779,0.0276,231.1429,16.9059,-1.6055,-0.1053,0.0851,248.0,49780.0,558.7459,-0.6067,-0.0005,-0.0563,49078.0,394.2857,72.9651,-1.2237,-0.3398,-0.402,391.0,0.0,0.0,,,,0.0,2.8571,2.0354,-1.4037,-1.0,-1.0,6.0,-0.0146,0.0372,-0.6061,-0.0429,-1.2334,-0.0614
2024-04-11,216,12667.65,58.65,0.077,152,17,0.0787,13646.74,2292870,25877,1992,128853.12,9.442,8555,7447,0.403,3.25,192.5,0.0261,223,50173,439,0,6,0.12155,0.07232,-0.01526,0.05546,0.01155,0,,,218.4286,3.2587,-0.7453,-0.04,0.064,213.0,12975.8214,255.3581,-1.2068,-0.0587,0.0348,12633.56,59.4029,0.6276,-1.1996,-0.0194,-0.0274,59.31,0.0789,0.0057,-0.3259,-0.125,0.1,0.07,159.4286,18.247,-0.4071,-0.038,0.0066,159.0,17.7143,0.488,-1.4639,-0.0556,0.0625,17.0,0.0811,0.0014,-1.6717,-0.0162,-0.0013,0.0798,12847.6857,631.8611,1.2646,-0.0642,0.1987,13089.35,1754639.1429,545691.9751,0.9863,0.3781,0.6991,1160004.0,40978.1429,27750.1194,-0.5442,-0.6253,0.0817,35528.0,3305.1429,2185.6428,-0.6008,-0.5051,1.7476,2421.0,324216.58,215293.4087,-0.9074,-0.8373,-0.0048,453863.9,24.9257,15.6085,-0.992,-0.8262,-0.1697,34.674,8640.8571,264.9751,-0.324,-0.0579,0.0562,8221.0,6852.4286,459.4108,1.2942,-0.0479,0.1292,6568.0,0.4053,0.0281,-0.0814,-0.0495,-0.1587,0.457,3.2029,0.2989,0.1577,0.0125,0.0383,3.6,182.6286,15.622,0.6319,0.2623,-0.0664,152.5,0.0263,0.0009,-0.2573,-0.0578,0.1549,0.0249,227.1429,14.5766,-0.2842,-0.1116,0.2186,204.0,49920.1429,507.3472,0.4984,0.0199,-0.056,49441.0,393.1429,72.0588,0.6364,-0.0179,0.0707,305.0,0.0,0.0,,,,0.0,3.2857,2.3604,1.1499,1.0,0.5,0.0,-0.0053,0.0338,0.4979,1.2144,-0.945,-0.0372
2024-04-12,221,13261.45,60.01,0.079,146,18,0.0814,12459.66,1867620,92897,11057,1374205.06,110.292,8691,7146,0.352,3.51,209.4,0.0264,229,50738,417,0,6,0.16688,0.09212,-0.05331,0.05785,0.04921,0,,,219.0,3.3166,0.603,0.0184,0.0728,216.0,13004.97,276.9555,0.9261,0.0156,0.0813,12667.65,59.38,0.5972,1.055,-0.0027,0.0079,58.65,0.0796,0.0053,-0.1081,0.0676,0.1286,0.077,161.2857,15.5747,-0.9814,0.0977,0.0429,152.0,17.7143,0.488,0.5855,0.0,0.125,17.0,0.0809,0.0012,0.4556,-0.0181,0.0476,0.0787,12866.5586,615.4971,-0.6611,0.0107,0.0452,13646.74,1697734.7143,502549.5748,0.338,-0.1758,0.2491,2292870.0,50612.1429,32724.7129,1.2921,2.6489,3.5069,25877.0,4667.8571,3477.5634,1.8372,6.2839,13.6645,1992.0,479063.3571,449367.8514,1.992,3.7341,10.7057,128853.12,37.3179,35.7591,2.0407,3.6839,10.1994,9.442,8679.0,247.1754,0.0485,0.0317,0.0751,8555.0,6997.1429,338.7135,0.4395,0.1652,0.1302,7447.0,0.4026,0.0325,-1.556,-0.0512,-0.2143,0.403,3.2943,0.2772,0.7782,0.223,0.1178,3.25,187.6143,17.9857,1.2113,0.2,0.1411,192.5,0.0264,0.0008,-0.0517,0.0312,0.1139,0.0261,229.1429,13.5576,-0.0105,0.0651,0.199,223.0,50004.4286,593.2467,1.2365,0.0118,-0.0425,50173.0,406.8571,64.8111,0.1565,0.2991,0.3196,439.0,0.0,0.0,,,,0.0,4.0,2.3094,0.866,5.0,0.5,6.0,0.0003,0.0395,1.2362,3.9808,-0.7533,0.0116
