date,channel,spend_usd,impressions,clicks,conversions,attributed_revenue_usd,roas
2024-01-14,affiliate,3871.86,358951,5604,346,67472.94,17.426
2024-01-14,display,931.23,86334,1350,85,16228.04,17.426
2024-01-15,paid_search,2071.41,381405,13015,797,79613.71,38.435
2024-01-15,social,2851.69,525078,17917,1097,109603.6,38.435
2024-01-15,email,2399.5,441816,15076,923,92223.64,38.435
2024-01-15,affiliate,4261.62,784686,26776,1640,163793.63,38.435
2024-01-15,display,976.58,179818,6138,377,37534.33,38.434
2024-01-16,paid_search,2855.8,334814,5274,591,39311.01,13.765
2024-01-16,social,4600.74,539391,8497,952,63330.7,13.765
2024-01-16,email,4000.24,468988,7388,828,55064.59,13.765
2024-01-16,affiliate,1305.1,153009,2410,270,17965.09,13.765
2024-01-16,display,336.79,39488,625,71,4636.14,13.766
2024-01-17,paid_search,6560.23,559042,9648,421,33647.49,5.129
2024-01-17,social,3024.26,257717,4448,194,15511.46,5.129
2024-01-17,email,2608.17,222260,3836,167,13377.33,5.129
2024-01-17,affiliate,745.53,63532,1096,47,3823.86,5.129
2024-01-17,display,225.59,19226,333,16,1157.06,5.129
2024-01-18,paid_search,3274.5,314831,9898,706,125248.9,38.25
2024-01-18,social,1282.58,123315,3877,276,49058.56,38.25
2024-01-18,email,5078.92,488318,15353,1096,194267.37,38.25
2024-01-18,affiliate,1093.6,105145,3305,236,41829.99,38.25
2024-01-18,display,2256.73,216978,6825,489,86319.14,38.25
2024-01-19,paid_search,3378.92,390688,18735,2091,244581.31,72.384
2024-01-19,social,3554.85,411030,19710,2200,257315.88,72.384
2024-01-19,email,2477.4,286449,13736,1533,179325.2,72.384
2024-01-19,affiliate,295.71,34192,1639,183,21405.14,72.386
2024-01-19,display,3050.05,352663,16913,1889,220775.47,72.384
2024-01-20,paid_search,3748.6,626337,8380,951,58994.24,15.738
2024-01-20,social,1595.73,266624,3567,405,25113.14,15.738
2024-01-20,email,3517.4,587707,7863,893,55355.7,15.738
2024-01-20,affiliate,1330.43,222295,2974,337,20937.86,15.738
2024-01-20,display,1111.78,185765,2486,284,17496.78,15.738
2024-01-21,paid_search,6228.11,1069184,44873,3105,422155.45,67.782
2024-01-21,social,1040.58,178637,7497,518,70532.87,67.782
2024-01-21,email,1840.47,315954,13260,917,124751.11,67.782
2024-01-21,affiliate,777.88,133538,5604,387,52726.37,67.782
2024-01-21,display,2468.63,423794,17788,1234,167329.43,67.782
2024-01-22,paid_search,3929.81,755840,20797,1212,190129.03,48.381
2024-01-22,social,3469.91,667386,18363,1070,167878.77,48.381
2024-01-22,email,1708.0,328508,9039,527,82635.14,48.381
2024-01-22,affiliate,1749.84,336555,9260,540,84659.45,48.381
2024-01-22,display,575.99,110786,3051,180,27867.35,48.382
2024-01-23,paid_search,2674.61,359783,15476,766,86892.0,32.488
2024-01-23,social,2262.72,304377,13092,648,73510.86,32.488
2024-01-23,email,1698.26,228446,9826,486,55172.67,32.488
2024-01-23,affiliate,4289.67,577038,24821,1229,139361.74,32.488
2024-01-23,display,175.0,23542,1015,52,5685.36,32.488
2024-01-24,paid_search,3125.17,340328,5350,522,37455.16,11.985
2024-01-24,social,5403.03,588386,9249,902,64755.37,11.985
2024-01-24,email,2202.64,239865,3770,368,26398.63,11.985
2024-01-24,affiliate,134.38,14634,230,22,1610.59,11.985
2024-01-24,display,276.12,30071,474,48,3309.25,11.985
2024-01-25,paid_search,7605.48,1313108,49799,5168,239944.69,31.549
2024-01-25,social,1333.24,230187,8729,906,42062.31,31.549
2024-01-25,email,459.76,79378,3010,312,14504.8,31.549
2024-01-25,affiliate,3826.96,660736,25058,2600,120736.59,31.549
2024-01-25,display,126.94,21919,833,88,4004.87,31.549
2024-01-26,paid_search,6150.39,1144572,43932,1639,89619.7,14.571
2024-01-26,social,1172.72,218239,8376,312,17088.1,14.571
2024-01-26,email,2785.19,518316,19894,742,40584.06,14.571
2024-01-26,affiliate,501.63,93351,3583,133,7309.42,14.571
2024-01-26,display,564.25,105008,4032,152,8221.94,14.571
2024-01-27,paid_search,4038.18,552828,8164,272,23021.74,5.701
2024-01-27,social,2614.56,357933,5286,176,14905.64,5.701
2024-01-27,email,2674.79,366178,5407,180,15248.99,5.701
2024-01-27,affiliate,1846.35,252765,3732,124,10526.07,5.701
2024-01-27,display,890.04,121849,1802,62,5074.12,5.701
2024-01-28,paid_search,4265.73,456736,15025,1150,175231.6,41.079
2024-01-28,social,1905.16,203987,6710,513,78261.92,41.079
2024-01-28,email,2127.1,227750,7492,573,87378.98,41.079
2024-01-28,affiliate,3656.53,391509,12879,986,150206.58,41.079
2024-01-28,display,281.85,30180,996,78,11578.07,41.079
2024-01-29,paid_search,3712.2,348585,4490,467,22868.3,6.16
2024-01-29,social,4120.11,386889,4983,519,25381.17,6.16
2024-01-29,email,2374.51,222973,2872,299,14627.74,6.16
2024-01-29,affiliate,1951.33,183235,2360,245,12020.79,6.16
2024-01-29,display,127.44,11969,156,18,785.06,6.16
2024-01-30,paid_search,4067.12,503470,24336,2909,475766.59,116.979
2024-01-30,social,2138.18,264685,12793,1529,250120.87,116.978
2024-01-30,email,1675.45,207405,10025,1198,195992.38,116.979
2024-01-30,affiliate,2994.58,370700,17918,2142,350302.2,116.979
2024-01-30,display,489.06,60541,2928,351,57208.47,116.976
2024-01-31,paid_search,4356.26,865570,27904,2899,575379.74,132.081
2024-01-31,social,847.18,168330,5426,563,111896.26,132.081
2024-01-31,email,5130.89,1019487,32866,3414,677694.21,132.081
2024-01-31,affiliate,2162.54,429687,13852,1439,285630.39,132.081
2024-01-31,display,630.44,125269,4041,422,83269.86,132.082
2024-02-01,paid_search,2415.55,335335,11219,777,41581.57,17.214
2024-02-01,social,2644.42,367108,12282,851,45521.47,17.214
2024-02-01,email,2918.4,405143,13555,939,50237.77,17.214
2024-02-01,affiliate,2726.93,378563,12665,878,46941.81,17.214
2024-02-01,display,1083.17,150370,5033,351,18645.67,17.214
2024-02-02,paid_search,3676.56,516832,23971,1886,332123.61,90.335
2024-02-02,social,4058.3,570495,26460,2082,366608.25,90.335
2024-02-02,email,3018.59,424337,19681,1548,272685.39,90.335
2024-02-02,affiliate,1127.55,158505,7351,578,101857.96,90.336
2024-02-02,display,1284.96,180635,8381,662,116077.3,90.335
2024-02-03,paid_search,5631.47,658343,22343,463,39124.18,6.947
2024-02-03,social,2760.11,322668,10951,226,19175.63,6.947
2024-02-03,email,1597.47,186751,6338,131,11098.29,6.947
2024-02-03,affiliate,1995.83,233320,7918,164,13865.83,6.947
2024-02-03,display,187.71,21945,746,17,1304.09,6.947
2024-02-04,paid_search,2532.9,307947,4605,110,18214.15,7.191
2024-02-04,social,3802.06,462251,6912,166,27340.73,7.191
2024-02-04,email,3578.24,435038,6505,156,25731.21,7.191
2024-02-04,affiliate,1762.97,214340,3205,77,12677.56,7.191
2024-02-04,display,1238.79,150613,2254,56,8908.17,7.191
2024-02-05,paid_search,1079.19,100487,3719,339,55621.56,51.54
2024-02-05,social,3095.42,288226,10667,974,159538.21,51.54
2024-02-05,email,3928.89,365833,13539,1236,202495.09,51.54
2024-02-05,affiliate,1838.35,171175,6335,578,94748.58,51.54
2024-02-05,display,1247.95,116204,4303,394,64319.84,51.54
2024-02-06,paid_search,5162.95,829136,16173,1702,162907.54,31.553
2024-02-06,social,3732.65,599438,11692,1230,117776.85,31.553
2024-02-06,email,2304.23,370044,7218,759,72705.86,31.553
2024-02-06,affiliate,1876.87,301412,5879,618,59221.14,31.553
2024-02-06,display,196.56,31569,617,68,6201.98,31.553
2024-02-07,paid_search,5332.18,1064886,40502,3220,330994.17,62.075
2024-02-07,social,1252.45,250126,9513,756,77745.85,62.075
2024-02-07,email,2549.29,509116,19364,1539,158246.63,62.075
2024-02-07,affiliate,2216.9,442735,16839,1338,137613.57,62.075
2024-02-07,display,1133.36,226347,8611,687,70353.85,62.075
2024-02-08,paid_search,8307.16,1203729,25737,2823,219132.93,26.379
2024-02-08,social,611.43,88598,1894,207,16128.93,26.379
2024-02-08,email,1364.71,197749,4228,463,35999.35,26.379
2024-02-08,affiliate,2536.5,367545,7858,862,66909.82,26.379
2024-02-08,display,100.03,14498,311,36,2638.8,26.38
2024-02-09,paid_search,3053.31,534442,22100,1410,163931.7,53.69
2024-02-09,social,4074.01,713101,29488,1882,218732.64,53.69
2024-02-09,email,2506.58,438744,18143,1158,134577.92,53.69
2024-02-09,affiliate,1906.32,333676,13798,880,102349.8,53.69
2024-02-09,display,911.04,159467,6596,423,48913.27,53.689
2024-02-10,paid_search,4970.89,422174,8376,222,25060.5,5.041
2024-02-10,social,2075.66,176284,3497,92,10464.36,5.041
2024-02-10,email,2740.96,232788,4619,122,13818.44,5.041
2024-02-10,affiliate,949.52,80642,1600,42,4786.98,5.041
2024-02-10,display,586.36,49801,990,28,2956.06,5.041
2024-02-11,paid_search,6739.52,540504,7827,831,33419.01,4.959
2024-02-11,social,1480.74,118754,1719,182,7342.5,4.959
2024-02-11,email,368.93,29588,428,45,1829.41,4.959
2024-02-11,affiliate,2480.37,198924,2880,305,12299.34,4.959
2024-02-11,display,1025.3,82229,1194,129,5084.1,4.959
2024-02-12,paid_search,7509.45,644523,18324,1670,107017.13,14.251
2024-02-12,social,1931.15,165747,4712,429,27520.79,14.251
2024-02-12,email,2220.53,190584,5418,493,31644.81,14.251
2024-02-12,affiliate,1398.93,120067,3413,311,19936.13,14.251
2024-02-12,display,374.03,32104,914,85,5330.19,14.251
2024-02-13,paid_search,3779.95,687694,7007,738,102634.76,27.152
2024-02-13,social,6059.67,1102448,11233,1183,164534.71,27.152
2024-02-13,email,1165.8,212095,2161,227,31654.17,27.152
2024-02-13,affiliate,629.83,114586,1167,122,17101.42,27.152
2024-02-13,display,886.63,161310,1645,175,24074.33,27.153
2024-02-14,paid_search,6184.53,552729,6186,337,14531.54,2.35
2024-02-14,social,2143.58,191577,2144,117,5036.68,2.35
2024-02-14,email,1474.44,131775,1474,80,3464.43,2.35
2024-02-14,affiliate,1061.87,94902,1062,57,2495.03,2.35
2024-02-14,display,1061.81,94900,1064,60,2494.92,2.35
2024-02-15,paid_search,2924.98,235405,2510,299,39989.42,13.672
2024-02-15,social,4039.36,325091,3466,413,55224.87,13.672
2024-02-15,email,3439.0,276773,2951,352,47016.9,13.672
2024-02-15,affiliate,915.84,73707,785,93,12521.01,13.672
2024-02-15,display,2961.35,238334,2543,305,40486.52,13.672
2024-02-16,paid_search,3814.87,705241,14207,1151,148073.66,38.815
2024-02-16,social,4375.18,808824,16294,1320,169822.04,38.815
2024-02-16,email,2443.19,451664,9099,737,94832.2,38.815
2024-02-16,affiliate,1414.46,261486,5267,427,54902.17,38.815
2024-02-16,display,52.13,9639,197,18,2023.48,38.816
2024-02-17,paid_search,2730.08,442026,7061,820,56224.69,20.595
2024-02-17,social,2798.49,453103,7238,840,57633.63,20.595
2024-02-17,email,4734.58,766574,12245,1422,97506.35,20.595
2024-02-17,affiliate,1859.97,301147,4810,558,38305.27,20.595
2024-02-17,display,605.4,98022,1568,184,12467.87,20.594
2024-02-18,paid_search,5073.54,891785,12479,504,80198.69,15.807
2024-02-18,social,4570.37,803341,11242,454,72244.87,15.807
2024-02-18,email,2115.14,371781,5202,210,33434.49,15.807
2024-02-18,affiliate,1385.65,243558,3408,137,21903.36,15.807
2024-02-18,display,754.31,132587,1858,77,11923.5,15.807
2024-02-19,paid_search,4462.04,567985,8658,313,46947.39,10.522
2024-02-19,social,2019.62,257083,3919,142,21249.49,10.522
2024-02-19,email,1400.31,178249,2717,98,14733.43,10.522
2024-02-19,affiliate,2179.41,277423,4229,153,22930.74,10.522
2024-02-19,display,2160.79,275054,4194,154,22734.69,10.521
2024-02-20,paid_search,4090.79,563624,27264,2324,277234.61,67.77
2024-02-20,social,2731.65,376364,18205,1552,185125.29,67.771
2024-02-20,email,621.56,85637,4142,353,42123.12,67.77
2024-02-20,affiliate,3622.88,499155,24145,2058,245523.75,67.77
2024-02-20,display,336.65,46386,2246,192,22815.15,67.771
2024-02-21,paid_search,7726.68,1402358,48619,3609,239837.57,31.04
2024-02-21,social,1538.25,279185,9679,718,47747.46,31.04
2024-02-21,email,522.56,94841,3288,244,16220.23,31.04
2024-02-21,affiliate,985.23,178815,6199,460,30581.8,31.04
2024-02-21,display,1134.23,205860,7139,531,35206.79,31.04
2024-02-22,paid_search,3855.59,723055,10134,470,82562.64,21.414
2024-02-22,social,3153.57,591403,8288,384,67529.84,21.414
2024-02-22,email,809.33,151778,2127,98,17330.9,21.414
2024-02-22,affiliate,2207.77,414033,5802,269,47276.76,21.414
2024-02-22,display,1730.26,324485,4550,214,37051.33,21.414
2024-02-23,paid_search,7505.18,1300519,39934,2757,344017.27,45.837
2024-02-23,social,3302.67,572297,17573,1213,151385.74,45.837
2024-02-23,email,1786.4,309553,9505,656,81883.98,45.837
2024-02-23,affiliate,832.92,144330,4431,306,38178.82,45.837
2024-02-23,display,61.99,10743,331,24,2841.31,45.835
2024-02-24,paid_search,5755.76,1093719,25003,2020,231155.12,40.161
2024-02-24,social,945.49,179664,4107,331,37971.68,40.161
2024-02-24,email,1134.13,215508,4926,398,45547.26,40.161
2024-02-24,affiliate,2696.03,512305,11711,946,108274.52,40.161
2024-02-24,display,982.69,186734,4271,347,39465.36,40.161
2024-02-25,paid_search,4425.52,684738,27412,2723,201299.49,45.486
2024-02-25,social,4026.9,623062,24943,2478,183167.85,45.486
2024-02-25,email,2751.69,425754,17044,1693,125163.43,45.486
2024-02-25,affiliate,1526.05,236118,9452,939,69414.13,45.486
2024-02-25,display,648.08,100276,4016,400,29478.67,45.486
2024-02-26,paid_search,4778.39,910866,20736,1920,218488.62,45.724
2024-02-26,social,2221.92,423547,9642,892,101595.87,45.724
2024-02-26,email,2666.06,508209,11569,1071,121903.74,45.724
2024-02-26,affiliate,1927.45,367413,8364,774,88131.18,45.724
2024-02-26,display,1275.67,243176,5539,515,58329.59,45.725
2024-02-27,paid_search,6427.48,1092377,54260,3968,577836.44,89.901
2024-02-27,social,2796.1,475208,23604,1726,251371.89,89.901
2024-02-27,email,3275.16,556626,27648,2022,294439.53,89.901
2024-02-27,affiliate,285.01,48439,2406,175,25623.07,89.902
2024-02-27,display,1013.22,172203,8556,628,91089.63,89.901
2024-02-28,paid_search,3743.94,599399,21710,1873,80853.95,21.596
2024-02-28,social,4569.53,731575,26497,2286,98683.33,21.596
2024-02-28,email,1592.26,254919,9233,796,34386.44,21.596
2024-02-28,affiliate,797.03,127602,4621,398,17212.53,21.596
2024-02-28,display,1201.16,192308,6968,603,25940.38,21.596
2024-02-29,paid_search,2785.81,527184,9542,708,107789.45,38.692
2024-02-29,social,3932.52,744186,13470,999,152158.18,38.692
2024-02-29,email,1145.21,216717,3922,291,44310.66,38.692
2024-02-29,affiliate,5042.21,954184,17271,1281,195094.82,38.692
2024-02-29,display,537.35,101690,1842,138,20791.43,38.693
2024-03-01,paid_search,2430.31,378798,8850,393,73110.4,30.083
2024-03-01,social,2387.02,372051,8692,386,71808.1,30.083
2024-03-01,email,2893.34,450968,10536,467,87039.53,30.083
2024-03-01,affiliate,2050.54,319606,7467,331,61685.86,30.083
2024-03-01,display,2513.76,391806,9156,408,75620.68,30.083
2024-03-02,paid_search,4366.64,464011,19786,2098,140230.87,32.114
2024-03-02,social,6040.77,641908,27372,2902,193993.94,32.114
2024-03-02,email,903.82,96042,4095,434,29025.32,32.114
2024-03-02,affiliate,644.71,68509,2921,309,20704.43,32.114
2024-03-02,display,122.62,13031,557,61,3937.92,32.115
2024-03-03,paid_search,3452.32,662666,32624,879,54607.56,15.818
2024-03-03,social,5084.17,975897,48045,1295,80419.65,15.818
2024-03-03,email,1846.53,354438,17449,470,29207.82,15.818
2024-03-03,affiliate,1029.74,197656,9731,262,16288.03,15.818
2024-03-03,display,1181.62,226810,11169,303,18690.39,15.818
2024-03-04,paid_search,5421.36,640799,18229,1138,54920.5,10.13
2024-03-04,social,2434.39,287742,8185,511,24661.31,10.13
2024-03-04,email,1169.91,138282,3933,245,11851.65,10.13
2024-03-04,affiliate,3960.67,468148,13317,831,40123.17,10.13
2024-03-04,display,486.26,57477,1638,105,4925.96,10.13
2024-03-05,paid_search,3030.63,298284,9352,250,12116.5,3.998
2024-03-05,social,2189.46,215493,6756,180,8753.47,3.998
2024-03-05,email,2653.3,261145,8187,218,10607.9,3.998
2024-03-05,affiliate,212.87,20950,656,17,851.04,3.998
2024-03-05,display,3220.13,316937,9939,268,12874.13,3.998
2024-03-06,paid_search,3468.43,384628,15420,1085,173788.25,50.106
2024-03-06,social,3863.25,428412,17176,1209,193571.22,50.106
2024-03-06,email,893.28,99060,3971,279,44758.68,50.106
2024-03-06,affiliate,1381.19,153165,6140,432,69205.56,50.106
2024-03-06,display,3278.83,363605,14580,1029,164287.97,50.106
2024-03-07,paid_search,6541.1,836088,41482,1398,202197.64,30.912
2024-03-07,social,3142.25,401644,19927,671,97132.76,30.912
2024-03-07,email,1009.33,129013,6401,215,31200.2,30.912
2024-03-07,affiliate,2366.07,302432,15005,505,73139.54,30.912
2024-03-07,display,36.09,4615,231,11,1115.7,30.914
2024-03-08,paid_search,4074.43,338948,4059,325,38303.31,9.401
2024-03-08,social,4194.05,348900,4179,334,39427.87,9.401
2024-03-08,email,1030.23,85704,1026,82,9685.11,9.401
2024-03-08,affiliate,1181.1,98255,1176,94,11103.44,9.401
2024-03-08,display,2338.1,194506,2332,188,21980.19,9.401
2024-03-09,paid_search,1901.76,356278,12773,475,86678.95,45.578
2024-03-09,social,2830.8,530325,19012,707,129022.87,45.578
2024-03-09,email,4761.25,891978,31978,1189,217009.65,45.578
2024-03-09,affiliate,1081.0,202516,7260,270,49270.28,45.578
2024-03-09,display,1017.39,190601,6835,255,46370.96,45.578
2024-03-10,paid_search,5783.15,584887,8999,954,87079.43,15.057
2024-03-10,social,1874.65,189595,2917,309,28227.36,15.057
2024-03-10,email,2929.51,296280,4559,483,44110.98,15.057
2024-03-10,affiliate,685.94,69373,1067,113,10328.54,15.057
2024-03-10,display,836.68,84622,1304,139,12598.27,15.057
2024-03-11,paid_search,6512.18,1187078,47685,4862,603792.8,92.717
2024-03-11,social,1866.56,340248,13668,1393,173063.02,92.718
2024-03-11,email,344.82,62856,2524,257,31970.96,92.718
2024-03-11,affiliate,544.51,99257,3987,406,50485.95,92.718
2024-03-11,display,2101.97,383158,15394,1572,194887.89,92.717
2024-03-12,paid_search,2764.09,327627,5808,176,31433.77,11.372
2024-03-12,social,5353.28,634525,11248,340,60878.66,11.372
2024-03-12,email,1340.6,158902,2816,85,15245.64,11.372
2024-03-12,affiliate,1131.39,134104,2377,72,12866.42,11.372
2024-03-12,display,795.65,94310,1674,52,9048.28,11.372
2024-03-13,paid_search,4053.48,508432,7008,256,39919.85,9.848
2024-03-13,social,4165.35,522464,7202,263,41021.59,9.848
2024-03-13,email,1152.53,144563,1992,72,11350.44,9.848
2024-03-13,affiliate,1480.79,185737,2560,93,14583.24,9.848
2024-03-13,display,1068.35,134005,1850,70,10521.33,9.848
2024-03-14,paid_search,2127.54,313855,3471,327,57731.73,27.135
2024-03-14,social,3017.65,445164,4923,464,81885.21,27.135
2024-03-14,email,4811.4,709778,7850,740,130559.42,27.135
2024-03-14,affiliate,722.58,106594,1179,111,19607.43,27.135
2024-03-14,display,2064.66,304580,3371,319,56025.33,27.135
2024-03-15,paid_search,4999.53,913298,15986,1269,229159.88,45.836
2024-03-15,social,3172.14,579476,10143,805,145399.14,45.836
2024-03-15,email,3326.1,607601,10635,844,152456.11,45.836
2024-03-15,affiliate,200.07,36548,639,50,9170.56,45.837
2024-03-15,display,1742.57,318331,5574,445,79873.06,45.836
2024-03-16,paid_search,2554.2,291505,6457,693,30406.75,11.905
2024-03-16,social,3085.04,352088,7799,837,36726.18,11.905
2024-03-16,email,5831.84,665573,14743,1583,69425.61,11.905
2024-03-16,affiliate,908.46,103679,2296,246,10814.79,11.905
2024-03-16,display,751.24,85740,1901,207,8943.2,11.905
2024-03-17,paid_search,2057.74,188524,9028,546,92542.38,44.973
2024-03-17,social,5428.37,497331,23818,1440,244129.52,44.973
2024-03-17,email,982.05,89972,4308,260,44165.62,44.973
2024-03-17,affiliate,1640.8,150325,7199,435,73791.47,44.973
2024-03-17,display,1807.63,165612,7934,482,81294.35,44.973
2024-03-18,paid_search,4498.67,847363,10002,1136,197670.08,43.94
2024-03-18,social,2724.53,513189,6057,688,119715.05,43.94
2024-03-18,email,1870.7,352361,4159,472,82197.75,43.94
2024-03-18,affiliate,265.77,50060,590,67,11677.88,43.94
2024-03-18,display,2452.67,461983,5456,620,107769.66,43.94
2024-03-19,paid_search,5162.25,1010379,13913,1484,227524.65,44.075
2024-03-19,social,3225.14,631239,8692,927,142147.02,44.075
2024-03-19,email,1172.21,229431,3159,337,51664.96,44.075
2024-03-19,affiliate,1445.19,282859,3895,415,63696.34,44.075
2024-03-19,display,768.89,150492,2075,223,33888.54,44.075
2024-03-20,paid_search,6634.49,1151644,32065,3625,500122.04,75.382
2024-03-20,social,2263.51,392910,10939,1236,170628.39,75.382
2024-03-20,email,1803.72,313097,8717,985,135967.95,75.382
2024-03-20,affiliate,334.17,58007,1615,182,25190.58,75.383
2024-03-20,display,224.6,38987,1087,125,16930.38,75.38
2024-03-21,paid_search,4527.17,468176,15329,1704,214749.4,47.436
2024-03-21,social,784.49,81127,2656,295,37212.88,47.436
2024-03-21,email,3425.48,354245,11598,1290,162489.92,47.436
2024-03-21,affiliate,2280.56,235843,7721,858,108180.04,47.436
2024-03-21,display,216.78,22421,736,84,10283.46,47.437
2024-03-22,paid_search,4339.13,442317,10097,861,127172.47,29.308
2024-03-22,social,4847.52,494141,11280,962,142072.65,29.308
2024-03-22,email,1863.14,189923,4335,369,54605.56,29.308
2024-03-22,affiliate,844.28,86062,1964,167,24744.27,29.308
2024-03-22,display,524.71,53490,1224,106,15378.43,29.308
2024-03-23,paid_search,5443.97,479173,16156,691,98173.99,18.034
2024-03-23,social,2358.43,207586,6999,299,42530.72,18.033
2024-03-23,email,2041.97,179732,6060,259,36823.95,18.034
2024-03-23,affiliate,1804.8,158856,5356,229,32546.86,18.033
2024-03-23,display,486.5,42823,1445,63,8773.35,18.034
2024-03-24,paid_search,3133.69,611917,15197,949,161403.83,51.506
2024-03-24,social,1135.35,221700,5506,344,58477.47,51.506
2024-03-24,email,3081.11,601648,14942,933,158695.34,51.506
2024-03-24,affiliate,3949.39,771199,19153,1196,203417.33,51.506
2024-03-24,display,1462.61,285606,7096,446,75332.69,51.506
2024-03-25,paid_search,2324.61,229045,4101,201,25107.69,10.801
2024-03-25,social,1820.58,179382,3212,157,19663.69,10.801
2024-03-25,email,1790.18,176387,3158,155,19335.36,10.801
2024-03-25,affiliate,4133.22,407249,7292,357,44642.12,10.801
2024-03-25,display,3405.21,335520,6009,297,36779.09,10.801
2024-03-26,paid_search,4748.02,419686,12273,1205,192489.32,40.541
2024-03-26,social,1753.95,155035,4533,445,71106.94,40.541
2024-03-26,email,5721.6,505742,14789,1452,231959.19,40.541
2024-03-26,affiliate,366.64,32407,947,93,14863.84,40.541
2024-03-26,display,273.57,24182,710,71,11090.43,40.54
2024-03-27,paid_search,5228.17,693560,15340,873,67900.94,12.988
2024-03-27,social,2866.37,380248,8410,478,37227.04,12.988
