date,sessions,unique_visitors,bounce_rate,pages_per_session,avg_session_duration_sec,conversion_rate,conversions
2024-03-22,8120,6411,0.46,3.47,199.1,0.0213,172
2024-03-23,8116,5909,0.501,3.72,177.6,0.0216,175
2024-03-24,8124,6506,0.389,2.86,155.3,0.0228,185
2024-03-25,8139,7009,0.432,3.5,168.1,0.0243,197
2024-03-26,8147,6928,0.388,3.1,171.9,0.024,195
2024-03-27,8153,6865,0.406,3.67,178.1,0.0226,184
2024-03-28,8133,5997,0.394,3.48,149.7,0.0243,197
2024-03-29,8352,7128,0.399,3.04,199.2,0.0256,213
2024-03-30,8182,6901,0.419,2.83,158.6,0.0251,205
2024-03-31,8336,6641,0.376,3.23,170.5,0.0255,212
2024-04-01,8489,7202,0.426,3.23,185.5,0.0258,219
2024-04-02,8659,7409,0.463,3.42,207.9,0.0263,227
2024-04-03,8673,7336,0.4,3.68,196.5,0.0264,228
2024-04-04,9081,7822,0.424,3.21,152.5,0.0277,251
2024-04-05,8424,6133,0.371,2.87,174.5,0.0256,215
2024-04-06,8757,6934,0.422,3.59,181.8,0.0267,233
2024-04-07,8821,6538,0.385,3.12,186.0,0.0269,237
2024-04-08,8690,7210,0.392,3.1,190.7,0.0265,230
2024-04-09,9018,7137,0.407,2.89,200.4,0.0276,248
2024-04-10,8221,6568,0.457,3.6,152.5,0.0249,204
2024-04-11,8555,7447,0.403,3.25,192.5,0.0261,223
2024-04-12,8691,7146,0.352,3.51,209.4,0.0264,229
2024-04-13,8280,6399,0.42,3.55,155.4,0.0251,207
2024-04-14,8443,6864,0.413,3.61,193.8,0.0255,215
2024-04-15,8289,6929,0.384,2.95,147.8,0.0251,208
2024-04-16,9160,7733,0.364,3.44,205.0,0.0278,254
2024-04-17,9711,8429,0.37,3.3,188.2,0.0295,286
2024-04-18,9686,7457,0.388,2.96,201.3,0.0295,285
2024-04-19,9293,8158,0.398,2.72,168.4,0.0283,262
2024-04-20,8995,6643,0.417,3.06,178.0,0.0273,245
2024-04-21,8768,6837,0.437,2.66,186.0,0.0268,234
2024-04-22,8536,6176,0.446,3.26,189.8,0.026,221
2024-04-23,8244,6568,0.473,3.45,182.8,0.025,206
2024-04-24,8218,6506,0.439,2.45,185.9,0.0243,199
2024-04-25,8232,6394,0.443,3.81,166.9,0.0241,198
2024-04-26,8193,7127,0.37,3.03,158.7,0.0237,194
2024-04-27,8195,6215,0.419,3.23,154.8,0.0231,189
2024-04-28,8147,6559,0.41,3.32,182.4,0.0223,181
2024-04-29,8262,6078,0.426,3.32,189.9,0.0252,208
2024-04-30,8205,6369,0.409,3.33,201.8,0.0237,194
2024-05-01,8208,6694,0.456,3.1,182.9,0.0227,186
2024-05-02,8187,7037,0.444,3.37,204.4,0.0234,191
2024-05-03,8232,6373,0.433,2.66,160.9,0.0232,190
2024-05-04,8298,6806,0.417,3.01,172.5,0.0238,197
2024-05-05,8239,6098,0.421,3.19,168.0,0.0248,204
2024-05-06,8649,7284,0.389,3.15,207.0,0.0261,225
2024-05-07,8918,7093,0.342,3.58,160.7,0.0268,239
2024-05-08,8537,6238,0.437,3.55,187.1,0.0256,218
2024-05-09,8852,6614,0.449,3.61,174.5,0.0267,236
2024-05-10,8336,6653,0.421,3.65,189.2,0.0247,205
2024-05-11,8330,6484,0.437,2.59,213.0,0.0246,204
2024-05-12,8311,6771,0.417,2.63,179.0,0.0241,200
2024-05-13,8273,6350,0.463,3.69,212.6,0.0231,191
2024-05-14,8293,6099,0.413,2.5,191.9,0.0239,198
2024-05-15,8319,6765,0.442,3.11,202.4,0.0238,197
2024-05-16,8301,6426,0.438,2.53,144.7,0.025,207
2024-05-17,8318,7074,0.428,3.17,163.3,0.0234,194
2024-05-18,8282,6033,0.438,2.97,172.8,0.0245,202
2024-05-19,8330,6748,0.44,3.24,172.8,0.0251,209
2024-05-20,8373,6708,0.445,3.65,181.9,0.0252,210
2024-05-21,8307,6801,0.452,3.68,188.9,0.0237,196
2024-05-22,8305,7120,0.418,2.69,219.4,0.0235,195
2024-05-23,8334,6394,0.404,2.76,194.8,0.0221,184
2024-05-24,8358,7113,0.374,3.37,175.7,0.0202,168
2024-05-25,8375,7219,0.421,3.38,167.6,0.0241,201
2024-05-26,8446,6693,0.456,3.35,145.6,0.0252,212
2024-05-27,9043,7158,0.401,2.71,170.3,0.0271,245
2024-05-28,8851,6912,0.415,3.62,208.7,0.0264,233
2024-05-29,9046,7758,0.389,3.27,172.9,0.027,244
2024-05-30,9236,7143,0.398,3.43,180.6,0.0275,253
2024-05-31,9344,7810,0.372,2.97,183.5,0.0279,260
2024-06-01,9172,6841,0.408,3.21,195.9,0.0276,253
2024-06-02,9045,7506,0.402,2.98,179.6,0.0271,245
2024-06-03,8434,6516,0.456,3.61,176.1,0.0247,208
2024-06-04,8575,7105,0.445,3.09,153.5,0.0254,217
2024-06-05,8698,6326,0.403,3.43,165.3,0.0258,224
2024-06-06,9040,7605,0.39,3.13,207.2,0.0269,243
2024-06-07,8880,7276,0.358,3.37,157.4,0.0264,234
2024-06-08,9417,6816,0.43,2.97,185.0,0.0281,264
2024-06-09,9128,6656,0.434,3.06,162.4,0.0273,249
2024-06-10,8614,7014,0.436,3.01,243.8,0.0258,222
2024-06-11,8871,6789,0.424,3.49,196.4,0.0267,236
2024-06-12,8667,6379,0.446,3.25,164.3,0.026,225
2024-06-13,8329,7163,0.354,3.33,220.1,0.0246,204
2024-06-14,8344,6740,0.429,2.82,175.5,0.0248,206
2024-06-15,8527,7352,0.425,3.7,189.9,0.0256,218
2024-06-16,8620,7392,0.379,3.24,188.7,0.0258,222
2024-06-17,8767,7363,0.376,3.01,180.3,0.0262,229
2024-06-18,3053,2380,0.387,3.06,161.1,0.0304,92
2024-06-19,10214,7689,0.382,3.57,190.5,0.0307,313
2024-06-20,10522,8654,0.415,2.86,189.2,0.0318,334
2024-06-21,9665,7661,0.436,2.97,165.0,0.029,280
2024-06-22,9737,7483,0.42,3.92,169.1,0.029,282
2024-06-23,9857,7186,0.391,3.51,162.3,0.0294,289
2024-06-24,9590,8415,0.378,3.13,201.0,0.0286,274
2024-06-25,9169,6887,0.408,3.04,160.0,0.0273,250
2024-06-26,9266,7843,0.471,3.25,247.0,0.0275,254
2024-06-27,9066,6690,0.406,2.86,171.9,0.0269,243
2024-06-28,8821,7722,0.442,3.36,199.1,0.0261,230
2024-06-29,9156,6868,0.415,2.94,183.6,0.0272,249
2024-06-30,9488,7785,0.43,2.96,204.6,0.0284,269
2024-07-01,9487,6924,0.395,3.73,163.0,0.0284,269
2024-07-02,9239,7836,0.371,3.54,188.7,0.0275,254
2024-07-03,9366,7523,0.459,3.16,194.3,0.0278,260
2024-07-04,9545,7606,0.432,3.13,212.1,0.0284,271
2024-07-05,9621,7580,0.412,3.45,226.3,0.0287,276
2024-07-06,9026,7837,0.437,2.81,179.4,0.0268,241
2024-07-07,8855,6799,0.383,2.81,178.8,0.0263,232
2024-07-08,8937,6789,0.453,3.14,165.5,0.0265,236
2024-07-09,9088,7020,0.367,2.85,174.0,0.027,245
2024-07-10,9376,7940,0.364,3.16,165.4,0.0279,261
2024-07-11,9544,7904,0.459,3.47,186.3,0.0284,271
2024-07-12,9109,7551,0.43,3.92,205.0,0.0268,244
2024-07-13,8838,7048,0.401,3.36,158.6,0.0259,228
2024-07-14,8559,6819,0.483,3.79,152.8,0.0245,209
2024-07-15,8968,7692,0.448,3.56,193.8,0.0265,237
2024-07-16,8992,7513,0.434,2.99,192.1,0.0265,238
2024-07-17,9133,6765,0.414,3.55,174.6,0.0269,245
2024-07-18,9434,7344,0.421,3.51,163.1,0.0278,262
2024-07-19,9256,7881,0.362,3.66,185.8,0.0272,251
2024-07-20,8774,6612,0.432,3.62,204.5,0.0258,226
2024-07-21,8622,6385,0.417,3.47,231.3,0.0253,218
2024-07-22,8535,6274,0.492,2.94,218.9,0.0251,214
2024-07-23,9089,7828,0.359,3.65,215.6,0.0266,241
2024-07-24,9274,7893,0.419,2.96,158.7,0.0274,254
2024-07-25,8765,7539,0.429,3.19,193.7,0.026,227
2024-07-26,8894,7133,0.396,3.46,187.9,0.0266,236
2024-07-27,9054,7530,0.389,3.42,179.3,0.0272,246
2024-07-28,8584,7045,0.438,3.52,200.7,0.0259,222
2024-07-29,8577,7167,0.398,3.14,153.0,0.0257,220
2024-07-30,8342,6817,0.42,2.89,192.2,0.0237,197
2024-07-31,8292,6593,0.435,3.41,204.3,0.0241,199
2024-08-01,8322,6018,0.409,3.73,176.3,0.0239,198
2024-08-02,8297,6504,0.425,3.37,188.3,0.0226,187
2024-08-03,8252,6229,0.401,3.87,177.8,0.0221,182
2024-08-04,8275,6054,0.446,3.02,155.3,0.0226,187
2024-08-05,8289,6140,0.398,3.1,158.8,0.0223,184
2024-08-06,8269,6606,0.415,3.16,167.9,0.0229,189
2024-08-07,8308,6411,0.379,3.2,151.7,0.0237,196
2024-08-08,8305,6208,0.437,3.17,162.1,0.0229,190
2024-08-09,8350,6897,0.463,3.44,187.3,0.0228,190
2024-08-10,8446,6432,0.407,3.31,146.3,0.0253,213
2024-08-11,8518,6379,0.428,3.26,202.9,0.0254,216
2024-08-12,8391,7281,0.413,3.12,200.0,0.0244,204
2024-08-13,8341,6884,0.396,3.65,193.4,0.0246,205
2024-08-14,8411,6574,0.389,3.21,200.7,0.0232,195
2024-08-15,8382,6079,0.423,3.6,186.1,0.0246,206
2024-08-16,8366,6724,0.432,3.08,186.1,0.025,209
2024-08-17,8698,7272,0.416,3.06,152.2,0.0261,227
2024-08-18,8949,7186,0.43,3.35,170.5,0.027,241
2024-08-19,9015,7309,0.391,3.11,200.8,0.0272,245
2024-08-20,9270,7500,0.408,2.99,174.0,0.028,259
2024-08-21,9250,7049,0.358,3.2,215.9,0.0279,258
2024-08-22,8982,6873,0.379,3.04,186.9,0.0269,241
2024-08-23,8561,7007,0.417,3.45,196.4,0.0256,219
2024-08-24,8339,6715,0.395,2.71,197.4,0.0251,209
2024-08-25,8256,5948,0.47,3.65,194.6,0.0225,185
2024-08-26,8226,7159,0.392,3.69,208.7,0.0246,202
2024-08-27,8164,6831,0.405,3.3,181.4,0.0229,186
2024-08-28,8185,6211,0.416,3.34,205.3,0.023,188
2024-08-29,8161,6097,0.486,3.35,174.4,0.0218,177
2024-08-30,8145,6332,0.411,3.61,183.2,0.02,162
2024-08-31,8139,6194,0.437,3.3,181.1,0.0204,166
2024-09-01,8088,6899,0.382,3.75,156.1,0.0206,166
2024-09-02,8055,6430,0.417,3.29,161.1,0.0208,167
2024-09-03,8073,6008,0.419,3.02,136.0,0.0393,317
2024-09-04,8088,6942,0.441,3.35,166.7,0.0215,173
2024-09-05,8068,6403,0.428,3.06,166.3,0.0222,179
2024-09-06,8121,6384,0.437,3.64,205.3,0.0231,187
2024-09-07,8072,5874,0.414,3.45,152.6,0.0229,184
2024-09-08,8056,6733,0.439,3.38,229.5,0.0228,183
2024-09-09,8043,6883,0.434,2.97,215.5,0.0236,189
2024-09-10,7949,5954,0.395,3.24,149.0,0.0238,189
2024-09-11,8009,6133,0.418,3.56,163.9,0.0241,193
2024-09-12,8016,6603,0.41,3.62,197.5,0.0217,173
2024-09-13,7978,6139,0.374,2.88,189.4,0.0221,176
2024-09-14,8040,6533,0.441,3.45,155.5,0.0228,183
2024-09-15,8053,6925,0.4,3.36,179.3,0.0228,183
2024-09-16,8061,6480,0.439,3.38,211.8,0.0234,188
2024-09-17,8218,7101,0.428,3.57,218.8,0.0256,210
2024-09-18,8226,6339,0.401,3.72,124.9,0.0256,210
2024-09-19,8375,6856,0.369,2.92,155.7,0.0262,219
2024-09-20,8070,6162,0.412,2.92,200.1,0.0252,203
2024-09-21,7981,7020,0.449,3.59,195.7,0.0243,193
2024-09-22,7980,6821,0.427,3.01,167.5,0.0239,190
2024-09-23,8013,6477,0.373,3.3,195.9,0.0229,183
2024-09-24,8016,5971,0.425,3.12,186.6,0.0231,185
2024-09-25,8018,6991,0.453,3.22,176.5,0.0223,178
2024-09-26,8020,6524,0.434,3.49,162.5,0.0224,179
2024-09-27,7990,6096,0.454,2.97,155.2,0.0212,169
2024-09-28,8011,6183,0.448,3.49,173.3,0.0198,158
2024-09-29,8053,6812,0.437,3.26,187.5,0.0196,157
2024-09-30,8069,6656,0.478,2.71,158.5,0.019,153
2024-10-01,8088,6235,0.459,3.07,186.2,0.0189,152
2024-10-02,8051,6981,0.505,3.3,160.8,0.0189,152
2024-10-03,8014,6333,0.429,3.32,215.2,0.0191,153
2024-10-04,7961,6801,0.436,3.23,185.2,0.0208,165
2024-10-05,7994,6901,0.376,3.23,188.6,0.0227,181
2024-10-06,7978,5897,0.44,3.13,169.2,0.0237,189
2024-10-07,8016,6125,0.424,3.52,206.7,0.0234,187
2024-10-08,8035,6316,0.423,3.13,160.9,0.0252,202
2024-10-09,7962,6099,0.433,3.09,199.0,0.0235,187
2024-10-10,7958,5783,0.384,2.75,191.0,0.0216,171
2024-10-11,7981,6153,0.462,3.14,162.7,0.0222,177
2024-10-12,7975,6127,0.379,2.92,183.6,0.0225,179
2024-10-13,7974,5986,0.429,3.26,178.2,0.0226,180
2024-10-14,7967,6605,0.464,3.12,182.6,0.0228,181
2024-10-15,7965,5827,0.403,3.04,154.9,0.0213,169
2024-10-16,7922,6312,0.466,3.2,183.0,0.0205,162
2024-10-17,7918,6031,0.387,3.14,180.6,0.0222,175
2024-10-18,7906,6231,0.437,3.37,170.3,0.0236,186
2024-10-19,7898,6069,0.363,3.21,152.2,0.023,181
2024-10-20,7975,6524,0.399,3.04,180.8,0.0252,200
2024-10-21,7880,6186,0.465,3.51,182.9,0.0241,189
2024-10-22,7872,5978,0.413,2.82,188.9,0.0236,185
2024-10-23,7857,6494,0.454,3.33,181.9,0.024,188
2024-10-24,7865,6705,0.459,3.27,246.2,0.0229,180
2024-10-25,7885,5917,0.443,3.4,162.6,0.0226,178
2024-10-26,7848,6095,0.439,2.92,199.3,0.0226,177
2024-10-27,7862,5668,0.447,3.35,166.4,0.0224,176
2024-10-28,7923,6742,0.465,2.69,189.3,0.0236,186
2024-10-29,7868,6478,0.431,3.74,204.3,0.0244,191
2024-10-30,7836,5720,0.39,3.65,191.3,0.0233,182
2024-10-31,7803,5796,0.432,3.78,173.7,0.0227,177
2024-11-01,7790,6060,0.417,3.12,199.7,0.0232,180
2024-11-02,7838,5956,0.407,2.98,187.5,0.0233,182
2024-11-03,7834,6846,0.443,3.46,207.5,0.0226,177
2024-11-04,7806,6457,0.429,3.52,226.6,0.0233,181
2024-11-05,46935,34755,0.457,3.01,149.5,0.0243,1140
2024-11-06,7798,6405,0.395,3.36,196.9,0.0237,184
2024-11-07,7830,6454,0.422,3.66,198.3,0.0247,193
2024-11-08,7835,5866,0.412,2.57,160.6,0.023,180
2024-11-09,7874,6229,0.456,2.97,197.6,0.0215,169
2024-11-10,7846,6474,0.394,2.98,138.9,0.0224,175
2024-11-11,7938,6848,0.438,3.46,175.1,0.0218,173
2024-11-12,7956,6878,0.386,3.51,209.9,0.0211,167
2024-11-13,7968,6860,0.438,3.61,195.9,0.0212,168
2024-11-14,7957,6960,0.422,3.3,185.6,0.0208,165
2024-11-15,7924,6301,0.452,3.89,146.7,0.0216,171
2024-11-16,7889,6267,0.39,3.04,153.5,0.0204,160
2024-11-17,7877,6382,0.429,3.09,195.5,0.0205,161
2024-11-18,7845,6088,0.411,3.0,164.0,0.0243,190
2024-11-19,7848,6340,0.403,2.71,178.6,0.0244,191
2024-11-20,7816,6707,0.421,3.25,173.8,0.0225,175
2024-11-21,7831,5799,0.467,3.27,177.0,0.0234,183
2024-11-22,7857,5709,0.419,3.4,191.2,0.0241,189
2024-11-23,8037,6920,0.422,3.62,195.4,0.0257,206
2024-11-24,8099,5843,0.471,3.44,166.8,0.0257,208
2024-11-25,7847,6519,0.454,3.18,177.1,0.025,196
2024-11-26,8347,6902,0.375,3.34,181.8,0.0265,221
2024-11-27,8547,6625,0.396,3.22,186.0,0.0271,231
2024-11-28,7915,6848,0.443,3.32,210.1,0.025,197
2024-11-29,8117,6757,0.423,3.31,160.4,0.0258,209
2024-11-30,8005,5790,0.454,3.3,181.3,0.0254,203
2024-12-01,8405,6409,0.416,3.06,201.6,0.0266,223
2024-12-02,8202,6108,0.409,3.82,240.5,0.026,213
2024-12-03,8362,6112,0.381,3.49,188.5,0.0267,223
2024-12-04,8306,6786,0.435,2.68,189.7,0.0268,222
2024-12-05,8364,6572,0.418,3.11,177.1,0.0272,227
2024-12-06,8219,6620,0.339,3.3,172.4,0.027,221
2024-12-07,8006,6548,0.422,3.11,192.6,0.0263,210
2024-12-08,8030,6219,0.448,3.1,175.1,0.0263,211
2024-12-09,8189,6587,0.405,3.31,160.4,0.0268,219
2024-12-10,8284,7276,0.41,3.34,166.3,0.0271,224
2024-12-11,8759,6524,0.427,3.37,153.9,0.0286,250
2024-12-12,8790,7017,0.419,2.82,155.6,0.0286,251
2024-12-13,8883,6933,0.397,2.94,165.8,0.0289,256
2024-12-14,9460,6867,0.388,3.75,196.9,0.0308,291
2024-12-15,9314,7106,0.408,3.43,148.1,0.0303,282
2024-12-16,9290,7762,0.367,3.07,211.4,0.0303,281
2024-12-17,8954,7686,0.446,2.6,171.2,0.0291,260
2024-12-18,8867,7633,0.459,3.11,175.2,0.0288,255
2024-12-19,9293,6882,0.354,3.6,163.0,0.0301,279
2024-12-20,9262,7644,0.404,3.42,180.0,0.0299,276
2024-12-21,9570,7128,0.361,2.87,168.0,0.031,296
2024-12-22,9005,7253,0.412,3.45,154.9,0.0292,262
2024-12-23,8406,6646,0.351,3.33,240.3,0.0273,229
2024-12-24,8430,6731,0.415,3.0,155.2,0.0274,230
2024-12-25,7879,6389,0.454,3.18,188.6,0.0258,203
2024-12-26,8733,6304,0.401,2.61,144.5,0.0285,248
2024-12-27,9027,6758,0.405,3.25,160.0,0.0294,265
2024-12-28,8500,6233,0.401,3.67,157.5,0.0277,235
2024-12-29,8298,7097,0.386,3.34,151.9,0.0272,225
2024-12-30,8048,6358,0.448,2.84,176.4,0.0264,212
2024-12-31,8140,6985,0.42,3.11,205.4,0.0267,217
2025-01-01,8092,5962,0.439,3.57,188.9,0.0265,214
2025-01-02,8378,6036,0.392,3.2,182.7,0.0273,228
2025-01-03,8712,7379,0.415,3.15,154.1,0.0286,249
2025-01-04,8546,6865,0.409,2.89,159.7,0.028,239
2025-01-05,8071,6225,0.42,3.42,164.4,0.0265,213
2025-01-06,8218,5994,0.42,3.46,194.1,0.0269,221
2025-01-07,8091,6025,0.446,2.99,174.5,0.0266,215
2025-01-08,8458,7180,0.398,3.52,188.3,0.0276,233
2025-01-09,8315,6592,0.399,3.18,184.4,0.0272,226
2025-01-10,8587,6836,0.437,3.08,191.2,0.0278,238
2025-01-11,8630,7206,0.406,2.86,207.5,0.0279,240
2025-01-12,8544,7450,0.433,3.39,176.9,0.0274,234
2025-01-13,8291,6731,0.402,3.15,202.2,0.0267,221
2025-01-14,8422,6520,0.393,3.14,170.6,0.0273,229
2025-01-15,9225,6767,0.423,3.04,157.8,0.0297,273
2025-01-16,9385,6851,0.391,3.26,164.9,0.0301,282
2025-01-17,9180,8001,0.433,3.18,173.9,0.0295,270
2025-01-18,9228,7137,0.422,3.16,188.5,0.0298,274
2025-01-19,9103,7681,0.37,3.49,162.8,0.0294,267
2025-01-20,8555,6290,0.39,3.2,217.4,0.0276,236
2025-01-21,8573,6548,0.422,3.04,179.8,0.0277,237
2025-01-22,9007,7693,0.438,3.26,202.1,0.029,261
2025-01-23,8770,6655,0.431,3.16,172.0,0.0283,248
2025-01-24,8260,6110,0.428,3.15,151.6,0.0268,221
2025-01-25,8354,7324,0.436,2.89,167.2,0.0271,226
2025-01-26,8861,7723,0.366,3.4,173.4,0.0288,255
2025-01-27,9118,7668,0.475,3.35,165.7,0.0294,268
2025-01-28,9308,7104,0.38,3.21,149.0,0.0301,280
2025-01-29,9940,8743,0.42,3.67,214.7,0.032,318
2025-01-30,10234,7523,0.356,3.86,198.3,0.033,337
2025-01-31,10250,8557,0.378,3.26,172.1,0.0329,337
2025-02-01,9871,8196,0.349,2.65,168.7,0.0319,314
2025-02-02,9733,7590,0.354,3.16,206.5,0.0314,305
2025-02-03,9499,7257,0.436,2.5,217.1,0.0306,290
2025-02-04,9678,7547,0.478,3.02,209.3,0.031,300
2025-02-05,9153,7377,0.395,2.89,184.5,0.0294,269
2025-02-06,9539,8180,0.385,3.27,202.8,0.0306,291
2025-02-07,9425,7652,0.432,3.52,182.2,0.0302,284
2025-02-08,9169,7265,0.383,3.04,180.4,0.0293,268
2025-02-09,9297,7278,0.391,3.67,190.8,0.0297,276
2025-02-10,8457,7309,0.401,3.29,180.0,0.027,228
2025-02-11,8047,6705,0.419,3.09,183.8,0.026,209
2025-02-12,7775,6621,0.402,3.08,155.9,0.0252,195
2025-02-13,8066,6144,0.404,2.86,147.2,0.026,209
2025-02-14,7912,5964,0.408,3.49,155.8,0.0254,200
2025-02-15,8374,7359,0.427,3.44,167.9,0.0269,225
2025-02-16,8236,7009,0.45,3.08,191.6,0.0262,215
2025-02-17,8433,6224,0.407,3.02,205.6,0.0266,224
2025-02-18,8143,6367,0.429,2.98,187.8,0.0257,209
2025-02-19,8434,7285,0.388,3.68,179.8,0.0269,226
2025-02-20,8236,6724,0.435,3.02,156.6,0.0264,217
2025-02-21,8347,7052,0.408,3.16,187.6,0.0268,223
2025-02-22,8167,7117,0.421,3.06,151.1,0.0261,213
2025-02-23,7826,6009,0.379,2.91,174.3,0.0249,194
2025-02-24,7765,6037,0.418,2.76,173.7,0.0246,191
2025-02-25,8029,6345,0.501,3.05,137.9,0.0258,207
2025-02-26,7825,6153,0.416,3.48,163.4,0.0247,193
2025-02-27,7820,6740,0.464,3.5,177.6,0.0231,180
2025-02-28,7803,6277,0.415,3.4,179.6,0.023,179
2025-03-01,7876,5889,0.434,3.33,198.4,0.024,189
2025-03-02,7883,6210,0.434,2.97,142.5,0.023,181
2025-03-03,7873,6138,0.439,3.31,188.2,0.0226,177
2025-03-04,7890,5752,0.44,4.12,185.7,0.023,181
2025-03-05,7897,6327,0.447,3.41,182.5,0.0229,180
2025-03-06,7889,6035,0.422,3.17,205.6,0.0234,184
2025-03-07,7933,6608,0.424,3.08,179.3,0.0248,196
2025-03-08,7974,6087,0.456,3.07,150.6,0.0249,198
2025-03-09,8005,6473,0.412,3.55,145.6,0.0248,198
2025-03-10,8204,6699,0.459,3.2,144.6,0.0256,210
