customer_id,segment,country,cohort_month,age,is_loyalty_member,lifetime_value_usd,email_opt_in,avg_review_score
C0000034,regular,US,2023-05,58,0,723.27,1,2.8
C0000035,occasional,JP,2023-05,26,0,240.19,0,2.5
C0000036,regular,CA,2023-03,24,0,202.05,0,4.0
C0000037,loyalty,CA,2022-10,58,1,538.89,1,2.9
C0000038,occasional,UK,2024-02,29,0,193.1,1,2.4
C0000039,regular,UK,2022-01,21,0,402.38,1,2.2
C0000040,occasional,UK,2023-11,62,0,103.64,1,4.4
C0000041,regular,US,2024-10,58,0,173.21,1,1.8
C0000042,new,DE,2024-08,70,0,47.99,0,2.8
C0000043,new,UK,2023-02,52,0,80.55,1,2.7
C0000044,regular,UK,2024-07,45,0,206.16,1,2.9
C0000045,new,US,2022-09,56,0,11.63,0,3.7
C0000046,new,DE,2022-09,63,0,78.69,1,4.5
C0000047,regular,UK,2023-01,53,0,694.56,0,1.6
C0000048,regular,DE,2022-01,36,0,325.55,0,3.9
C0000049,occasional,JP,2022-10,68,0,156.39,1,1.6
C0000050,loyalty,FR,2024-07,58,1,2655.58,1,1.0
C0000051,regular,US,2024-04,68,0,348.72,1,1.0
C0000052,loyalty,US,2022-12,49,1,2579.31,1,4.6
C0000053,new,FR,2022-12,43,0,79.85,1,4.4
C0000054,occasional,DE,2023-01,66,0,213.56,1,2.3
C0000055,new,AU,2022-05,52,0,83.36,1,3.6
C0000056,new,US,2022-06,62,0,18.05,1,1.6
C0000057,occasional,US,2024-12,68,0,164.92,1,4.0
C0000058,occasional,US,2024-01,34,0,106.92,0,5.0
C0000059,loyalty,FR,2024-01,29,1,1005.21,1,4.8
C0000060,loyalty,JP,2022-11,26,1,1265.11,1,3.5
C0000061,occasional,CA,2024-07,52,0,52.21,1,2.8
C0000062,occasional,DE,2022-07,64,0,42.36,1,2.5
C0000063,occasional,AE,2024-11,73,0,37.35,0,2.1
C0000064,new,US,2023-07,19,0,85.33,1,1.3
C0000065,occasional,UK,2022-12,18,0,139.32,1,1.8
C0000066,occasional,CA,2024-04,56,0,69.79,1,3.2
C0000067,occasional,US,2023-04,33,0,178.4,1,2.1
C0000068,regular,JP,2022-10,45,0,276.85,0,3.9
C0000069,loyalty,US,2024-01,22,1,878.0,1,4.1
C0000070,regular,US,2024-02,22,0,166.59,1,2.9
C0000071,regular,UK,2023-10,48,0,625.48,1,4.6
C0000072,regular,CA,2023-05,57,0,454.32,1,4.3
C0000073,new,US,2022-12,68,0,35.31,1,1.3
C0000074,regular,AE,2023-03,45,0,264.93,0,4.2
C0000075,loyalty,US,2024-08,54,1,1724.32,1,4.3
C0000076,regular,FR,2023-01,67,0,565.17,1,2.4
C0000077,regular,UK,2024-11,42,0,185.49,1,3.0
C0000078,occasional,US,2022-06,29,0,124.45,1,1.3
C0000079,occasional,FR,2022-06,65,0,113.92,0,2.1
C0000080,new,FR,2022-12,18,0,87.25,1,4.8
C0000081,occasional,DE,2022-01,33,0,186.3,1,4.7
C0000082,regular,US,2024-08,25,0,519.9,1,3.7
C0000083,new,US,2023-01,54,0,50.81,1,1.1
C0000084,regular,CA,2022-04,33,0,326.31,1,1.1
C0000085,loyalty,UK,2023-11,37,1,1261.02,1,3.4
C0000086,loyalty,AE,2024-11,55,1,635.84,1,1.9
C0000087,new,FR,2024-12,34,0,75.32,1,3.6
C0000088,occasional,AU,2022-04,38,0,139.23,1,
C0000089,regular,US,2024-05,46,0,222.05,1,4.9
C0000090,occasional,DE,2023-02,24,0,75.01,1,1.5
C0000091,regular,UK,2024-07,71,0,262.19,0,2.3
C0000092,occasional,US,2023-10,73,0,100.79,1,1.4
C0000093,regular,US,2024-03,58,0,760.66,0,2.5
C0000094,regular,UK,2024-07,24,0,238.89,0,2.3
C0000095,regular,AU,2024-09,44,0,721.88,1,3.6
C0000096,occasional,UK,2022-06,38,0,46.72,1,4.4
C0000097,regular,US,2024-03,27,0,633.38,1,4.2
C0000098,loyalty,JP,2022-06,67,1,1516.99,1,3.9
C0000099,loyalty,US,2024-10,41,1,808.65,1,5.0
C0000100,churned,US,2023-11,55,0,92.92,1,1.2
C0000101,churned,JP,2022-07,57,0,51.58,1,4.2
C0000102,occasional,AE,2022-11,36,0,153.49,1,1.5
C0000103,regular,CA,2024-09,37,0,180.95,1,3.4
C0000104,churned,AE,2023-12,73,0,19.45,1,4.2
C0000105,new,UK,2022-09,65,0,39.12,1,3.6
C0000106,new,US,2024-06,46,0,17.66,1,1.5
C0000107,regular,US,2024-02,48,0,480.47,1,1.7
C0000108,regular,CA,2022-03,18,0,705.21,0,4.5
C0000109,loyalty,AU,2022-11,29,1,2282.6,1,4.6
C0000110,churned,US,2024-07,18,0,87.26,1,4.0
C0000111,occasional,US,2023-01,63,0,80.69,1,2.2
C0000112,regular,US,2022-02,71,0,565.94,1,2.0
C0000113,regular,US,2023-10,27,0,438.23,1,1.3
C0000114,occasional,AU,2024-09,34,0,240.89,0,2.9
C0000115,regular,US,2023-09,38,0,351.62,1,2.6
C0000116,new,DE,2024-12,64,0,29.61,1,2.0
C0000117,new,CA,2022-05,41,0,16.3,1,3.6
C0000118,new,UK,2024-01,20,0,89.94,1,1.8
C0000119,regular,DE,2023-12,51,0,475.34,1,1.4
C0000120,occasional,US,2024-12,26,0,96.89,1,2.7
C0000121,occasional,US,2023-07,54,0,196.25,1,3.9
C0000122,occasional,US,2024-06,66,0,62.33,1,1.7
C0000123,loyalty,US,2022-06,21,1,2972.2,1,3.4
C0000124,regular,US,2022-02,74,0,379.03,0,1.3
C0000125,loyalty,US,2024-02,55,1,2830.45,0,2.1
C0000126,occasional,US,2022-01,20,0,184.37,1,4.3
C0000127,regular,US,2024-08,30,0,525.12,0,1.6
C0000128,loyalty,CA,2022-01,27,1,2655.17,1,3.7
C0000129,loyalty,US,2024-01,68,1,1698.66,1,1.1
C0000130,occasional,US,2023-05,59,0,237.62,1,3.2
C0000131,regular,AU,2023-12,39,0,298.16,1,2.0
C0000132,churned,US,2023-11,48,0,41.88,1,1.9
C0000133,occasional,DE,2023-04,37,0,123.92,0,3.0
C0000134,regular,AU,2023-06,41,0,692.17,1,5.0
C0000135,occasional,UK,2023-07,54,0,193.36,1,1.9
C0000136,loyalty,US,2024-01,29,1,1398.46,1,3.2
C0000137,churned,FR,2024-02,61,0,90.54,1,2.5
C0000138,occasional,FR,2023-05,71,0,120.02,1,3.8
C0000139,new,US,2023-01,73,0,19.34,0,4.7
C0000140,loyalty,US,2022-02,27,1,2194.77,1,2.7
C0000141,occasional,US,2024-05,41,0,106.15,1,4.6
C0000142,occasional,AU,2022-09,33,0,182.66,1,4.7
C0000143,churned,US,2023-04,54,0,36.79,1,4.5
C0000144,occasional,US,2024-12,36,0,217.64,0,2.0
C0000145,occasional,DE,2024-05,40,0,202.92,1,3.8
C0000146,regular,CA,2023-01,25,0,334.59,1,2.4
C0000147,regular,US,2023-06,49,0,493.11,1,1.8
C0000148,occasional,US,2022-12,48,0,231.71,0,2.8
C0000149,regular,DE,2023-11,49,0,411.32,1,2.9
C0000150,loyalty,FR,2022-06,37,1,1879.14,1,3.6
C0000151,new,DE,2024-11,61,0,70.77,1,2.3
C0000152,new,CA,2024-12,52,0,25.84,0,1.3
C0000153,loyalty,US,2022-11,28,1,585.4,1,2.2
C0000154,occasional,US,2022-09,38,0,189.63,0,4.3
C0000155,loyalty,US,2023-08,55,1,812.16,1,4.5
C0000156,occasional,US,2023-12,24,0,182.68,1,1.3
C0000157,regular,DE,2023-12,38,0,373.85,1,1.8
C0000158,occasional,AE,2022-02,67,0,234.78,1,1.2
C0000159,new,US,2024-02,43,0,21.34,0,3.0
C0000160,new,FR,2022-03,47,0,38.17,1,1.7
C0000161,loyalty,US,2023-01,56,1,1390.04,0,4.1
C0000162,churned,UK,2024-02,36,0,39.6,0,4.3
C0000163,regular,US,2024-08,65,0,446.67,1,3.0
C0000164,loyalty,UK,2023-11,18,1,1664.35,0,2.9
C0000165,occasional,US,2022-06,44,0,113.39,1,3.1
C0000166,regular,CA,2024-01,52,0,496.8,1,2.0
C0000167,new,CA,2022-02,31,0,29.45,0,3.8
C0000168,new,AU,2022-09,62,0,48.87,1,3.7
C0000169,regular,CA,2022-05,22,0,777.43,0,1.6
C0000170,churned,US,2024-12,55,0,83.32,1,2.2
C0000171,regular,DE,2023-02,54,0,352.71,1,2.9
C0000172,occasional,US,2023-09,62,0,131.27,0,4.6
C0000173,regular,CA,2024-05,29,0,411.81,1,1.7
C0000174,churned,US,2024-11,26,0,80.76,1,1.3
C0000175,regular,US,2024-12,51,0,382.71,1,1.5
C0000176,loyalty,FR,2022-06,73,1,1231.39,1,1.9
C0000177,regular,US,2023-03,62,0,671.93,1,3.4
C0000178,churned,FR,2023-03,30,0,49.58,1,1.1
C0000179,new,US,2024-05,41,0,66.9,1,1.1
C0000180,new,UK,2023-01,33,0,76.31,1,4.6
C0000181,new,AU,2022-09,62,0,11.23,0,
C0000182,new,UK,2024-04,47,0,65.46,1,2.3
C0000183,occasional,US,2023-06,42,0,51.58,1,2.4
C0000184,regular,US,2024-03,18,0,386.54,1,4.2
C0000185,new,US,2023-02,54,0,49.93,1,4.6
C0000186,occasional,US,2023-06,43,0,65.97,1,4.1
C0000187,regular,UK,2022-01,20,0,729.53,1,3.0
C0000188,loyalty,US,2022-01,29,1,1431.38,0,
C0000189,new,US,2022-01,59,0,40.34,0,2.8
C0000190,regular,US,2022-07,60,0,599.78,0,4.9
C0000191,churned,CA,2023-01,46,0,49.06,0,4.8
C0000192,regular,US,2022-02,61,0,574.69,1,4.0
C0000193,loyalty,US,2022-06,60,1,2725.1,0,4.5
C0000194,new,DE,2024-07,53,0,54.85,1,3.2
C0000195,regular,US,2024-07,29,0,155.91,1,3.3
C0000196,regular,CA,2022-11,42,0,321.11,1,4.0
C0000197,occasional,US,2024-11,64,0,166.18,0,2.4
C0000198,new,FR,2022-05,35,0,50.56,1,3.6
C0000199,regular,UK,2022-02,55,0,244.79,0,2.7
C0000200,regular,AE,2023-01,65,0,505.79,1,4.7
C0000201,new,UK,2022-10,48,0,84.9,1,2.4
C0000202,churned,FR,2022-03,46,0,61.67,1,3.5
C0000203,occasional,DE,2024-07,28,0,105.83,1,1.1
C0000204,loyalty,DE,2024-12,46,1,883.34,1,3.3
C0000205,loyalty,FR,2022-10,20,1,1388.51,1,4.1
C0000206,regular,UK,2022-12,24,0,355.99,0,4.3
C0000207,loyalty,DE,2024-02,48,1,1930.7,1,4.5
C0000208,occasional,US,2024-10,30,0,181.1,1,3.0
C0000209,loyalty,US,2022-11,37,1,2254.03,1,3.3
C0000210,occasional,US,2024-01,38,0,234.45,1,2.3
C0000211,occasional,US,2022-01,44,0,90.63,1,4.8
C0000212,occasional,DE,2023-09,57,0,249.22,0,3.5
C0000213,regular,US,2024-12,43,0,280.61,1,2.0
C0000214,new,UK,2023-06,66,0,14.66,1,4.6
C0000215,new,FR,2023-12,45,0,16.28,0,3.5
C0000216,new,UK,2024-01,74,0,52.81,1,3.7
C0000217,loyalty,FR,2023-11,74,1,1741.93,0,1.5
C0000218,loyalty,US,2024-01,42,1,546.76,1,1.1
C0000219,churned,US,2024-08,61,0,87.7,1,3.3
C0000220,regular,FR,2022-01,43,0,326.11,1,1.7
C0000221,regular,AE,2024-08,67,0,503.32,1,3.8
C0000222,occasional,FR,2024-09,61,0,146.85,1,3.4
C0000223,occasional,UK,2024-09,37,0,186.66,1,2.3
C0000224,churned,FR,2023-02,36,0,86.39,1,2.7
C0000225,regular,FR,2023-09,68,0,529.92,1,4.3
C0000226,churned,FR,2023-01,48,0,23.14,1,3.7
C0000227,loyalty,FR,2024-07,57,1,1575.69,1,2.2
C0000228,occasional,US,2023-03,56,0,176.54,1,3.0
C0000229,occasional,US,2022-12,27,0,165.29,1,2.8
C0000230,loyalty,US,2024-01,31,1,1634.1,1,1.2
C0000231,loyalty,UK,2022-02,69,1,2777.51,0,2.4
C0000232,regular,FR,2023-02,33,0,680.34,1,1.5
C0000233,churned,US,2022-08,67,0,40.44,1,1.7
C0000234,occasional,US,2023-02,38,0,189.31,1,2.3
C0000235,churned,AE,2023-05,66,0,74.96,1,5.0
C0000236,new,US,2022-03,50,0,64.61,1,3.4
C0000237,occasional,AU,2024-08,23,0,217.68,1,2.2
C0000238,new,US,2023-03,33,0,10.95,1,1.7
C0000239,loyalty,US,2023-01,72,1,1901.78,1,2.5
C0000240,loyalty,DE,2022-06,29,1,1331.1,1,
C0000241,new,US,2024-12,30,0,77.65,1,4.5
C0000242,new,US,2024-07,26,0,71.28,1,3.1
C0000243,regular,US,2023-06,52,0,171.49,1,4.7
C0000244,occasional,US,2023-01,64,0,65.29,1,2.3
C0000245,occasional,US,2023-05,71,0,179.04,1,1.5
C0000246,new,AE,2024-11,68,0,58.45,0,4.4
C0000247,occasional,US,2022-08,68,0,76.47,1,3.6
C0000248,regular,US,2024-01,69,0,687.48,1,3.8
C0000249,regular,US,2024-09,50,0,193.69,1,1.6
C0000250,regular,CA,2024-04,64,0,196.9,1,2.3
C0000251,occasional,AE,2024-08,54,0,246.49,1,1.2
C0000252,new,JP,2024-11,25,0,56.34,1,2.1
C0000253,occasional,CA,2022-03,19,0,93.91,1,3.7
C0000254,regular,US,2022-09,23,0,715.09,1,4.2
C0000255,regular,FR,2022-06,37,0,284.88,1,4.7
C0000256,new,US,2023-09,46,0,13.98,1,2.4
C0000257,new,CA,2023-03,54,0,96.03,1,2.0
C0000258,loyalty,DE,2022-02,47,1,730.36,0,4.4
C0000259,loyalty,US,2023-09,38,1,1877.22,1,2.4
C0000260,occasional,CA,2022-04,59,0,206.81,1,2.6
C0000261,loyalty,AU,2023-03,67,1,1661.45,1,1.9
C0000262,new,JP,2023-02,30,0,30.93,1,1.2
C0000263,regular,US,2024-09,32,0,660.99,1,1.8
C0000264,loyalty,US,2024-01,71,1,1076.27,1,1.7
C0000265,churned,US,2023-11,73,0,56.5,1,4.0
C0000266,regular,DE,2024-06,35,0,307.56,1,3.6
C0000267,regular,DE,2022-07,47,0,701.85,1,1.3
C0000268,regular,US,2022-10,50,0,259.88,1,1.1
C0000269,loyalty,AE,2024-04,54,1,2291.12,1,2.9
C0000270,loyalty,US,2024-03,67,1,2030.01,0,3.3
C0000271,loyalty,FR,2022-01,24,1,784.72,1,3.7
C0000272,regular,AU,2022-09,47,0,556.91,1,2.2
C0000273,loyalty,UK,2022-09,30,1,1245.27,0,3.2
C0000274,occasional,US,2022-01,60,0,188.5,1,3.4
C0000275,occasional,US,2023-12,52,0,170.92,1,1.1
C0000276,regular,US,2022-02,60,0,741.13,1,5.0
C0000277,regular,FR,2024-07,69,0,795.96,1,4.8
C0000278,occasional,DE,2023-10,63,0,57.17,1,2.5
C0000279,new,US,2024-04,66,0,84.89,1,3.4
C0000280,new,JP,2023-06,64,0,60.61,1,2.5
C0000281,loyalty,FR,2024-11,53,1,2243.74,1,4.4
C0000282,regular,AU,2022-10,40,0,639.47,1,1.4
C0000283,regular,DE,2023-09,37,0,195.48,1,1.7
C0000284,regular,CA,2022-01,38,0,359.68,1,3.9
C0000285,occasional,US,2024-06,52,0,63.86,1,2.0
C0000286,regular,US,2023-09,63,0,621.93,1,4.9
C0000287,loyalty,CA,2022-07,38,1,796.44,0,4.3
C0000288,regular,CA,2024-06,51,0,604.48,1,4.3
C0000289,occasional,DE,2024-12,41,0,81.17,1,1.7
C0000290,loyalty,US,2022-03,52,1,540.12,1,1.8
C0000291,new,US,2024-07,64,0,52.35,1,
C0000292,loyalty,FR,2024-03,41,1,1773.01,0,2.7
C0000293,churned,AU,2023-01,40,0,86.5,1,4.0
C0000294,loyalty,US,2023-11,29,1,1595.99,1,3.5
C0000295,new,US,2024-05,46,0,77.02,0,4.5
C0000296,churned,UK,2023-06,44,0,13.89,1,4.2
C0000297,churned,FR,2023-12,27,0,78.09,0,3.7
C0000298,new,DE,2022-02,73,0,75.3,1,3.5
C0000299,new,UK,2024-10,66,0,62.46,0,4.2
C0000300,occasional,JP,2024-10,34,0,65.6,1,3.0
C0000301,new,US,2022-08,71,0,36.66,1,3.1
C0000302,loyalty,UK,2023-06,33,1,2291.52,1,4.8
C0000303,occasional,UK,2022-09,41,0,115.22,1,
C0000304,occasional,UK,2023-03,25,0,121.52,1,
C0000305,new,AU,2022-10,52,0,26.35,1,3.7
C0000306,occasional,UK,2024-08,45,0,123.31,1,2.5
C0000307,regular,DE,2024-02,33,0,660.66,1,4.7
C0000308,occasional,US,2024-07,34,0,65.13,1,
C0000309,regular,FR,2024-05,71,0,394.63,1,2.3
C0000310,loyalty,US,2024-03,57,1,805.2,1,1.9
C0000311,occasional,US,2022-06,26,0,248.7,1,3.9
C0000312,regular,DE,2024-06,25,0,223.66,0,
C0000313,regular,UK,2024-05,21,0,661.68,0,3.3
C0000314,regular,JP,2022-05,32,0,599.13,1,3.8
C0000315,regular,FR,2022-04,60,0,729.32,1,4.3
C0000316,regular,AU,2024-04,21,0,567.01,1,2.0
C0000317,regular,US,2023-03,32,0,198.07,1,4.1
C0000318,occasional,DE,2022-12,20,0,235.74,1,3.1
C0000319,regular,JP,2023-03,55,0,684.63,1,4.6
C0000320,churned,DE,2024-08,64,0,31.04,0,1.2
C0000321,churned,AE,2023-02,48,0,54.44,0,1.9
C0000322,occasional,UK,2023-02,69,0,169.81,0,1.7
C0000323,regular,US,2023-03,57,0,664.36,1,1.2
C0000324,occasional,UK,2022-02,61,0,52.02,1,3.7
C0000325,new,US,2022-02,35,0,16.58,1,4.2
C0000326,occasional,US,2023-03,67,0,179.21,1,3.1
C0000327,new,US,2022-01,53,0,33.58,1,4.3
C0000328,occasional,US,2024-04,22,0,178.01,0,3.6
C0000329,occasional,US,2023-04,22,0,96.35,1,3.6
C0000330,regular,CA,2023-07,69,0,376.78,1,1.9
C0000331,new,US,2023-01,33,0,78.56,1,4.9
C0000332,regular,AU,2024-04,44,0,374.9,1,3.0
C0000333,occasional,UK,2023-04,61,0,118.67,1,4.9
C0000334,new,US,2022-02,61,0,42.83,1,2.6
C0000335,loyalty,US,2023-06,19,1,1685.21,0,2.8
C0000336,occasional,CA,2022-07,53,0,219.53,1,3.8
C0000337,loyalty,UK,2023-10,70,1,2640.32,0,4.2
C0000338,new,CA,2023-09,37,0,43.3,1,1.9
C0000339,loyalty,US,2023-06,48,1,2432.95,0,5.0
C0000340,churned,FR,2023-02,33,0,88.22,1,1.2
C0000341,loyalty,AE,2023-10,59,1,2752.87,1,1.2
C0000342,churned,JP,2024-01,24,0,28.53,0,1.5
C0000343,new,US,2024-08,47,0,82.84,1,3.3
C0000344,occasional,CA,2024-11,41,0,118.69,1,3.5
C0000345,new,US,2022-03,54,0,67.57,1,4.6
C0000346,new,AU,2023-12,46,0,45.49,1,2.8
C0000347,churned,UK,2022-04,73,0,29.8,0,4.1
C0000348,regular,UK,2023-04,74,0,214.06,1,3.5
C0000349,occasional,US,2024-03,34,0,75.45,0,2.7
C0000350,loyalty,AU,2023-08,20,1,1351.85,1,3.3
C0000351,occasional,US,2024-06,46,0,160.23,1,1.9
C0000352,regular,DE,2024-09,51,0,336.98,0,4.1
C0000353,occasional,UK,2024-12,60,0,86.66,1,3.2
C0000354,occasional,FR,2024-01,47,0,31.61,1,4.3
C0000355,occasional,DE,2024-01,51,0,243.57,1,2.5
C0000356,occasional,FR,2024-05,19,0,134.47,1,1.8
C0000357,new,DE,2022-09,61,0,28.51,1,2.9
C0000358,new,UK,2022-11,36,0,27.65,1,3.0
C0000359,occasional,FR,2023-01,39,0,166.45,1,2.3
C0000360,occasional,FR,2024-03,42,0,197.77,1,3.4
C0000361,churned,AU,2023-01,22,0,81.97,1,2.2
C0000362,loyalty,UK,2022-06,46,1,534.55,1,3.4
C0000363,loyalty,US,2024-05,39,1,1562.37,1,3.1
C0000364,loyalty,FR,2024-03,31,1,2206.18,0,1.1
C0000365,occasional,US,2023-10,32,0,165.26,0,3.7
C0000366,regular,US,2024-08,19,0,241.53,0,2.6
C0000367,new,AE,2024-05,68,0,45.46,0,4.2
C0000368,occasional,DE,2024-09,34,0,142.24,0,3.9
C0000369,regular,DE,2022-10,67,0,541.35,0,4.2
C0000370,new,JP,2022-05,65,0,37.25,1,2.1
C0000371,new,US,2023-01,44,0,65.62,1,4.0
C0000372,regular,US,2024-06,64,0,216.26,1,3.6
C0000373,regular,US,2024-10,30,0,741.84,1,4.7
C0000374,regular,US,2022-04,28,0,689.1,1,3.6
C0000375,regular,FR,2024-07,69,0,570.71,0,1.4
C0000376,loyalty,AE,2023-06,54,1,1274.9,1,3.2
C0000377,churned,UK,2024-06,57,0,60.42,1,3.6
C0000378,regular,US,2024-01,70,0,553.44,1,4.7
C0000379,regular,UK,2022-03,18,0,379.48,1,2.1
C0000380,new,US,2023-06,27,0,52.93,1,2.4
C0000381,occasional,FR,2022-04,72,0,96.67,1,4.3
C0000382,churned,UK,2023-01,25,0,46.0,1,3.4
C0000383,new,US,2024-04,43,0,10.33,1,2.8
C0000384,occasional,AE,2024-01,19,0,222.39,1,3.9
C0000385,regular,FR,2024-02,36,0,253.53,1,1.1
C0000386,churned,US,2023-12,27,0,46.59,0,2.5
C0000387,new,UK,2022-01,32,0,78.31,0,2.7
C0000388,churned,UK,2023-09,64,0,41.27,1,1.3
C0000389,loyalty,US,2023-06,33,1,1659.19,1,4.9
C0000390,new,US,2023-08,64,0,75.31,1,4.9
C0000391,occasional,FR,2022-08,69,0,84.54,1,3.4
C0000392,loyalty,CA,2024-02,48,1,2130.91,1,2.3
C0000393,occasional,UK,2023-10,48,0,249.61,1,3.6
C0000394,occasional,UK,2023-03,37,0,67.08,1,4.7
C0000395,loyalty,UK,2022-03,56,1,1067.61,1,4.5
C0000396,occasional,DE,2022-03,63,0,116.03,1,2.3
C0000397,new,US,2023-01,67,0,77.52,1,3.8
C0000398,regular,US,2023-08,29,0,476.59,1,1.6
C0000399,occasional,CA,2024-12,57,0,185.61,1,3.7
C0000400,regular,AE,2024-03,25,0,613.65,1,1.9
C0000401,regular,CA,2023-06,45,0,157.91,0,4.2
C0000402,churned,US,2022-11,23,0,45.64,1,3.8
C0000403,new,DE,2022-07,49,0,28.58,0,1.0
C0000404,loyalty,UK,2022-06,66,1,2284.91,1,3.2
C0000405,churned,US,2022-03,64,0,75.42,1,2.8
C0000406,new,US,2024-09,58,0,13.38,0,4.8
C0000407,regular,AE,2022-01,50,0,470.64,1,3.2
C0000408,new,FR,2024-08,53,0,92.16,1,1.4
C0000409,loyalty,UK,2023-10,23,1,2252.13,0,4.2
C0000410,churned,US,2023-11,59,0,53.64,0,4.5
C0000411,occasional,DE,2024-11,56,0,231.18,0,3.2
C0000412,occasional,US,2024-05,26,0,46.55,1,4.5
C0000413,loyalty,US,2022-06,54,1,641.89,1,2.2
C0000414,new,DE,2024-11,39,0,27.74,1,2.2
C0000415,loyalty,US,2022-07,47,1,2389.51,1,4.5
C0000416,regular,JP,2023-09,64,0,471.5,1,2.7
C0000417,loyalty,DE,2023-12,36,1,1862.16,0,5.0
C0000418,new,US,2022-09,70,0,93.41,1,4.7
C0000419,regular,US,2023-11,41,0,715.17,1,3.1
C0000420,churned,FR,2023-11,47,0,40.34,1,4.1
C0000421,occasional,US,2024-12,19,0,51.51,1,4.2
C0000422,loyalty,US,2024-09,24,1,2617.48,0,2.4
C0000423,loyalty,DE,2023-03,34,1,2408.48,1,2.8
C0000424,loyalty,US,2024-01,73,1,900.16,0,4.6
C0000425,occasional,UK,2024-06,32,0,155.18,1,3.0
C0000426,new,DE,2022-01,40,0,47.82,1,2.2
C0000427,regular,US,2024-01,66,0,789.6,1,1.5
C0000428,new,AE,2024-10,36,0,88.07,1,2.7
C0000429,loyalty,DE,2022-05,64,1,2517.26,1,2.8
C0000430,new,UK,2024-04,24,0,62.04,0,3.0
C0000431,churned,US,2022-03,25,0,94.6,0,4.0
C0000432,new,UK,2023-03,18,0,33.49,1,4.9
C0000433,occasional,US,2024-06,25,0,87.71,1,2.6
C0000434,new,DE,2024-12,52,0,68.97,1,4.2
C0000435,loyalty,US,2024-03,23,1,1098.1,0,3.5
C0000436,regular,JP,2024-02,52,0,790.64,0,4.4
C0000437,loyalty,US,2022-10,52,1,2936.9,1,2.7
C0000438,occasional,CA,2024-06,31,0,132.57,1,2.9
C0000439,new,CA,2023-12,20,0,60.38,1,2.2
C0000440,occasional,DE,2024-10,27,0,160.14,1,3.8
C0000441,new,US,2023-10,26,0,33.56,1,2.1
C0000442,regular,US,2022-02,48,0,364.26,0,2.6
C0000443,new,JP,2023-07,71,0,62.65,1,3.1
C0000444,regular,UK,2024-04,42,0,196.24,1,4.3
C0000445,regular,UK,2024-05,54,0,709.25,0,3.6
C0000446,new,US,2023-02,35,0,49.81,1,3.1
C0000447,churned,AU,2022-07,23,0,26.63,1,1.3
C0000448,occasional,US,2024-08,30,0,73.16,0,1.3
C0000449,loyalty,US,2024-06,45,1,1425.67,0,2.4
C0000450,occasional,US,2024-08,66,0,181.85,1,1.1
C0000451,loyalty,DE,2024-01,32,1,1059.13,1,1.9
C0000452,new,CA,2024-06,74,0,58.39,1,4.8
C0000453,new,AE,2023-03,54,0,61.87,1,1.9
C0000454,regular,US,2024-05,38,0,315.37,1,4.2
C0000455,loyalty,US,2023-06,53,1,2911.0,1,3.6
C0000456,regular,AE,2024-05,57,0,179.61,1,1.5
C0000457,churned,UK,2022-06,57,0,20.17,1,1.8
C0000458,occasional,US,2022-11,67,0,90.22,1,1.1
C0000459,new,US,2022-08,55,0,29.78,1,1.1
C0000460,occasional,UK,2023-03,19,0,226.24,1,4.5
C0000461,occasional,JP,2024-06,39,0,120.77,0,4.9
C0000462,loyalty,UK,2022-05,69,1,2566.58,1,4.7
