product_id,category,brand,base_price_usd,cost_usd,gross_margin,is_premium
P000114,Apparel,Brand_T,38.97,16.12,0.586,0
P000115,Home,Brand_E,490.3,254.86,0.48,1
P000116,Toys,Brand_Q,116.42,46.76,0.598,0
P000117,Home,Brand_D,537.68,340.51,0.367,1
P000118,Sports,Brand_M,83.6,36.93,0.558,0
P000119,Home,Brand_C,181.82,94.02,0.483,0
P000120,Electronics,Brand_K,907.94,536.05,0.41,1
P000121,Home,Brand_K,527.12,302.52,0.426,1
P000122,Apparel,Brand_A,274.64,98.87,0.64,0
P000123,Apparel,Brand_D,252.54,119.45,0.527,0
P000124,Apparel,Brand_I,198.25,116.16,0.414,0
P000125,Electronics,Brand_N,1446.04,907.71,0.372,1
P000126,Sports,Brand_F,79.62,44.56,0.44,0
P000127,Food,Brand_M,54.42,25.36,0.534,0
P000128,Food,Brand_F,58.3,30.38,0.479,0
P000129,Apparel,Brand_C,24.73,14.3,0.422,0
P000130,Apparel,Brand_H,239.41,115.37,0.518,0
P000131,Apparel,Brand_E,177.71,109.87,0.382,0
P000132,Electronics,Brand_S,452.78,200.79,0.557,1
P000133,Sports,Brand_F,127.8,80.92,0.367,0
P000134,Electronics,Brand_I,303.96,170.47,0.439,1
P000135,Apparel,Brand_P,35.06,21.59,0.384,0
P000136,Home,Brand_F,645.55,412.2,0.361,1
P000137,Beauty,Brand_J,65.75,23.48,0.643,0
P000138,Books,Brand_M,151.62,90.05,0.406,0
P000139,Food,Brand_Q,156.09,72.95,0.533,0
P000140,Apparel,Brand_P,124.97,50.75,0.594,0
P000141,Food,Brand_Q,113.05,56.2,0.503,0
P000142,Apparel,Brand_C,113.24,61.95,0.453,0
P000143,Beauty,Brand_O,170.34,67.14,0.606,0
P000144,Apparel,Brand_K,140.66,89.53,0.363,0
P000145,Home,Brand_K,483.95,298.27,0.384,1
P000146,Sports,Brand_P,127.25,81.75,0.358,0
P000147,Food,Brand_I,185.63,80.95,0.564,0
P000148,Toys,Brand_E,5.66,2.79,0.507,0
P000149,Books,Brand_S,128.06,78.03,0.391,0
P000150,Food,Brand_L,19.28,10.15,0.473,0
P000151,Apparel,Brand_I,151.42,91.13,0.398,0
P000152,Toys,Brand_A,74.98,26.25,0.65,0
P000153,Sports,Brand_P,55.63,28.16,0.494,0
P000154,Apparel,Brand_G,252.59,157.16,0.378,0
P000155,Apparel,Brand_Q,114.64,66.44,0.42,0
P000156,Beauty,Brand_J,194.04,73.19,0.623,0
P000157,Home,Brand_Q,413.15,243.72,0.41,1
P000158,Toys,Brand_K,188.38,82.85,0.56,0
P000159,Books,Brand_K,80.82,43.71,0.459,0
P000160,Toys,Brand_N,64.68,29.76,0.54,0
P000161,Home,Brand_P,790.72,483.24,0.389,1
P000162,Toys,Brand_Q,138.9,84.17,0.394,0
P000163,Sports,Brand_T,190.64,119.88,0.371,0
P000164,Apparel,Brand_O,14.46,7.41,0.488,0
P000165,Electronics,Brand_B,1003.91,519.59,0.482,1
P000166,Electronics,Brand_A,209.43,81.15,0.613,0
P000167,Electronics,Brand_E,607.85,329.8,0.457,1
P000168,Food,Brand_F,193.71,123.94,0.36,0
P000169,Electronics,Brand_L,183.04,111.14,0.393,0
P000170,Toys,Brand_R,150.26,69.72,0.536,0
P000171,Apparel,Brand_H,53.77,22.85,0.575,0
P000172,Books,Brand_P,78.4,35.66,0.545,0
P000173,Home,Brand_H,449.01,268.37,0.402,1
P000174,Electronics,Brand_S,381.64,196.6,0.485,1
P000175,Apparel,Brand_L,249.53,105.34,0.578,0
P000176,Apparel,Brand_H,273.57,145.03,0.47,0
P000177,Electronics,Brand_R,1155.98,520.48,0.55,1
P000178,Food,Brand_Q,133.18,70.77,0.469,0
P000179,Electronics,Brand_F,63.51,28.98,0.544,0
P000180,Home,Brand_L,300.8,173.35,0.424,1
P000181,Food,Brand_L,105.07,52.5,0.5,0
P000182,Sports,Brand_K,162.07,82.98,0.488,0
P000183,Beauty,Brand_K,22.18,8.02,0.638,0
P000184,Electronics,Brand_T,55.59,35.15,0.368,0
P000185,Food,Brand_M,40.79,14.92,0.634,0
P000186,Sports,Brand_J,160.18,62.2,0.612,0
P000187,Electronics,Brand_R,406.91,154.52,0.62,1
P000188,Food,Brand_L,84.89,34.9,0.589,0
P000189,Sports,Brand_S,87.54,41.94,0.521,0
P000190,Electronics,Brand_O,1190.34,433.38,0.636,1
P000191,Food,Brand_F,72.44,32.37,0.553,0
P000192,Books,Brand_N,35.71,20.63,0.422,0
P000193,Sports,Brand_O,70.44,39.09,0.445,0
P000194,Food,Brand_E,95.16,34.95,0.633,0
P000195,Toys,Brand_K,48.51,28.83,0.406,0
P000196,Books,Brand_F,6.46,3.01,0.535,0
P000197,Apparel,Brand_M,80.36,47.91,0.404,0
P000198,Home,Brand_A,774.37,366.04,0.527,1
P000199,Apparel,Brand_C,285.72,179.02,0.373,1
P000200,Beauty,Brand_I,36.23,22.11,0.39,0
P000201,Sports,Brand_N,30.45,13.5,0.557,0
P000202,Home,Brand_L,192.12,101.99,0.469,0
P000203,Toys,Brand_M,19.23,9.28,0.517,0
P000204,Toys,Brand_H,130.67,63.6,0.513,0
P000205,Electronics,Brand_C,552.58,266.49,0.518,1
P000206,Home,Brand_L,567.14,308.38,0.456,1
P000207,Electronics,Brand_J,900.02,425.66,0.527,1
P000208,Sports,Brand_B,59.94,32.67,0.455,0
P000209,Toys,Brand_I,155.18,68.3,0.56,0
P000210,Sports,Brand_J,65.07,40.29,0.381,0
P000211,Apparel,Brand_I,86.76,54.12,0.376,0
P000212,Toys,Brand_M,176.76,98.37,0.444,0
P000213,Toys,Brand_B,153.54,80.38,0.477,0
P000214,Toys,Brand_O,33.81,18.32,0.458,0
P000215,Beauty,Brand_G,78.77,36.57,0.536,0
P000216,Electronics,Brand_M,227.9,108.48,0.524,0
P000217,Sports,Brand_O,90.43,45.47,0.497,0
P000218,Sports,Brand_H,51.0,22.54,0.558,0
P000219,Toys,Brand_Q,13.06,5.65,0.567,0
P000220,Food,Brand_R,187.09,95.17,0.491,0
P000221,Apparel,Brand_H,181.73,99.53,0.452,0
P000222,Beauty,Brand_Q,72.02,35.83,0.503,0
P000223,Apparel,Brand_I,56.77,23.46,0.587,0
P000224,Apparel,Brand_T,30.14,13.94,0.537,0
P000225,Toys,Brand_O,47.99,26.96,0.438,0
P000226,Electronics,Brand_A,1089.34,637.43,0.415,1
P000227,Electronics,Brand_E,1302.8,752.34,0.423,1
P000228,Home,Brand_B,283.83,155.86,0.451,1
P000229,Home,Brand_R,332.56,139.63,0.58,1
P000230,Toys,Brand_N,34.97,16.51,0.528,0
P000231,Sports,Brand_R,120.39,62.25,0.483,0
P000232,Sports,Brand_L,194.77,124.25,0.362,0
P000233,Beauty,Brand_D,19.37,7.82,0.596,0
P000234,Electronics,Brand_G,909.99,482.87,0.469,1
P000235,Home,Brand_E,378.65,178.37,0.529,1
P000236,Beauty,Brand_B,115.98,55.14,0.525,0
P000237,Toys,Brand_I,72.07,41.46,0.425,0
P000238,Electronics,Brand_B,1112.96,610.0,0.452,1
P000239,Apparel,Brand_F,284.68,144.97,0.491,1
P000240,Apparel,Brand_P,280.78,103.51,0.631,0
P000241,Toys,Brand_T,179.65,67.81,0.623,0
P000242,Apparel,Brand_J,150.32,76.18,0.493,0
P000243,Books,Brand_P,89.12,53.74,0.397,0
P000244,Beauty,Brand_L,98.07,48.98,0.501,0
P000245,Toys,Brand_L,119.73,62.17,0.481,0
P000246,Food,Brand_F,21.08,13.66,0.352,0
P000247,Electronics,Brand_S,1157.93,489.98,0.577,1
P000248,Electronics,Brand_E,1129.18,573.95,0.492,1
P000249,Sports,Brand_R,199.75,115.76,0.42,0
P000250,Electronics,Brand_N,543.75,345.6,0.364,1
P000251,Sports,Brand_R,131.56,78.57,0.403,0
P000252,Apparel,Brand_C,36.55,18.62,0.491,0
P000253,Books,Brand_J,186.67,101.69,0.455,0
P000254,Home,Brand_T,292.49,173.48,0.407,1
P000255,Sports,Brand_F,141.27,64.58,0.543,0
P000256,Sports,Brand_G,112.61,66.33,0.411,0
P000257,Toys,Brand_O,36.51,18.73,0.487,0
P000258,Food,Brand_R,184.67,82.49,0.553,0
P000259,Food,Brand_H,136.76,66.03,0.517,0
P000260,Apparel,Brand_K,57.0,35.66,0.374,0
P000261,Apparel,Brand_P,80.8,42.42,0.475,0
P000262,Apparel,Brand_Q,165.15,103.48,0.373,0
P000263,Apparel,Brand_O,222.5,140.41,0.369,0
P000264,Toys,Brand_Q,172.17,94.36,0.452,0
P000265,Home,Brand_F,792.75,292.47,0.631,1
P000266,Sports,Brand_Q,42.74,26.81,0.373,0
P000267,Apparel,Brand_H,257.91,148.35,0.425,0
P000268,Books,Brand_F,158.26,74.93,0.527,0
P000269,Books,Brand_E,156.64,76.21,0.513,0
P000270,Sports,Brand_D,78.51,28.08,0.642,0
P000271,Toys,Brand_I,112.22,68.62,0.389,0
P000272,Food,Brand_N,148.4,93.18,0.372,0
P000273,Electronics,Brand_T,428.3,164.13,0.617,1
P000274,Books,Brand_G,123.16,71.28,0.421,0
P000275,Apparel,Brand_N,68.12,34.74,0.49,0
P000276,Apparel,Brand_G,234.33,92.67,0.605,0
P000277,Books,Brand_E,178.93,98.68,0.448,0
P000278,Electronics,Brand_E,1086.82,636.5,0.414,1
P000279,Sports,Brand_H,180.94,92.91,0.487,0
P000280,Toys,Brand_P,162.17,64.98,0.599,0
P000281,Books,Brand_F,137.41,87.89,0.36,0
P000282,Toys,Brand_Q,192.81,95.52,0.505,0
P000283,Toys,Brand_N,68.19,43.3,0.365,0
P000284,Home,Brand_A,651.24,301.52,0.537,1
P000285,Books,Brand_N,57.62,29.71,0.484,0
P000286,Apparel,Brand_S,289.9,147.78,0.49,1
P000287,Apparel,Brand_F,221.69,87.87,0.604,0
P000288,Apparel,Brand_O,230.72,145.19,0.371,0
P000289,Beauty,Brand_P,53.0,28.84,0.456,0
P000290,Electronics,Brand_E,475.09,285.23,0.4,1
P000291,Apparel,Brand_I,59.25,21.41,0.639,0
P000292,Home,Brand_N,296.45,109.35,0.631,1
P000293,Apparel,Brand_H,186.16,87.55,0.53,0
P000294,Electronics,Brand_L,266.48,170.49,0.36,0
P000295,Apparel,Brand_Q,105.75,64.51,0.39,0
P000296,Electronics,Brand_S,1397.51,830.4,0.406,1
P000297,Apparel,Brand_Q,80.11,46.4,0.421,0
P000298,Home,Brand_N,175.44,94.66,0.46,0
P000299,Apparel,Brand_R,195.15,108.7,0.443,0
P000300,Food,Brand_I,185.42,86.61,0.533,0
P000301,Apparel,Brand_D,215.93,132.76,0.385,0
P000302,Apparel,Brand_D,226.35,102.43,0.547,0
P000303,Apparel,Brand_R,219.91,102.37,0.535,0
P000304,Electronics,Brand_P,446.12,178.46,0.6,1
P000305,Apparel,Brand_K,195.58,70.88,0.638,0
P000306,Toys,Brand_T,156.38,65.04,0.584,0
P000307,Home,Brand_O,325.96,124.48,0.618,1
P000308,Toys,Brand_P,179.17,91.18,0.491,0
P000309,Sports,Brand_H,9.4,4.16,0.557,0
P000310,Apparel,Brand_O,85.57,40.2,0.53,0
P000311,Books,Brand_P,139.06,68.06,0.511,0
P000312,Electronics,Brand_R,975.99,433.8,0.556,1
P000313,Toys,Brand_E,199.11,80.22,0.597,0
P000314,Home,Brand_O,521.32,199.4,0.618,1
P000315,Food,Brand_I,32.92,20.28,0.384,0
P000316,Food,Brand_T,191.07,86.56,0.547,0
P000317,Apparel,Brand_T,56.37,26.47,0.531,0
P000318,Electronics,Brand_J,537.48,323.65,0.398,1
P000319,Food,Brand_I,30.74,14.1,0.541,0
P000320,Beauty,Brand_O,180.1,104.12,0.422,0
P000321,Apparel,Brand_I,36.83,15.27,0.585,0
P000322,Food,Brand_L,159.29,59.21,0.628,0
P000323,Sports,Brand_L,84.13,49.18,0.415,0
P000324,Beauty,Brand_C,127.23,66.42,0.478,0
P000325,Home,Brand_J,277.64,109.45,0.606,0
P000326,Electronics,Brand_F,578.35,284.85,0.507,1
P000327,Electronics,Brand_A,1098.73,643.7,0.414,1
P000328,Beauty,Brand_H,57.89,37.53,0.352,0
P000329,Books,Brand_F,28.34,13.06,0.539,0
P000330,Food,Brand_E,52.32,24.83,0.525,0
P000331,Home,Brand_L,319.69,187.79,0.413,1
P000332,Toys,Brand_B,33.02,12.06,0.635,0
P000333,Home,Brand_F,253.85,133.07,0.476,0
P000334,Sports,Brand_A,6.04,3.05,0.495,0
P000335,Apparel,Brand_R,175.29,70.48,0.598,0
P000336,Beauty,Brand_H,14.74,7.26,0.508,0
P000337,Sports,Brand_C,107.78,69.7,0.353,0
P000338,Books,Brand_D,9.78,5.76,0.41,0
P000339,Apparel,Brand_L,52.2,26.06,0.501,0
P000340,Home,Brand_T,72.5,41.97,0.421,0
P000341,Electronics,Brand_E,1448.37,657.62,0.546,1
P000342,Food,Brand_J,184.86,72.05,0.61,0
P000343,Books,Brand_R,195.88,89.14,0.545,0
P000344,Books,Brand_Q,185.24,74.11,0.6,0
P000345,Home,Brand_F,457.12,225.93,0.506,1
P000346,Home,Brand_J,744.98,479.01,0.357,1
P000347,Apparel,Brand_T,31.55,18.51,0.413,0
P000348,Books,Brand_J,55.43,30.97,0.441,0
P000349,Electronics,Brand_B,172.94,79.83,0.538,0
P000350,Food,Brand_O,118.7,47.11,0.603,0
P000351,Sports,Brand_M,167.91,93.03,0.446,0
P000352,Sports,Brand_R,173.38,67.23,0.612,0
P000353,Sports,Brand_R,48.16,24.54,0.49,0
P000354,Home,Brand_G,794.71,479.63,0.396,1
P000355,Home,Brand_T,342.05,210.47,0.385,1
P000356,Beauty,Brand_G,155.59,76.22,0.51,0
P000357,Books,Brand_F,174.88,62.73,0.641,0
P000358,Home,Brand_P,704.1,443.56,0.37,1
P000359,Home,Brand_L,248.86,127.53,0.488,0
P000360,Electronics,Brand_E,141.68,78.0,0.449,0
P000361,Beauty,Brand_C,146.49,93.87,0.359,0
P000362,Toys,Brand_T,166.25,63.73,0.617,0
P000363,Home,Brand_O,205.68,122.12,0.406,0
P000364,Apparel,Brand_P,148.12,93.32,0.37,0
P000365,Home,Brand_F,590.65,229.54,0.611,1
P000366,Home,Brand_H,585.37,378.56,0.353,1
P000367,Apparel,Brand_A,80.98,52.19,0.356,0
P000368,Sports,Brand_C,171.32,71.49,0.583,0
P000369,Sports,Brand_H,147.68,77.77,0.473,0
P000370,Apparel,Brand_O,233.31,111.92,0.52,0
P000371,Home,Brand_C,132.25,76.98,0.418,0
P000372,Sports,Brand_I,168.77,108.13,0.359,0
P000373,Toys,Brand_Q,151.57,98.12,0.353,0
P000374,Electronics,Brand_M,60.57,31.37,0.482,0
P000375,Toys,Brand_I,117.42,66.86,0.431,0
P000376,Electronics,Brand_C,1399.84,905.52,0.353,1
P000377,Home,Brand_D,509.95,178.81,0.649,1
P000378,Toys,Brand_B,40.02,15.7,0.608,0
P000379,Toys,Brand_Q,41.24,19.97,0.516,0
P000380,Food,Brand_E,86.7,50.63,0.416,0
P000381,Electronics,Brand_S,1298.41,589.59,0.546,1
P000382,Apparel,Brand_H,171.15,80.58,0.529,0
P000383,Apparel,Brand_F,186.4,116.48,0.375,0
P000384,Home,Brand_E,780.43,276.77,0.645,1
P000385,Apparel,Brand_O,160.57,67.76,0.578,0
P000386,Toys,Brand_G,39.57,25.64,0.352,0
P000387,Apparel,Brand_P,123.03,51.01,0.585,0
P000388,Food,Brand_Q,85.96,49.37,0.426,0
P000389,Apparel,Brand_A,262.44,98.65,0.624,0
P000390,Toys,Brand_B,67.72,25.27,0.627,0
P000391,Apparel,Brand_T,170.99,77.56,0.546,0
P000392,Home,Brand_K,144.03,74.94,0.48,0
P000393,Apparel,Brand_N,187.83,102.98,0.452,0
P000394,Beauty,Brand_H,152.17,65.76,0.568,0
P000395,Sports,Brand_J,172.72,81.2,0.53,0
P000396,Books,Brand_G,183.42,116.64,0.364,0
P000397,Electronics,Brand_L,631.52,246.33,0.61,1
P000398,Books,Brand_J,145.58,50.96,0.65,0
P000399,Electronics,Brand_R,681.77,332.41,0.512,1
P000400,Home,Brand_S,751.48,480.25,0.361,1
P000401,Apparel,Brand_J,32.32,19.68,0.391,0
P000402,Home,Brand_O,201.99,86.66,0.571,0
P000403,Beauty,Brand_S,48.97,19.31,0.606,0
P000404,Home,Brand_M,218.13,105.8,0.515,0
P000405,Toys,Brand_F,109.74,70.86,0.354,0
P000406,Beauty,Brand_T,138.21,79.72,0.423,0
P000407,Home,Brand_N,789.16,471.47,0.403,1
P000408,Books,Brand_H,52.37,23.69,0.548,0
P000409,Food,Brand_T,109.93,48.58,0.558,0
P000410,Books,Brand_O,71.52,25.37,0.645,0
P000411,Home,Brand_T,695.62,355.07,0.49,1
P000412,Toys,Brand_D,35.77,17.66,0.506,0
P000413,Electronics,Brand_E,324.03,134.2,0.586,1
P000414,Toys,Brand_B,85.91,33.08,0.615,0
P000415,Home,Brand_C,488.5,265.93,0.456,1
P000416,Electronics,Brand_K,99.67,49.12,0.507,0
P000417,Food,Brand_B,92.71,51.66,0.443,0
P000418,Toys,Brand_P,49.86,20.14,0.596,0
P000419,Sports,Brand_N,90.37,33.35,0.631,0
P000420,Home,Brand_N,654.01,261.86,0.6,1
P000421,Toys,Brand_J,125.73,70.6,0.439,0
P000422,Electronics,Brand_H,1233.38,432.85,0.649,1
P000423,Food,Brand_G,104.31,57.05,0.453,0
P000424,Beauty,Brand_S,178.27,84.9,0.524,0
P000425,Sports,Brand_I,185.2,114.51,0.382,0
P000426,Sports,Brand_H,98.53,50.52,0.487,0
P000427,Apparel,Brand_F,192.98,111.68,0.421,0
P000428,Apparel,Brand_H,226.47,117.48,0.481,0
P000429,Sports,Brand_E,41.81,22.11,0.471,0
P000430,Apparel,Brand_C,173.2,72.65,0.581,0
P000431,Apparel,Brand_F,36.07,16.55,0.541,0
P000432,Sports,Brand_S,138.36,82.39,0.405,0
P000433,Home,Brand_C,496.14,319.87,0.355,1
P000434,Apparel,Brand_B,154.46,72.22,0.532,0
P000435,Sports,Brand_D,72.07,36.38,0.495,0
P000436,Electronics,Brand_O,1375.46,587.94,0.573,1
P000437,Toys,Brand_O,81.99,33.71,0.589,0
P000438,Electronics,Brand_F,299.91,156.07,0.48,1
P000439,Toys,Brand_H,179.59,66.67,0.629,0
P000440,Home,Brand_H,231.09,131.7,0.43,0
P000441,Beauty,Brand_A,25.49,9.75,0.618,0
P000442,Sports,Brand_E,128.94,47.5,0.632,0
P000443,Home,Brand_P,33.0,13.61,0.588,0
P000444,Toys,Brand_H,124.77,77.14,0.382,0
P000445,Electronics,Brand_B,1100.3,424.17,0.614,1
P000446,Books,Brand_H,44.0,23.22,0.472,0
P000447,Food,Brand_R,82.43,40.08,0.514,0
P000448,Toys,Brand_Q,192.81,103.5,0.463,0
P000449,Books,Brand_Q,143.51,67.51,0.53,0
P000450,Apparel,Brand_T,31.41,15.43,0.509,0
P000451,Books,Brand_E,119.64,77.02,0.356,0
P000452,Sports,Brand_B,43.89,19.41,0.558,0
P000453,Sports,Brand_E,141.74,57.19,0.597,0
P000454,Apparel,Brand_D,117.63,42.31,0.64,0
P000455,Apparel,Brand_A,146.67,79.21,0.46,0
P000456,Electronics,Brand_Q,676.46,262.21,0.612,1
P000457,Electronics,Brand_O,1245.59,758.09,0.391,1
P000458,Apparel,Brand_P,46.41,24.76,0.467,0
P000459,Food,Brand_E,89.75,52.75,0.412,0
P000460,Beauty,Brand_M,128.86,72.54,0.437,0
P000461,Electronics,Brand_T,1110.66,639.38,0.424,1
P000462,Food,Brand_F,63.47,40.93,0.355,0
P000463,Sports,Brand_I,52.77,27.87,0.472,0
P000464,Apparel,Brand_E,37.91,16.78,0.557,0
P000465,Home,Brand_T,554.74,294.44,0.469,1
P000466,Electronics,Brand_S,258.31,131.32,0.492,0
P000467,Home,Brand_L,702.81,289.75,0.588,1
P000468,Apparel,Brand_E,170.26,75.33,0.558,0
P000469,Sports,Brand_E,107.54,58.82,0.453,0
P000470,Food,Brand_F,167.47,82.23,0.509,0
P000471,Home,Brand_N,90.45,40.21,0.555,0
P000472,Sports,Brand_G,68.72,36.06,0.475,0
P000473,Books,Brand_M,171.44,74.15,0.567,0
P000474,Beauty,Brand_N,153.95,99.25,0.355,0
P000475,Apparel,Brand_K,283.61,164.06,0.422,0
P000476,Books,Brand_L,23.54,9.32,0.604,0
P000477,Apparel,Brand_H,224.61,101.8,0.547,0
P000478,Home,Brand_O,610.75,261.85,0.571,1
P000479,Food,Brand_L,195.37,83.29,0.574,0
P000480,Home,Brand_M,407.11,171.47,0.579,1
P000481,Food,Brand_S,90.0,34.12,0.621,0
P000482,Sports,Brand_O,120.34,53.87,0.552,0
P000483,Food,Brand_L,128.86,47.2,0.634,0
P000484,Apparel,Brand_R,82.95,48.03,0.421,0
P000485,Books,Brand_B,102.25,41.46,0.595,0
P000486,Home,Brand_K,516.11,196.58,0.619,1
P000487,Home,Brand_T,275.87,159.03,0.424,0
P000488,Home,Brand_F,192.17,110.63,0.424,0
P000489,Electronics,Brand_M,353.07,168.02,0.524,1
P000490,Electronics,Brand_I,742.61,454.39,0.388,1
P000491,Electronics,Brand_C,1146.36,543.36,0.526,1
P000492,Beauty,Brand_D,174.84,87.95,0.497,0
P000493,Electronics,Brand_A,532.91,313.11,0.412,1
P000494,Food,Brand_S,172.93,67.38,0.61,0
