anomaly_id,date,kpi,tier,severity,votes,direction,actual_value,expected_value,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,root_cause_confidence,confidence_tier,ci_ran,ci_relative_effect_pct,ci_effect_significant,ci_confidence,dw_ran,dw_treatment,dw_effect_pct,dw_refutation_passed,dw_p_value,is_externally_driven,external_driver_type,external_driver_detail,snap_economic_index,snap_marketing_pressure,snap_seasonal_index,snap_consumer_sentiment,actionability_score,actionability_label,escalation_suppressed,suppression_reason,rca_completeness_score,layer4_priority_flag,rca_narrative,revenue_at_risk,margin_impact,customer_impact,monthly_shortfall,impact_pct_of_plan,impact_narrative,revenue_impact_factor,tier_factor,confidence_factor,recoverability_factor,external_factor,priority_score,priority_band,priority_rank
ANO-20240315-ORD,2024-03-15,n_orders,1,MEDIUM,2,DOWN,125.0,194.4286,-35.71,-2.2526,1,inventory_stockout,n_orders,n_orders,-2.2526,DOWN,0,"bounce_rate, return_rate, total_revenue_usd",total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.18358,-0.08937,-0.01289,0.05695,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] n_orders moved DOWN -35.7% on 2024-03-15. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.,27887.65,13854.08,350,119518.5,34.006,"Order volume is tracking $27,888 below forecast for the week. At current trajectory, this represents a $119,518 monthly shortfall — 34.0% below plan. Approximately 350 customers experienced degraded order volume.",0.805515,1.0,0.5,1.0,1.0,0.83193,HIGH,53
ANO-20240417-ORD,2024-04-17,n_orders,1,MEDIUM,2,UP,234.0,220.8571,5.95,1.9074,0,,n_orders -> sessions,sessions,1.8606,UP,1,"avg_discount_pct, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,sessions,0.37,True,0.0,False,none,,0.17425,0.29856,0.06953,-0.00695,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] n_orders moved UP +6.0% on 2024-04-17. Chain: n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.,-5279.16,-2622.59,66,-22624.96,-6.4374,"Order volume surged +6.0% above forecast. Weekly revenue uplift: +$5,279 (+$22,625 monthly, 6.4% above plan). Approximately 66 customers contributed to the uplift.",0.674534,1.0,0.9,1.0,1.0,0.866087,HIGH,30
ANO-20240618-ORD,2024-06-18,n_orders,1,MEDIUM,2,UP,241.0,216.7143,11.21,2.1363,1,website_outage,n_orders -> sessions,sessions,-2.2609,DOWN,1,"avg_discount_pct, avg_order_value_usd, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,sessions,-1.8,True,0.0,False,none,,0.17751,0.36144,0.14997,-0.00756,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] n_orders moved UP +11.2% on 2024-06-18. Chain: n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.,-9754.93,-4846.07,122,-41806.84,-11.8951,"Order volume surged +11.2% above forecast. Weekly revenue uplift: +$9,755 (+$41,807 monthly, 11.9% above plan). Approximately 122 customers contributed to the uplift.",0.722853,1.0,0.9,1.0,1.0,0.882999,HIGH,25
ANO-20240723-ORD,2024-07-23,n_orders,1,MEDIUM,2,UP,242.0,237.4286,1.93,0.9908,0,,n_orders,n_orders,0.9908,UP,0,"avg_order_value_usd, inventory_health",total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.39181,0.10941,0.12539,-0.0161,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] n_orders moved UP +1.9% on 2024-07-23. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.,-1836.21,-912.2,23,-7869.48,-2.2391,"Order volume surged +1.9% above forecast. Weekly revenue uplift: +$1,836 (+$7,869 monthly, 2.2% above plan). Approximately 23 customers contributed to the uplift.",0.591427,1.0,0.5,1.0,1.0,0.756999,HIGH,84
ANO-20240820-ORD,2024-08-20,n_orders,1,HIGH,3,UP,370.0,245.1429,50.93,2.2651,1,back_to_school_surge,n_orders -> sessions,sessions,1.508,UP,1,"sessions, total_revenue_usd","n_orders, total_revenue_usd",0.96,HIGH,True,0.29,True,1.0,True,sessions,0.18,True,0.0,False,none,,0.20739,0.19968,0.07294,0.10939,1.0,HIGH,False,,3,ESCALATE,[HIGH] n_orders moved UP +50.9% on 2024-08-20. Chain: n_orders -> sessions. Suspected driver: sessions. Causal confidence: 96%. No external suppression. Fully actionable.,-50151.82,-24914.52,629,-214936.39,-61.1548,"Order volume surged +50.9% above forecast. Weekly revenue uplift: +$50,152 (+$214,936 monthly, 61.2% above plan). Approximately 629 customers contributed to the uplift.",0.851699,1.0,0.96,1.0,1.0,0.940095,HIGH,5
ANO-20241129-ORD,2024-11-29,n_orders,1,HIGH,3,UP,310.0,225.7143,37.34,2.2511,1,black_friday_spike,n_orders,n_orders,2.2511,UP,0,"avg_order_value_usd, avg_roas, inventory_health, total_revenue_usd",total_revenue_usd,1.0,HIGH,True,0.21,True,1.0,False,,,,,False,none,,0.1984,0.05041,-0.14141,-0.04948,1.0,HIGH,False,,1,ESCALATE,[HIGH] n_orders moved UP +37.3% on 2024-11-29. Root: n_orders (no deeper driver above watch threshold). Causal confidence: 100%. No external suppression. Fully actionable.,-33855.36,-16818.73,424,-145094.39,-41.283,"Order volume surged +37.3% above forecast. Weekly revenue uplift: +$33,855 (+$145,094 monthly, 41.3% above plan). Approximately 424 customers contributed to the uplift.",0.820775,1.0,1.0,1.0,1.0,0.937271,HIGH,8
ANO-20241202-ORD,2024-12-02,n_orders,1,HIGH,3,UP,268.0,236.4286,13.35,0.8305,1,cyber_monday_halo,n_orders,n_orders,0.8305,UP,0,,total_revenue_usd,0.8385,HIGH,True,0.06,False,0.8385,False,,,,,False,none,,0.20865,0.06738,-0.14381,-0.06632,1.0,HIGH,False,,1,ESCALATE,[HIGH] n_orders moved UP +13.3% on 2024-12-02. Root: n_orders (no deeper driver above watch threshold). Causal confidence: 84%. No external suppression. Fully actionable.,-12681.4,-6299.89,159,-54348.87,-15.4636,"Order volume surged +13.3% above forecast. Weekly revenue uplift: +$12,681 (+$54,349 monthly, 15.5% above plan). Approximately 159 customers contributed to the uplift.",0.7435,1.0,0.8385,1.0,1.0,0.877925,HIGH,27
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,2,DOWN,132.0,200.8571,-34.28,-2.2573,1,inventory_stockout,n_orders -> conversion_rate -> avg_discount_pct,avg_discount_pct,-1.9711,DOWN,2,"avg_discount_pct, conversion_rate, return_rate, sessions, total_revenue_usd","conversion_rate, n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,avg_discount_pct,-8.09,True,0.0,False,none,,-0.01325,0.13632,-0.09331,-0.01053,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] n_orders moved DOWN -34.3% on 2025-02-10. Chain: n_orders -> conversion_rate -> avg_discount_pct. Suspected driver: avg_discount_pct. Causal confidence: 90%. No external suppression. Fully actionable.,27658.09,13740.04,347,118534.68,33.7261,"Order volume is tracking $27,658 below forecast for the week. At current trajectory, this represents a $118,535 monthly shortfall — 33.7% below plan. Approximately 347 customers experienced degraded order volume.",0.804865,1.0,0.9,1.0,1.0,0.911703,HIGH,15
ANO-20251128-ORD,2025-11-28,n_orders,1,HIGH,3,UP,290.0,204.0,42.16,2.265,1,black_friday_spike,n_orders,n_orders,2.265,UP,0,"avg_order_value_usd, total_clicks, total_revenue_usd",total_revenue_usd,1.0,HIGH,True,0.1,True,1.0,False,,,,,False,none,,0.03214,-0.03777,-0.13961,-0.02767,1.0,HIGH,False,,1,ESCALATE,[HIGH] n_orders moved UP +42.2% on 2025-11-28. Root: n_orders (no deeper driver above watch threshold). Causal confidence: 100%. No external suppression. Fully actionable.,-34543.95,-17160.81,433,-148045.48,-42.1226,"Order volume surged +42.2% above forecast. Weekly revenue uplift: +$34,544 (+$148,045 monthly, 42.1% above plan). Approximately 433 customers contributed to the uplift.",0.82236,1.0,1.0,1.0,1.0,0.937826,HIGH,7
ANO-20251201-ORD,2025-12-01,n_orders,1,MEDIUM,2,UP,252.0,215.2857,17.05,0.9199,1,cyber_monday_halo,n_orders,n_orders,0.9199,UP,0,inventory_health,total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.01142,0.03057,-0.14225,-0.04464,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] n_orders moved UP +17.1% on 2025-12-01. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.,-14747.17,-7326.13,185,-63202.17,-17.9826,"Order volume surged +17.1% above forecast. Weekly revenue uplift: +$14,747 (+$63,202 monthly, 18.0% above plan). Approximately 185 customers contributed to the uplift.",0.755376,1.0,0.5,1.0,1.0,0.814382,HIGH,68
ANO-20240111-ROAS,2024-01-11,avg_roas,1,HIGH,3,UP,157.414,38.923,304.42,2.2014,0,,avg_roas -> total_clicks,total_clicks,1.5429,UP,1,total_clicks,avg_roas,0.9,HIGH,False,,,,True,total_clicks,70.15,True,0.0,False,none,,-0.03693,-0.31152,-0.13913,-0.04634,1.0,HIGH,False,,2,ESCALATE,[HIGH] avg_roas moved UP +304.4% on 2024-01-11. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.,-74894.67,-37206.32,939,-320977.16,-91.326,"Marketing ROAS surged +304.4% above forecast. Weekly revenue uplift: +$74,895 (+$320,977 monthly, 91.3% above plan). Approximately 939 customers contributed to the uplift.",0.883258,1.0,0.9,1.0,1.0,0.93914,HIGH,6
ANO-20240130-ROAS,2024-01-30,avg_roas,1,MEDIUM,2,UP,116.979,32.5749,259.11,2.1364,0,,avg_roas,avg_roas,2.1364,UP,0,"conversion_rate, n_orders, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,-0.0595,-0.32075,-0.11375,-0.07425,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +259.1% on 2024-01-30. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,-63747.32,-31668.52,799,-273202.79,-77.733,"Marketing ROAS surged +259.1% above forecast. Weekly revenue uplift: +$63,747 (+$273,203 monthly, 77.7% above plan). Approximately 799 customers contributed to the uplift.",0.870575,1.0,0.5,1.0,1.0,0.854701,HIGH,36
ANO-20240131-ROAS,2024-01-31,avg_roas,1,HIGH,3,UP,132.081,49.7314,165.59,1.5571,0,,avg_roas,avg_roas,1.5571,UP,0,,,0.7067,MEDIUM,True,5.16,False,0.7067,False,,,,,False,none,,-0.0365,-0.29942,-0.11205,-0.07743,1.0,HIGH,False,,1,ESCALATE,[HIGH] avg_roas moved UP +165.6% on 2024-01-31. Root: avg_roas (no deeper driver above watch threshold). Causal confidence: 71%. No external suppression. Fully actionable.,-40739.14,-20238.47,511,-174596.31,-49.677,"Marketing ROAS surged +165.6% above forecast. Weekly revenue uplift: +$40,739 (+$174,596 monthly, 49.7% above plan). Approximately 511 customers contributed to the uplift.",0.835341,1.0,0.7067,1.0,1.0,0.883709,HIGH,24
ANO-20240227-ROAS,2024-02-27,avg_roas,1,MEDIUM,2,UP,89.901,45.6519,96.93,2.0523,0,,avg_roas -> total_clicks,total_clicks,1.7396,UP,1,"bounce_rate, n_stockouts, total_clicks",avg_roas,0.9,HIGH,False,,,,True,total_clicks,64.78,True,0.0,False,none,,0.02541,0.08013,-0.05546,-0.05395,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] avg_roas moved UP +96.9% on 2024-02-27. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.,-23847.12,-11846.82,299,-102201.95,-29.079,"Marketing ROAS surged +96.9% above forecast. Weekly revenue uplift: +$23,847 (+$102,202 monthly, 29.1% above plan). Approximately 299 customers contributed to the uplift.",0.793198,1.0,0.9,1.0,1.0,0.907619,HIGH,16
ANO-20240311-ROAS,2024-03-11,avg_roas,1,MEDIUM,2,UP,92.717,35.3956,161.94,1.8596,0,,avg_roas,avg_roas,1.8596,UP,0,"inventory_health, return_rate",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.24176,-0.12866,-0.02315,0.01262,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +161.9% on 2024-03-11. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,-39841.15,-19792.37,500,-170747.79,-48.582,"Marketing ROAS surged +161.9% above forecast. Weekly revenue uplift: +$39,841 (+$170,748 monthly, 48.6% above plan). Approximately 500 customers contributed to the uplift.",0.833587,1.0,0.5,1.0,1.0,0.841755,HIGH,42
ANO-20240412-ROAS,2024-04-12,avg_roas,1,MEDIUM,2,UP,110.292,37.3179,195.55,2.0407,0,,avg_roas,avg_roas,2.0407,UP,0,bounce_rate,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.16688,0.09212,0.05785,-0.05331,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +195.6% on 2024-04-12. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,-48110.02,-23900.19,603,-206185.81,-58.665,"Marketing ROAS surged +195.6% above forecast. Weekly revenue uplift: +$48,110 (+$206,186 monthly, 58.7% above plan). Approximately 603 customers contributed to the uplift.",0.848428,1.0,0.5,1.0,1.0,0.84695,HIGH,39
ANO-20240417-ROAS,2024-04-17,avg_roas,1,MEDIUM,2,DOWN,16.7,31.0373,-46.19,-0.3921,0,,avg_roas,avg_roas,-0.3921,DOWN,0,"avg_discount_pct, conversion_rate, n_orders, sessions, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.17425,0.29856,0.06953,-0.00695,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -46.2% on 2024-04-17. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,11363.86,5645.36,142,48702.24,13.857,"Marketing ROAS is tracking $11,364 below forecast for the week. At current trajectory, this represents a $48,702 monthly shortfall — 13.9% below plan. Approximately 142 customers experienced degraded marketing roas.",0.734867,1.0,0.5,1.0,1.0,0.807203,HIGH,75
ANO-20240428-ROAS,2024-04-28,avg_roas,1,MEDIUM,2,UP,115.439,38.7797,197.68,2.102,0,,avg_roas -> total_clicks,total_clicks,2.0737,UP,1,"avg_order_value_usd, n_orders, return_rate, total_clicks, total_revenue_usd",avg_roas,0.9,HIGH,False,,,,True,total_clicks,85.04,True,0.0,False,none,,-0.04853,-0.18123,0.09331,0.02868,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] avg_roas moved UP +197.7% on 2024-04-28. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.,-48634.05,-24160.52,610,-208431.66,-59.304,"Marketing ROAS surged +197.7% above forecast. Weekly revenue uplift: +$48,634 (+$208,432 monthly, 59.3% above plan). Approximately 610 customers contributed to the uplift.",0.84928,1.0,0.9,1.0,1.0,0.927248,HIGH,11
ANO-20240429-ROAS,2024-04-29,avg_roas,1,MEDIUM,2,UP,102.82,48.5693,111.7,1.2451,0,,avg_roas,avg_roas,1.2451,UP,0,avg_discount_pct,,,UNAVAILABLE,False,,,,False,,,,,False,none,,-0.00222,0.01542,0.09531,0.00222,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +111.7% on 2024-04-29. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,-27480.9,-13652.02,345,-117775.27,-33.51,"Marketing ROAS surged +111.7% above forecast. Weekly revenue uplift: +$27,481 (+$117,775 monthly, 33.5% above plan). Approximately 345 customers contributed to the uplift.",0.804359,1.0,0.5,1.0,1.0,0.831526,HIGH,54
ANO-20240526-ROAS,2024-05-26,avg_roas,1,MEDIUM,2,UP,86.135,37.2377,131.31,1.5311,0,,avg_roas,avg_roas,1.5311,UP,0,"sessions, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.13075,0.01412,0.13712,-0.01394,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +131.3% on 2024-05-26. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,-32305.43,-16048.76,405,-138451.85,-39.393,"Marketing ROAS surged +131.3% above forecast. Weekly revenue uplift: +$32,305 (+$138,452 monthly, 39.4% above plan). Approximately 405 customers contributed to the uplift.",0.817087,1.0,0.5,1.0,1.0,0.83598,HIGH,47
ANO-20240601-ROAS,2024-06-01,avg_roas,1,MEDIUM,2,UP,102.085,41.1267,148.22,1.5758,0,,avg_roas,avg_roas,1.5758,UP,0,"avg_order_value_usd, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.05823,0.17512,0.14266,0.0384,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +148.2% on 2024-06-01. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,-36465.7,-18115.5,457,-156281.57,-44.466,"Marketing ROAS surged +148.2% above forecast. Weekly revenue uplift: +$36,466 (+$156,282 monthly, 44.5% above plan). Approximately 457 customers contributed to the uplift.",0.82662,1.0,0.5,1.0,1.0,0.839317,HIGH,43
ANO-20240612-ROAS,2024-06-12,avg_roas,1,MEDIUM,2,UP,99.458,40.8899,143.23,1.6443,0,,avg_roas,avg_roas,1.6443,UP,0,inventory_health,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.05223,0.06837,0.14883,-0.01193,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +143.2% on 2024-06-12. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.,-35238.04,-17505.62,442,-151020.17,-42.969,"Marketing ROAS surged +143.2% above forecast. Weekly revenue uplift: +$35,238 (+$151,020 monthly, 43.0% above plan). Approximately 442 customers contributed to the uplift.",0.823925,1.0,0.5,1.0,1.0,0.838374,HIGH,44
