date,method_b_flag,method_b_score,method_b_prediction,in_train_set,top_5_features,anomaly_flag,anomaly_event,anomaly_kpi
2024-03-27,False,-0.10737,1,True,"n_reorders, pages_per_session, total_spend_usd, total_units_sold, total_attributed_revenue_usd",0,,
2024-03-28,False,-0.09475,1,True,"total_units_sold, avg_session_duration_sec, total_stock_on_hand, inventory_health, bounce_rate",0,,
2024-03-29,False,-0.07902,1,True,"total_stock_on_hand, inventory_health, total_clicks, total_impressions, total_units_sold",0,,
2024-03-30,False,-0.09195,1,True,"n_unique_customers, total_units_sold, pages_per_session, inventory_health, total_stock_on_hand",0,,
2024-03-31,False,-0.08741,1,True,"total_units_sold, bounce_rate, inventory_health, total_stock_on_hand, total_conversions_marketing",0,,
2024-04-01,False,-0.09557,1,True,"economic_index, total_stock_on_hand, inventory_health, n_returns, n_orders",0,,
2024-04-02,False,-0.05163,1,True,"n_reorders, bounce_rate, avg_session_duration_sec, economic_index, total_attributed_revenue_usd",0,,
2024-04-03,False,-0.08218,1,True,"n_reorders, pages_per_session, consumer_sentiment, n_orders, economic_index",0,,
2024-04-04,False,-0.07654,1,True,"total_spend_usd, avg_session_duration_sec, avg_discount_pct, marketing_pressure, n_orders",0,,
2024-04-05,False,-0.09723,1,True,"bounce_rate, pages_per_session, consumer_sentiment, n_reorders, total_clicks",0,,
2024-04-06,False,-0.0889,1,True,"n_unique_customers, total_units_sold, total_clicks, pages_per_session, consumer_sentiment",0,,
2024-04-07,False,-0.08913,1,True,"total_clicks, total_impressions, bounce_rate, total_attributed_revenue_usd, avg_roas",0,,
2024-04-08,False,-0.10134,1,True,"n_unique_customers, total_impressions, consumer_sentiment, total_clicks, n_returns",0,,
2024-04-09,False,-0.07606,1,True,"n_reorders, total_conversions_marketing, marketing_pressure, avg_discount_pct, conversion_rate",0,,
2024-04-10,False,-0.10557,1,True,"n_reorders, avg_session_duration_sec, total_impressions, pages_per_session, bounce_rate",0,,
2024-04-11,False,-0.10466,1,True,"n_reorders, total_impressions, total_clicks, avg_roas, total_attributed_revenue_usd",0,,
2024-04-12,False,-0.04882,1,True,"total_conversions_marketing, avg_roas, total_attributed_revenue_usd, bounce_rate, n_reorders",0,,
2024-04-13,False,-0.12967,1,True,"n_reorders, avg_session_duration_sec, pages_per_session, economic_index, n_orders",0,,
2024-04-14,False,-0.12422,1,True,"pages_per_session, total_attributed_revenue_usd, avg_roas, total_conversions_marketing, economic_index",0,,
2024-04-15,False,-0.10373,1,True,"avg_session_duration_sec, n_reorders, bounce_rate, total_conversions_marketing, pages_per_session",0,,
2024-04-16,False,-0.06773,1,True,"bounce_rate, total_spend_usd, avg_discount_pct, total_impressions, marketing_pressure",0,,
2024-04-17,True,0.01839,-1,True,"avg_discount_pct, total_spend_usd, total_impressions, total_units_sold, marketing_pressure",0,,
2024-04-18,False,-0.02848,1,True,"avg_discount_pct, marketing_pressure, conversion_rate, n_unique_customers, total_clicks",0,,
2024-04-19,False,-0.04968,1,True,"n_unique_customers, total_clicks, pages_per_session, avg_discount_pct, marketing_pressure",0,,
2024-04-20,False,-0.06968,1,True,"total_attributed_revenue_usd, avg_roas, total_conversions_marketing, n_unique_customers, total_impressions",0,,
2024-04-21,False,-0.10377,1,True,"pages_per_session, total_conversions_marketing, inventory_health, total_stock_on_hand, avg_roas",0,,
2024-04-22,False,-0.11288,1,True,"total_clicks, total_units_sold, inventory_health, total_stock_on_hand, bounce_rate",1,logistics_disruption,fulfillment_time
2024-04-23,False,-0.10771,1,True,"bounce_rate, total_units_sold, total_impressions, n_reorders, total_spend_usd",0,,
2024-04-24,False,-0.09495,1,True,"pages_per_session, n_reorders, total_impressions, n_unique_customers, seasonal_index",0,,
2024-04-25,False,-0.11842,1,True,"pages_per_session, total_stock_on_hand, inventory_health, total_spend_usd, total_clicks",0,,
2024-04-26,False,-0.11943,1,True,"bounce_rate, total_units_sold, total_spend_usd, total_impressions, avg_session_duration_sec",0,,
2024-04-27,False,-0.11835,1,True,"total_spend_usd, avg_session_duration_sec, total_attributed_revenue_usd, total_conversions_marketing, avg_roas",0,,
2024-04-28,False,-0.05052,1,True,"total_conversions_marketing, avg_roas, total_attributed_revenue_usd, total_clicks, n_unique_customers",0,,
2024-04-29,False,-0.10511,1,True,"avg_roas, total_attributed_revenue_usd, total_conversions_marketing, total_spend_usd, total_clicks",0,,
2024-04-30,False,-0.13082,1,True,"avg_session_duration_sec, total_units_sold, total_attributed_revenue_usd, avg_roas, seasonal_index",0,,
2024-05-01,False,-0.12274,1,True,"bounce_rate, total_impressions, total_units_sold, n_unique_customers, total_spend_usd",0,,
2024-05-02,False,-0.11729,1,True,"total_units_sold, total_clicks, total_impressions, avg_session_duration_sec, inventory_health",0,,
2024-05-03,False,-0.11109,1,True,"pages_per_session, total_conversions_marketing, total_clicks, total_attributed_revenue_usd, avg_roas",0,,
2024-05-04,False,-0.11857,1,True,"n_unique_customers, total_conversions_marketing, total_attributed_revenue_usd, avg_roas, total_units_sold",0,,
2024-05-05,False,-0.11745,1,True,"total_impressions, total_units_sold, seasonal_index, total_clicks, avg_session_duration_sec",0,,
2024-05-06,False,-0.10255,1,True,"n_reorders, avg_session_duration_sec, total_conversions_marketing, bounce_rate, seasonal_index",0,,
2024-05-07,False,-0.06465,1,True,"bounce_rate, total_impressions, n_unique_customers, pages_per_session, n_orders",0,,
2024-05-08,False,-0.09533,1,True,"total_units_sold, total_conversions_marketing, n_reorders, total_stock_on_hand, inventory_health",0,,
2024-05-09,False,-0.09748,1,True,"total_impressions, pages_per_session, total_spend_usd, total_units_sold, seasonal_index",0,,
2024-05-10,False,-0.11641,1,True,"pages_per_session, total_units_sold, n_reorders, seasonal_index, n_unique_customers",0,,
2024-05-11,False,-0.10061,1,True,"pages_per_session, n_reorders, avg_session_duration_sec, total_units_sold, seasonal_index",0,,
2024-05-12,False,-0.10673,1,True,"pages_per_session, total_impressions, n_unique_customers, seasonal_index, avg_roas",0,,
2024-05-13,False,-0.08156,1,True,"total_clicks, pages_per_session, avg_session_duration_sec, total_impressions, bounce_rate",0,,
2024-05-14,False,-0.0315,1,True,"n_stockouts, pages_per_session, n_reorders, total_stock_on_hand, inventory_health",0,,
2024-05-15,False,-0.13201,1,True,"seasonal_index, avg_session_duration_sec, total_conversions_marketing, avg_roas, total_attributed_revenue_usd",0,,
2024-05-16,False,-0.07819,1,True,"pages_per_session, avg_session_duration_sec, avg_roas, total_attributed_revenue_usd, total_clicks",0,,
2024-05-17,False,-0.11669,1,True,"total_units_sold, n_reorders, total_conversions_marketing, seasonal_index, total_spend_usd",0,,
2024-05-18,False,-0.10342,1,True,"total_conversions_marketing, total_clicks, avg_roas, total_spend_usd, seasonal_index",0,,
2024-05-19,False,-0.11448,1,True,"n_reorders, n_unique_customers, total_impressions, seasonal_index, total_units_sold",0,,
2024-05-20,False,-0.09032,1,True,"total_units_sold, n_unique_customers, pages_per_session, seasonal_index, total_conversions_marketing",0,,
2024-05-21,False,-0.08366,1,True,"pages_per_session, total_impressions, inventory_health, total_stock_on_hand, total_clicks",0,,
2024-05-22,False,-0.07154,1,True,"inventory_health, total_stock_on_hand, avg_session_duration_sec, pages_per_session, total_attributed_revenue_usd",1,fraud_attack,refunds
2024-05-23,False,-0.03181,1,True,"n_stockouts, total_conversions_marketing, total_clicks, inventory_health, total_stock_on_hand",0,,
2024-05-24,False,-0.04069,1,True,"n_stockouts, inventory_health, total_stock_on_hand, marketing_pressure, conversion_rate",0,,
2024-05-25,False,-0.0591,1,True,"n_stockouts, n_reorders, total_stock_on_hand, inventory_health, total_conversions_marketing",0,,
2024-05-26,False,-0.02123,1,True,"n_stockouts, total_attributed_revenue_usd, total_impressions, avg_roas, inventory_health",0,,
2024-05-27,False,-0.02147,1,True,"n_stockouts, total_spend_usd, inventory_health, total_stock_on_hand, pages_per_session",0,,
2024-05-28,False,-0.0855,1,True,"n_unique_customers, pages_per_session, avg_session_duration_sec, total_stock_on_hand, inventory_health",0,,
2024-05-29,False,-0.06618,1,True,"total_impressions, total_units_sold, n_orders, seasonal_index, total_spend_usd",0,,
2024-05-30,False,-0.07612,1,True,"total_impressions, n_orders, seasonal_index, marketing_pressure, avg_discount_pct",0,,
2024-05-31,False,-0.03597,1,True,"n_unique_customers, total_units_sold, bounce_rate, n_orders, avg_discount_pct",0,,
2024-06-01,False,-0.0466,1,True,"total_attributed_revenue_usd, avg_roas, total_spend_usd, total_conversions_marketing, avg_discount_pct",0,,
2024-06-02,False,-0.08535,1,True,"n_reorders, total_units_sold, seasonal_index, n_orders, marketing_pressure",0,,
2024-06-03,False,-0.09382,1,True,"n_unique_customers, n_reorders, total_impressions, pages_per_session, total_units_sold",0,,
2024-06-04,False,-0.10611,1,True,"avg_session_duration_sec, seasonal_index, total_units_sold, inventory_health, total_stock_on_hand",0,,
2024-06-05,False,-0.10037,1,True,"n_unique_customers, seasonal_index, n_orders, n_reorders, total_clicks",0,,
2024-06-06,False,-0.07669,1,True,"n_unique_customers, total_units_sold, n_orders, seasonal_index, avg_session_duration_sec",0,,
2024-06-07,False,-0.09488,1,True,"bounce_rate, seasonal_index, avg_session_duration_sec, n_orders, n_reorders",0,,
2024-06-08,False,-0.07809,1,True,"avg_discount_pct, n_orders, marketing_pressure, conversion_rate, seasonal_index",0,,
2024-06-09,False,-0.06479,1,True,"n_unique_customers, avg_roas, total_attributed_revenue_usd, total_impressions, seasonal_index",0,,
2024-06-10,False,-0.07628,1,True,"avg_session_duration_sec, total_spend_usd, total_impressions, total_clicks, seasonal_index",0,,
2024-06-11,False,-0.08753,1,True,"total_units_sold, total_impressions, seasonal_index, pages_per_session, marketing_pressure",0,,
2024-06-12,False,-0.09651,1,True,"avg_roas, total_attributed_revenue_usd, seasonal_index, total_conversions_marketing, total_impressions",0,,
2024-06-13,False,-0.06874,1,True,"bounce_rate, avg_roas, total_attributed_revenue_usd, avg_session_duration_sec, total_conversions_marketing",0,,
2024-06-14,False,-0.11546,1,True,"total_conversions_marketing, pages_per_session, seasonal_index, total_clicks, avg_roas",0,,
2024-06-15,False,-0.08227,1,True,"pages_per_session, total_clicks, total_stock_on_hand, inventory_health, seasonal_index",0,,
2024-06-16,False,-0.09639,1,True,"bounce_rate, seasonal_index, total_units_sold, n_unique_customers, total_stock_on_hand",0,,
2024-06-17,False,-0.04534,1,True,"total_conversions_marketing, inventory_health, total_stock_on_hand, total_units_sold, bounce_rate",0,,
2024-06-18,True,0.03432,-1,True,"unique_visitors, sessions, avg_discount_pct, n_reorders, marketing_pressure",1,website_outage,sessions
2024-06-19,True,0.06364,-1,True,"n_stockouts, avg_discount_pct, marketing_pressure, conversion_rate, total_conversions_marketing",0,,
2024-06-20,True,0.07949,-1,True,"avg_discount_pct, n_stockouts, marketing_pressure, conversion_rate, conversions_web",0,,
2024-06-21,True,0.00341,-1,True,"n_stockouts, avg_discount_pct, marketing_pressure, conversion_rate, n_reorders",0,,
2024-06-22,True,0.02479,-1,True,"total_spend_usd, pages_per_session, avg_discount_pct, total_impressions, n_unique_customers",0,,
2024-06-23,False,-0.00315,1,True,"total_units_sold, avg_discount_pct, n_orders, marketing_pressure, conversion_rate",0,,
2024-06-24,False,-0.01031,1,True,"total_attributed_revenue_usd, avg_roas, total_conversions_marketing, avg_discount_pct, total_clicks",0,,
2024-06-25,False,-0.06341,1,True,"n_reorders, total_clicks, n_orders, seasonal_index, marketing_pressure",0,,
2024-06-26,True,0.00036,-1,True,"avg_session_duration_sec, total_stock_on_hand, inventory_health, n_orders, bounce_rate",0,,
2024-06-27,False,-0.05012,1,True,"n_unique_customers, n_returns, inventory_health, total_stock_on_hand, n_orders",0,,
2024-06-28,False,-0.05913,1,True,"total_conversions_marketing, n_orders, seasonal_index, economic_index, total_attributed_revenue_usd",0,,
2024-06-29,False,-0.07157,1,True,"total_units_sold, n_orders, total_spend_usd, seasonal_index, total_impressions",0,,
2024-06-30,False,-0.0472,1,True,"avg_discount_pct, n_unique_customers, n_orders, marketing_pressure, conversion_rate",0,,
2024-07-01,False,-0.01831,1,True,"n_unique_customers, total_units_sold, pages_per_session, avg_discount_pct, n_orders",0,,
2024-07-02,False,-0.0584,1,True,"total_units_sold, bounce_rate, n_orders, total_clicks, seasonal_index",0,,
2024-07-03,False,-0.04878,1,True,"n_orders, avg_discount_pct, marketing_pressure, bounce_rate, seasonal_index",0,,
2024-07-04,False,-0.05627,1,True,"n_orders, avg_discount_pct, marketing_pressure, n_returns, avg_session_duration_sec",0,,
2024-07-05,False,-0.00534,1,True,"total_spend_usd, total_units_sold, avg_session_duration_sec, avg_discount_pct, n_orders",0,,
2024-07-06,False,-0.07516,1,True,"total_clicks, n_reorders, n_returns, pages_per_session, n_orders",0,,
2024-07-07,False,-0.0581,1,True,"n_stockouts, inventory_health, total_stock_on_hand, pages_per_session, n_orders",0,,
2024-07-08,False,-0.05001,1,True,"total_attributed_revenue_usd, n_unique_customers, avg_roas, total_spend_usd, total_impressions",0,,
2024-07-09,False,-0.05143,1,True,"bounce_rate, total_stock_on_hand, inventory_health, total_impressions, n_orders",0,,
2024-07-10,True,0.09053,-1,True,"total_spend_usd, total_impressions, n_stockouts, total_units_sold, n_unique_customers",1,marketing_tracking_outage,roas
2024-07-11,True,0.04265,-1,True,"total_attributed_revenue_usd, total_units_sold, n_returns, total_spend_usd, avg_roas",0,,
2024-07-12,False,-0.00445,1,True,"total_units_sold, pages_per_session, economic_index, n_returns, n_orders",0,,
2024-07-13,False,-0.04288,1,True,"economic_index, n_returns, n_orders, total_revenue_usd, consumer_sentiment",0,,
2024-07-14,False,-0.01922,1,True,"economic_index, n_unique_customers, bounce_rate, pages_per_session, total_units_sold",0,,
2024-07-15,False,-0.04335,1,True,"n_unique_customers, economic_index, n_orders, total_units_sold, total_impressions",0,,
2024-07-16,False,-0.05194,1,True,"economic_index, n_orders, n_returns, total_spend_usd, total_impressions",0,,
2024-07-17,False,-0.00775,1,True,"total_clicks, n_unique_customers, economic_index, total_conversions_marketing, total_impressions",0,,
2024-07-18,False,-0.00464,1,True,"n_orders, economic_index, total_attributed_revenue_usd, n_unique_customers, avg_roas",0,,
2024-07-19,False,-0.01766,1,True,"economic_index, n_orders, total_spend_usd, bounce_rate, n_returns",0,,
2024-07-20,False,-0.05224,1,True,"economic_index, n_unique_customers, n_orders, n_returns, total_stock_on_hand",0,,
2024-07-21,False,-0.04129,1,True,"n_unique_customers, economic_index, avg_session_duration_sec, n_orders, n_returns",0,,
2024-07-22,False,-0.06037,1,True,"bounce_rate, economic_index, avg_session_duration_sec, n_orders, total_revenue_usd",0,,
2024-07-23,True,0.0198,-1,True,"n_reorders, economic_index, n_unique_customers, n_orders, bounce_rate",0,,
2024-07-24,False,-0.01739,1,True,"n_unique_customers, economic_index, n_orders, total_units_sold, n_returns",0,,
2024-07-25,False,-0.09139,1,True,"economic_index, n_orders, total_spend_usd, seasonal_index, total_clicks",0,,
2024-07-26,False,-0.00878,1,True,"n_stockouts, n_unique_customers, total_units_sold, inventory_health, total_stock_on_hand",0,,
2024-07-27,False,-0.06709,1,True,"total_clicks, total_impressions, n_orders, n_reorders, bounce_rate",0,,
2024-07-28,False,-0.10188,1,True,"total_clicks, total_conversions_marketing, total_impressions, avg_roas, total_attributed_revenue_usd",0,,
2024-07-29,False,-0.08468,1,True,"total_units_sold, avg_session_duration_sec, total_clicks, total_impressions, n_unique_customers",0,,
2024-07-30,False,-0.12439,1,True,"pages_per_session, n_unique_customers, seasonal_index, total_stock_on_hand, inventory_health",0,,
2024-07-31,False,-0.11853,1,True,"total_units_sold, avg_session_duration_sec, consumer_sentiment, seasonal_index, total_spend_usd",0,,
2024-08-01,False,-0.10771,1,True,"pages_per_session, total_impressions, total_spend_usd, total_conversions_marketing, seasonal_index",0,,
2024-08-02,False,-0.10075,1,True,"n_reorders, total_conversions_marketing, consumer_sentiment, total_clicks, seasonal_index",0,,
2024-08-03,False,-0.10912,1,True,"pages_per_session, consumer_sentiment, total_units_sold, marketing_pressure, conversion_rate",0,,
2024-08-04,False,-0.10997,1,True,"n_reorders, avg_session_duration_sec, consumer_sentiment, total_units_sold, seasonal_index",0,,
2024-08-05,False,-0.0367,1,True,"return_rate, n_returns, total_impressions, consumer_sentiment, total_units_sold",1,defective_product_returns,return_rate
2024-08-06,False,-0.09988,1,True,"total_impressions, consumer_sentiment, total_conversions_marketing, total_clicks, total_attributed_revenue_usd",0,,
2024-08-07,False,-0.06356,1,True,"total_clicks, total_impressions, total_conversions_marketing, consumer_sentiment, avg_session_duration_sec",0,,
2024-08-08,False,-0.11648,1,True,"consumer_sentiment, total_clicks, total_impressions, avg_session_duration_sec, total_attributed_revenue_usd",0,,
2024-08-09,False,-0.02788,1,True,"avg_roas, total_attributed_revenue_usd, total_conversions_marketing, total_clicks, bounce_rate",0,,
2024-08-10,False,-0.09839,1,True,"total_units_sold, n_reorders, avg_session_duration_sec, n_unique_customers, economic_index",0,,
2024-08-11,False,-0.08897,1,True,"economic_index, n_orders, n_unique_customers, avg_roas, avg_session_duration_sec",0,,
2024-08-12,False,-0.09669,1,True,"economic_index, consumer_sentiment, inventory_health, total_stock_on_hand, n_orders",0,,
