anomaly_id,date,kpi,tier,severity,direction,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,traversal_stopped,ci_ran,ci_actual_cum,ci_counterfactual_cum,ci_absolute_effect,ci_relative_effect_pct,ci_lower,ci_upper,ci_effect_significant,ci_confidence,ci_skip_reason,dw_ran,dw_treatment,dw_outcome,dw_ate_coeff,dw_p_value,dw_driver_deviation,dw_estimated_contribution,dw_effect_pct,dw_refutation_passed,dw_confidence,root_cause_confidence,causal_summary
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,DOWN,-36.46,-2.1924,1,inventory_stockout,total_revenue_usd -> n_orders,n_orders,-2.2526,DOWN,1,"bounce_rate, n_orders, return_rate",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,True,n_orders,total_revenue_usd,57.38453693,0.780396,-69.4286,-3984.1281,-33.47,True,0.5,0.5,total_revenue_usd moved DOWN -36.5% on 2024-03-15; suspected driver: n_orders. DoWhy: n_orders explains -33.5% of expected outcome (robust).
ANO-20240412-ROAS,2024-04-12,avg_roas,1,MEDIUM,UP,195.55,2.0407,0,,avg_roas,avg_roas,2.0407,UP,0,bounce_rate,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +195.6% on 2024-04-12; suspected driver: avg_roas.
ANO-20240417-ROAS,2024-04-17,avg_roas,1,MEDIUM,DOWN,-46.19,-0.3921,0,,avg_roas,avg_roas,-0.3921,DOWN,0,"avg_discount_pct, conversion_rate, n_orders, sessions, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -46.2% on 2024-04-17; suspected driver: avg_roas.
ANO-20240428-ROAS,2024-04-28,avg_roas,1,MEDIUM,UP,197.68,2.102,0,,avg_roas -> total_clicks,total_clicks,2.0737,UP,1,"avg_order_value_usd, n_orders, return_rate, total_clicks, total_revenue_usd",avg_roas,leaf_node_reached,False,,,,,,,,,,True,total_clicks,avg_roas,0.00062259,0.0,52972.0,32.9798,85.04,True,0.9,0.9,avg_roas moved UP +197.7% on 2024-04-28; suspected driver: total_clicks. DoWhy: total_clicks explains +85.0% of expected outcome (robust).
ANO-20240429-ROAS,2024-04-29,avg_roas,1,MEDIUM,UP,111.7,1.2451,0,,avg_roas,avg_roas,1.2451,UP,0,avg_discount_pct,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +111.7% on 2024-04-29; suspected driver: avg_roas.
ANO-20240601-ROAS,2024-06-01,avg_roas,1,MEDIUM,UP,148.22,1.5758,0,,avg_roas,avg_roas,1.5758,UP,0,"avg_order_value_usd, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +148.2% on 2024-06-01; suspected driver: avg_roas.
ANO-20240612-ROAS,2024-06-12,avg_roas,1,MEDIUM,UP,143.23,1.6443,0,,avg_roas,avg_roas,1.6443,UP,0,inventory_health,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +143.2% on 2024-06-12; suspected driver: avg_roas.
ANO-20240618-ROAS,2024-06-18,avg_roas,1,MEDIUM,DOWN,-35.21,-0.5094,1,website_outage,avg_roas,avg_roas,-0.5094,DOWN,0,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -35.2% on 2024-06-18; suspected driver: avg_roas.
ANO-20240619-ROAS,2024-06-19,avg_roas,1,MEDIUM,UP,23.76,0.3673,0,,avg_roas,avg_roas,0.3673,UP,0,"avg_discount_pct, inventory_health, n_stockouts",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +23.8% on 2024-06-19; suspected driver: avg_roas.
ANO-20240620-ROAS,2024-06-20,avg_roas,1,MEDIUM,UP,52.88,0.914,0,,avg_roas,avg_roas,0.914,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +52.9% on 2024-06-20; suspected driver: avg_roas.
ANO-20240621-ROAS,2024-06-21,avg_roas,1,MEDIUM,DOWN,-74.06,-1.0004,0,,avg_roas,avg_roas,-1.0004,DOWN,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -74.1% on 2024-06-21; suspected driver: avg_roas.
ANO-20240622-ROAS,2024-06-22,avg_roas,1,MEDIUM,DOWN,-41.34,-0.6212,0,,avg_roas,avg_roas,-0.6212,DOWN,0,"avg_order_value_usd, inventory_health",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -41.3% on 2024-06-22; suspected driver: avg_roas.
ANO-20240624-ROAS,2024-06-24,avg_roas,1,MEDIUM,UP,141.99,1.7119,0,,avg_roas,avg_roas,1.7119,UP,0,inventory_health,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +142.0% on 2024-06-24; suspected driver: avg_roas.
ANO-20240626-ROAS,2024-06-26,avg_roas,1,MEDIUM,DOWN,-67.75,-0.6301,0,,avg_roas,avg_roas,-0.6301,DOWN,0,bounce_rate,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -67.8% on 2024-06-26; suspected driver: avg_roas.
ANO-20240710-ROAS,2024-07-10,avg_roas,1,MEDIUM,DOWN,-59.43,-0.7114,1,marketing_tracking_outage,avg_roas,avg_roas,-0.7114,DOWN,0,"avg_order_value_usd, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -59.4% on 2024-07-10; suspected driver: avg_roas.
ANO-20240711-ROAS,2024-07-11,avg_roas,1,MEDIUM,UP,96.64,1.2225,0,,avg_roas,avg_roas,1.2225,UP,0,"avg_order_value_usd, return_rate, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +96.6% on 2024-07-11; suspected driver: avg_roas.
ANO-20240723-ROAS,2024-07-23,avg_roas,1,MEDIUM,DOWN,-88.44,-0.9054,0,,avg_roas,avg_roas,-0.9054,DOWN,0,"avg_order_value_usd, inventory_health",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -88.4% on 2024-07-23; suspected driver: avg_roas.
ANO-20240809-ROAS,2024-08-09,avg_roas,1,MEDIUM,UP,265.12,2.1592,0,,avg_roas,avg_roas,2.1592,UP,0,"avg_order_value_usd, sessions, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +265.1% on 2024-08-09; suspected driver: avg_roas.
ANO-20240814-ROAS,2024-08-14,avg_roas,1,MEDIUM,UP,90.61,1.2479,0,,avg_roas,avg_roas,1.2479,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +90.6% on 2024-08-14; suspected driver: avg_roas.
ANO-20240817-ROAS,2024-08-17,avg_roas,1,MEDIUM,UP,86.06,1.3182,0,,avg_roas,avg_roas,1.3182,UP,0,"avg_discount_pct, sessions",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +86.1% on 2024-08-17; suspected driver: avg_roas.
ANO-20240820-ROAS,2024-08-20,avg_roas,1,MEDIUM,DOWN,-53.09,-0.641,1,back_to_school_surge,avg_roas,avg_roas,-0.641,DOWN,0,"n_orders, sessions, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -53.1% on 2024-08-20; suspected driver: avg_roas.
ANO-20240821-ROAS,2024-08-21,avg_roas,1,MEDIUM,UP,22.53,0.2876,0,,avg_roas,avg_roas,0.2876,UP,0,"bounce_rate, inventory_health",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +22.5% on 2024-08-21; suspected driver: avg_roas.
ANO-20240930-ROAS,2024-09-30,avg_roas,1,MEDIUM,UP,150.39,1.8741,0,,avg_roas,avg_roas,1.8741,UP,0,"avg_order_value_usd, bounce_rate, sessions",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +150.4% on 2024-09-30; suspected driver: avg_roas.
ANO-20241024-ROAS,2024-10-24,avg_roas,1,MEDIUM,UP,114.8,1.6245,0,,avg_roas -> total_clicks,total_clicks,1.6654,UP,1,total_clicks,avg_roas,leaf_node_reached,False,,,,,,,,,,True,total_clicks,avg_roas,0.00062259,0.0,63881.8571,39.7722,91.91,True,0.9,0.9,avg_roas moved UP +114.8% on 2024-10-24; suspected driver: total_clicks. DoWhy: total_clicks explains +91.9% of expected outcome (robust).
ANO-20241031-ROAS,2024-10-31,avg_roas,1,MEDIUM,UP,234.6,2.2058,0,,avg_roas -> total_clicks,total_clicks,1.5348,UP,1,"sessions, total_clicks",avg_roas,leaf_node_reached,False,,,,,,,,,,True,total_clicks,avg_roas,0.00062259,0.0,25856.2857,16.0979,47.62,True,0.9,0.9,avg_roas moved UP +234.6% on 2024-10-31; suspected driver: total_clicks. DoWhy: total_clicks explains +47.6% of expected outcome (robust).
ANO-20241129-ROAS,2024-11-29,avg_roas,1,HIGH,UP,159.74,2.0367,1,black_friday_spike,avg_roas,avg_roas,2.0367,UP,0,"avg_order_value_usd, inventory_health, n_orders, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,0,False,,,,,,,,,,,avg_roas moved UP +159.7% on 2024-11-29; suspected driver: avg_roas.
ANO-20241202-ROAS,2024-12-02,avg_roas,1,MEDIUM,UP,45.0,0.505,1,cyber_monday_halo,avg_roas,avg_roas,0.505,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +45.0% on 2024-12-02; suspected driver: avg_roas.
ANO-20241214-ROAS,2024-12-14,avg_roas,1,MEDIUM,DOWN,-20.14,-0.3499,0,,avg_roas -> total_clicks,total_clicks,1.9888,UP,1,"avg_discount_pct, conversion_rate, inventory_health, n_orders, sessions, total_clicks, total_revenue_usd",avg_roas,leaf_node_reached,False,,,,,,,,,,True,total_clicks,avg_roas,0.00062259,0.0,32909.7143,20.4893,60.56,True,0.9,0.9,avg_roas moved DOWN -20.1% on 2024-12-14; suspected driver: total_clicks. DoWhy: total_clicks explains +60.6% of expected outcome (robust).
ANO-20241216-ROAS,2024-12-16,avg_roas,1,MEDIUM,DOWN,-53.82,-0.9653,0,,avg_roas,avg_roas,-0.9653,DOWN,0,"avg_order_value_usd, bounce_rate",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -53.8% on 2024-12-16; suspected driver: avg_roas.
ANO-20250114-ROAS,2025-01-14,avg_roas,1,HIGH,UP,173.75,1.9986,0,,avg_roas,avg_roas,1.9986,UP,0,,,no_anomalous_child,False,,,,,,,,,0,False,,,,,,,,,,,avg_roas moved UP +173.8% on 2025-01-14; suspected driver: avg_roas.
ANO-20250121-ROAS,2025-01-21,avg_roas,1,MEDIUM,UP,263.08,2.1538,0,,avg_roas,avg_roas,2.1538,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +263.1% on 2025-01-21; suspected driver: avg_roas.
ANO-20250127-ROAS,2025-01-27,avg_roas,1,MEDIUM,DOWN,-7.32,-0.0689,0,,avg_roas -> total_clicks,total_clicks,1.6941,UP,1,"n_stockouts, total_clicks",avg_roas,leaf_node_reached,False,,,,,,,,,,True,total_clicks,avg_roas,0.00062259,0.0,53348.0,33.2139,70.73,True,0.9,0.9,avg_roas moved DOWN -7.3% on 2025-01-27; suspected driver: total_clicks. DoWhy: total_clicks explains +70.7% of expected outcome (robust).
ANO-20250128-ROAS,2025-01-28,avg_roas,1,MEDIUM,DOWN,-64.67,-0.8378,0,,avg_roas,avg_roas,-0.8378,DOWN,0,return_rate,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -64.7% on 2025-01-28; suspected driver: avg_roas.
ANO-20250129-ROAS,2025-01-29,avg_roas,1,MEDIUM,UP,56.67,0.8838,0,,avg_roas,avg_roas,0.8838,UP,0,"avg_discount_pct, conversion_rate, n_orders, return_rate, sessions, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +56.7% on 2025-01-29; suspected driver: avg_roas.
ANO-20250130-ROAS,2025-01-30,avg_roas,1,MEDIUM,UP,47.76,0.834,0,,avg_roas,avg_roas,0.834,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +47.8% on 2025-01-30; suspected driver: avg_roas.
ANO-20250131-ROAS,2025-01-31,avg_roas,1,MEDIUM,UP,105.9,1.8432,0,,avg_roas,avg_roas,1.8432,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +105.9% on 2025-01-31; suspected driver: avg_roas.
ANO-20250201-ROAS,2025-02-01,avg_roas,1,MEDIUM,DOWN,-40.5,-0.7371,0,,avg_roas,avg_roas,-0.7371,DOWN,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -40.5% on 2025-02-01; suspected driver: avg_roas.
ANO-20250202-ROAS,2025-02-02,avg_roas,1,MEDIUM,UP,45.5,0.8436,0,,avg_roas,avg_roas,0.8436,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +45.5% on 2025-02-02; suspected driver: avg_roas.
ANO-20250204-ROAS,2025-02-04,avg_roas,1,MEDIUM,DOWN,-66.42,-1.2275,0,,avg_roas,avg_roas,-1.2275,DOWN,0,"avg_order_value_usd, bounce_rate",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -66.4% on 2025-02-04; suspected driver: avg_roas.
ANO-20250217-ROAS,2025-02-17,avg_roas,1,MEDIUM,UP,117.65,1.8149,0,,avg_roas,avg_roas,1.8149,UP,0,"avg_order_value_usd, n_orders, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +117.7% on 2025-02-17; suspected driver: avg_roas.
ANO-20250220-ROAS,2025-02-20,avg_roas,1,MEDIUM,UP,72.61,1.3255,0,,avg_roas,avg_roas,1.3255,UP,0,return_rate,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +72.6% on 2025-02-20; suspected driver: avg_roas.
ANO-20250226-ROAS,2025-02-26,avg_roas,1,MEDIUM,UP,121.08,1.5331,0,,avg_roas,avg_roas,1.5331,UP,0,inventory_health,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +121.1% on 2025-02-26; suspected driver: avg_roas.
ANO-20250430-ROAS,2025-04-30,avg_roas,1,MEDIUM,UP,124.2,1.7994,0,,avg_roas,avg_roas,1.7994,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +124.2% on 2025-04-30; suspected driver: avg_roas.
ANO-20250505-ROAS,2025-05-05,avg_roas,1,MEDIUM,UP,77.29,1.2199,0,,avg_roas,avg_roas,1.2199,UP,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +77.3% on 2025-05-05; suspected driver: avg_roas.
ANO-20250525-ROAS,2025-05-25,avg_roas,1,HIGH,UP,263.89,2.246,0,,avg_roas -> total_clicks,total_clicks,2.0221,UP,1,total_clicks,avg_roas,leaf_node_reached,False,,,,,,,,,0,True,total_clicks,avg_roas,0.00062259,0.0,47958.1429,29.8583,66.02,True,0.9,0.9,avg_roas moved UP +263.9% on 2025-05-25; suspected driver: total_clicks. DoWhy: total_clicks explains +66.0% of expected outcome (robust).
