anomaly_id,date,kpi,tier,severity,votes,direction,actual_value,expected_value,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,root_cause_confidence,confidence_tier,ci_ran,ci_relative_effect_pct,ci_effect_significant,ci_confidence,dw_ran,dw_treatment,dw_effect_pct,dw_refutation_passed,dw_p_value,is_externally_driven,external_driver_type,external_driver_detail,snap_economic_index,snap_marketing_pressure,snap_seasonal_index,snap_consumer_sentiment,actionability_score,actionability_label,escalation_suppressed,suppression_reason,rca_completeness_score,layer4_priority_flag,rca_narrative
ANO-20240417-ORD,2024-04-17,n_orders,1,MEDIUM,2,UP,234.0,220.8571,5.95,1.9074,0,,n_orders -> sessions,sessions,1.8606,UP,1,"avg_discount_pct, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,sessions,0.37,True,0.0,False,none,,0.17425,0.29856,0.06953,-0.00695,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] n_orders moved UP +6.0% on 2024-04-17. Chain: n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240618-ORD,2024-06-18,n_orders,1,MEDIUM,2,UP,241.0,216.7143,11.21,2.1363,1,website_outage,n_orders -> sessions,sessions,-2.2609,DOWN,1,"avg_discount_pct, avg_order_value_usd, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,sessions,-1.8,True,0.0,False,none,,0.17751,0.36144,0.14997,-0.00756,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] n_orders moved UP +11.2% on 2024-06-18. Chain: n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240723-ORD,2024-07-23,n_orders,1,MEDIUM,2,UP,242.0,237.4286,1.93,0.9908,0,,n_orders,n_orders,0.9908,UP,0,"avg_order_value_usd, inventory_health",total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.39181,0.10941,0.12539,-0.0161,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] n_orders moved UP +1.9% on 2024-07-23. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240820-ORD,2024-08-20,n_orders,1,HIGH,3,UP,370.0,245.1429,50.93,2.2651,1,back_to_school_surge,n_orders -> sessions,sessions,1.508,UP,1,"sessions, total_revenue_usd","n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,sessions,0.18,True,0.0,False,none,,0.20739,0.19968,0.07294,0.10939,1.0,HIGH,False,,2,ESCALATE,[HIGH] n_orders moved UP +50.9% on 2024-08-20. Chain: n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20241129-ORD,2024-11-29,n_orders,1,HIGH,3,UP,310.0,225.7143,37.34,2.2511,1,black_friday_spike,n_orders,n_orders,2.2511,UP,0,"avg_order_value_usd, avg_roas, inventory_health, total_revenue_usd",total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.1984,0.05041,-0.14141,-0.04948,1.0,HIGH,False,,0,ESCALATE,[HIGH] n_orders moved UP +37.3% on 2024-11-29. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20241202-ORD,2024-12-02,n_orders,1,HIGH,3,UP,268.0,236.4286,13.35,0.8305,1,cyber_monday_halo,n_orders,n_orders,0.8305,UP,0,,total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.20865,0.06738,-0.14381,-0.06632,1.0,HIGH,False,,0,ESCALATE,[HIGH] n_orders moved UP +13.3% on 2024-12-02. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,2,DOWN,132.0,200.8571,-34.28,-2.2573,1,inventory_stockout,n_orders -> conversion_rate -> avg_discount_pct,avg_discount_pct,-1.9711,DOWN,2,"avg_discount_pct, conversion_rate, return_rate, sessions, total_revenue_usd","conversion_rate, n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,avg_discount_pct,-8.09,True,0.0,False,none,,-0.01325,0.13632,-0.09331,-0.01053,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] n_orders moved DOWN -34.3% on 2025-02-10. Chain: n_orders -> conversion_rate -> avg_discount_pct. Suspected driver: avg_discount_pct. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20251128-ORD,2025-11-28,n_orders,1,HIGH,3,UP,290.0,204.0,42.16,2.265,1,black_friday_spike,n_orders,n_orders,2.265,UP,0,"avg_order_value_usd, total_clicks, total_revenue_usd",total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.03214,-0.03777,-0.13961,-0.02767,1.0,HIGH,False,,0,ESCALATE,[HIGH] n_orders moved UP +42.2% on 2025-11-28. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20251201-ORD,2025-12-01,n_orders,1,MEDIUM,2,UP,252.0,215.2857,17.05,0.9199,1,cyber_monday_halo,n_orders,n_orders,0.9199,UP,0,inventory_health,total_revenue_usd,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.01142,0.03057,-0.14225,-0.04464,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] n_orders moved UP +17.1% on 2025-12-01. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240111-ROAS,2024-01-11,avg_roas,1,HIGH,3,UP,157.414,38.923,304.42,2.2014,0,,avg_roas -> total_clicks,total_clicks,1.5429,UP,1,total_clicks,avg_roas,0.9,HIGH,False,,,,True,total_clicks,70.15,True,0.0,False,none,,-0.03693,-0.31152,-0.13913,-0.04634,1.0,HIGH,False,,2,ESCALATE,[HIGH] avg_roas moved UP +304.4% on 2024-01-11. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240130-ROAS,2024-01-30,avg_roas,1,MEDIUM,2,UP,116.979,32.5749,259.11,2.1364,0,,avg_roas,avg_roas,2.1364,UP,0,"conversion_rate, n_orders, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,-0.0595,-0.32075,-0.11375,-0.07425,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +259.1% on 2024-01-30. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240131-ROAS,2024-01-31,avg_roas,1,HIGH,3,UP,132.081,49.7314,165.59,1.5571,0,,avg_roas,avg_roas,1.5571,UP,0,,,,UNAVAILABLE,False,,,,False,,,,,False,none,,-0.0365,-0.29942,-0.11205,-0.07743,1.0,HIGH,False,,0,ESCALATE,[HIGH] avg_roas moved UP +165.6% on 2024-01-31. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240202-ROAS,2024-02-02,avg_roas,1,MEDIUM,2,UP,90.335,58.507,54.4,0.5913,0,,avg_roas,avg_roas,0.5913,UP,0,"conversion_rate, return_rate",,,UNAVAILABLE,False,,,,False,,,,,False,none,,-0.07705,-0.10328,-0.10855,0.01063,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +54.4% on 2024-02-02. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240227-ROAS,2024-02-27,avg_roas,1,MEDIUM,2,UP,89.901,45.6519,96.93,2.0523,0,,avg_roas -> total_clicks,total_clicks,1.7396,UP,1,"bounce_rate, n_stockouts, total_clicks",avg_roas,0.9,HIGH,False,,,,True,total_clicks,64.78,True,0.0,False,none,,0.02541,0.08013,-0.05546,-0.05395,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] avg_roas moved UP +96.9% on 2024-02-27. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240311-ROAS,2024-03-11,avg_roas,1,MEDIUM,2,UP,92.717,35.3956,161.94,1.8596,0,,avg_roas,avg_roas,1.8596,UP,0,"inventory_health, return_rate",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.24176,-0.12866,-0.02315,0.01262,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +161.9% on 2024-03-11. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240412-ROAS,2024-04-12,avg_roas,1,MEDIUM,2,UP,110.292,37.3179,195.55,2.0407,0,,avg_roas,avg_roas,2.0407,UP,0,bounce_rate,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.16688,0.09212,0.05785,-0.05331,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +195.6% on 2024-04-12. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240417-ROAS,2024-04-17,avg_roas,1,MEDIUM,2,DOWN,16.7,31.0373,-46.19,-0.3921,0,,avg_roas,avg_roas,-0.3921,DOWN,0,"avg_discount_pct, conversion_rate, n_orders, sessions, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.17425,0.29856,0.06953,-0.00695,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -46.2% on 2024-04-17. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240428-ROAS,2024-04-28,avg_roas,1,MEDIUM,2,UP,115.439,38.7797,197.68,2.102,0,,avg_roas -> total_clicks,total_clicks,2.0737,UP,1,"avg_order_value_usd, n_orders, return_rate, total_clicks, total_revenue_usd",avg_roas,0.9,HIGH,False,,,,True,total_clicks,85.04,True,0.0,False,none,,-0.04853,-0.18123,0.09331,0.02868,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] avg_roas moved UP +197.7% on 2024-04-28. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240429-ROAS,2024-04-29,avg_roas,1,MEDIUM,2,UP,102.82,48.5693,111.7,1.2451,0,,avg_roas,avg_roas,1.2451,UP,0,avg_discount_pct,,,UNAVAILABLE,False,,,,False,,,,,False,none,,-0.00222,0.01542,0.09531,0.00222,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +111.7% on 2024-04-29. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240601-ROAS,2024-06-01,avg_roas,1,MEDIUM,2,UP,102.085,41.1267,148.22,1.5758,0,,avg_roas,avg_roas,1.5758,UP,0,"avg_order_value_usd, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.05823,0.17512,0.14266,0.0384,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +148.2% on 2024-06-01. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240612-ROAS,2024-06-12,avg_roas,1,MEDIUM,2,UP,99.458,40.8899,143.23,1.6443,0,,avg_roas,avg_roas,1.6443,UP,0,inventory_health,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.05223,0.06837,0.14883,-0.01193,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +143.2% on 2024-06-12. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240618-ROAS,2024-06-18,avg_roas,1,MEDIUM,2,DOWN,33.824,52.2066,-35.21,-0.5094,1,website_outage,avg_roas,avg_roas,-0.5094,DOWN,0,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,True,competitive_pressure,marketing_pressure=0.361 (threshold 0.3),0.17751,0.36144,0.14997,-0.00756,0.45,SUPPRESSED,True,Suppressed: competitive_pressure (actionability=0.45),0,SUPPRESSED,[MEDIUM] avg_roas moved DOWN -35.2% on 2024-06-18. Root: avg_roas (no deeper driver above watch threshold). External: competitive pressure detected. Actionability: SUPPRESSED. Escalation SUPPRESSED.
ANO-20240619-ROAS,2024-06-19,avg_roas,1,MEDIUM,2,UP,57.126,46.1591,23.76,0.3673,0,,avg_roas,avg_roas,0.3673,UP,0,"avg_discount_pct, inventory_health, n_stockouts",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.09633,0.38278,0.15,0.00394,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +23.8% on 2024-06-19. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240620-ROAS,2024-06-20,avg_roas,1,MEDIUM,2,UP,64.939,42.4781,52.88,0.914,0,,avg_roas,avg_roas,0.914,UP,0,,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.06756,0.45172,0.14999,0.02963,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +52.9% on 2024-06-20. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240621-ROAS,2024-06-21,avg_roas,1,MEDIUM,2,DOWN,9.197,35.454,-74.06,-1.0004,0,,avg_roas,avg_roas,-1.0004,DOWN,0,,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.10159,0.26754,0.14993,0.00869,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -74.1% on 2024-06-21. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240622-ROAS,2024-06-22,avg_roas,1,MEDIUM,2,DOWN,21.769,37.1134,-41.34,-0.6212,0,,avg_roas,avg_roas,-0.6212,DOWN,0,"avg_order_value_usd, inventory_health",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.19968,0.26634,0.14983,-0.00467,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -41.3% on 2024-06-22. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240624-ROAS,2024-06-24,avg_roas,1,MEDIUM,2,UP,101.107,41.7814,141.99,1.7119,0,,avg_roas,avg_roas,1.7119,UP,0,inventory_health,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.17998,0.23899,0.1495,-0.02349,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +142.0% on 2024-06-24. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240626-ROAS,2024-06-26,avg_roas,1,MEDIUM,2,DOWN,10.798,33.4786,-67.75,-0.6301,0,,avg_roas,avg_roas,-0.6301,DOWN,0,bounce_rate,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.21382,0.16615,0.14899,-0.10451,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -67.8% on 2024-06-26. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240710-ROAS,2024-07-10,avg_roas,1,MEDIUM,2,DOWN,14.032,34.5853,-59.43,-0.7114,1,marketing_tracking_outage,avg_roas,avg_roas,-0.7114,DOWN,0,"avg_order_value_usd, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.22912,0.19001,0.14053,-0.09521,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -59.4% on 2024-07-10. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240711-ROAS,2024-07-11,avg_roas,1,MEDIUM,2,UP,84.536,42.9903,96.64,1.2225,0,,avg_roas,avg_roas,1.2225,UP,0,"avg_order_value_usd, return_rate, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.23702,0.22409,0.13961,-0.13685,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +96.6% on 2024-07-11. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240723-ROAS,2024-07-23,avg_roas,1,MEDIUM,2,DOWN,3.372,29.1686,-88.44,-0.9054,0,,avg_roas,avg_roas,-0.9054,DOWN,0,"avg_order_value_usd, inventory_health",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.39181,0.10941,0.12539,-0.0161,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -88.4% on 2024-07-23. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240809-ROAS,2024-08-09,avg_roas,1,MEDIUM,2,UP,130.438,35.725,265.12,2.1592,0,,avg_roas,avg_roas,2.1592,UP,0,"avg_order_value_usd, sessions, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.19721,-0.14634,0.09631,0.11023,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +265.1% on 2024-08-09. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240814-ROAS,2024-08-14,avg_roas,1,MEDIUM,2,UP,120.409,63.169,90.61,1.2479,0,,avg_roas,avg_roas,1.2479,UP,0,,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.29882,-0.11964,0.08607,0.1556,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +90.6% on 2024-08-14. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240817-ROAS,2024-08-17,avg_roas,1,MEDIUM,2,UP,119.039,63.978,86.06,1.3182,0,,avg_roas,avg_roas,1.3182,UP,0,"avg_discount_pct, sessions",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.21646,0.07634,0.07961,0.07809,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +86.1% on 2024-08-17. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240820-ROAS,2024-08-20,avg_roas,1,MEDIUM,2,DOWN,26.137,55.714,-53.09,-0.641,1,back_to_school_surge,avg_roas,avg_roas,-0.641,DOWN,0,"n_orders, sessions, total_revenue_usd",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.20739,0.19968,0.07294,0.10939,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved DOWN -53.1% on 2024-08-20. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240821-ROAS,2024-08-21,avg_roas,1,MEDIUM,2,UP,57.201,46.6843,22.53,0.2876,0,,avg_roas,avg_roas,0.2876,UP,0,"bounce_rate, inventory_health",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.22761,0.19312,0.07067,0.09568,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +22.5% on 2024-08-21. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240930-ROAS,2024-09-30,avg_roas,1,MEDIUM,2,UP,79.411,31.7143,150.39,1.8741,0,,avg_roas,avg_roas,1.8741,UP,0,"avg_order_value_usd, bounce_rate, sessions",,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.16064,-0.39765,-0.0295,0.19573,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] avg_roas moved UP +150.4% on 2024-09-30. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20241024-ROAS,2024-10-24,avg_roas,1,MEDIUM,2,UP,92.947,43.2717,114.8,1.6245,0,,avg_roas -> total_clicks,total_clicks,1.6654,UP,1,total_clicks,avg_roas,0.9,HIGH,False,,,,True,total_clicks,91.91,True,0.0,False,none,,0.04703,-0.14311,-0.08607,0.05331,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] avg_roas moved UP +114.8% on 2024-10-24. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20241031-ROAS,2024-10-31,avg_roas,1,MEDIUM,2,UP,113.107,33.8034,234.6,2.2058,0,,avg_roas -> total_clicks,total_clicks,1.5348,UP,1,"sessions, total_clicks",avg_roas,0.9,HIGH,False,,,,True,total_clicks,47.62,True,0.0,False,none,,0.00469,-0.15082,-0.10021,0.03893,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] avg_roas moved UP +234.6% on 2024-10-31. Chain: avg_roas -> total_clicks. Suspected driver: total_clicks. Causal confidence: 90%. No external suppression. Fully actionable.
